paragraph,Text
<PARAGRAPH 1.>,Scope
<PARAGRAPH 1.1.>,"This Regulation applies to the behaviour of the steering mechanism and to the electrical power train operating on high voltage as well as the high voltage components and systems which are galvanically connected to the high voltage bus of the electrical power train, of motor vehicles of category M1, and vehicles of category N1 with a maximum permissible mass less than 1,500 kg, with regard to the protection of the occupants in a frontal collision."
<PARAGRAPH 1.2.>,"At the request of a manufacturer, vehicles other than those mentioned in Paragraph-1.1. above may be approved under this Regulation."
<PARAGRAPH 2.>,Definitions For the purposes of this Regulation
<PARAGRAPH 2.1>,"""Approval of a vehicle"" means the approval of a vehicle type with regard to the protection of the driver against the steering mechanism in the event of impact;"
<PARAGRAPH 2.2.>,"""Vehicle type"" means a category of motor vehicles which do not differ in such essential respects as:"
<PARAGRAPH 2.2.1.>,Vehicle powered by an internal combustion engine:
<PARAGRAPH 2.2.1.1.>,"The structure, dimensions, lines and constituent materials of that part of the vehicle forward of the steering control;"
<PARAGRAPH 2.2.1.2.>,"The mass of vehicle in running order, as defined in Paragraph-2.18. below;"
<PARAGRAPH 2.2.2.>,Vehicle powered by an electric engine
<PARAGRAPH 2.2.2.1.>,"The structure, dimensions, lines and constituent materials of that part of the vehicle forward of the steering control."
<PARAGRAPH 2.2.2.2.>,"The locations of the Rechargeable Energy Storage Systems (RESS), in so far as they have a negative effect on the result of the impact test prescribed in this Regulation;"
<PARAGRAPH 2.2.2.3.>,"Mass of the vehicle in running order, as defined in Paragraph-2.18. below."
<PARAGRAPH 2.3.>,"""Approval of a steering control"" means the approval of a steering control type with regard to the protection of the driver against the steering mechanism in the event of impact;"
<PARAGRAPH 2.4.>,"""Steering control type"" means a category of steering controls which do not differ in such essential respects as:"
<PARAGRAPH 2.4.1.>,"The structure, dimensions, lines and constituent materials;"
<PARAGRAPH 2.5.>,"""Steering control"" means the steering device, usually the steering wheel, which is actuated by the driver;"
<PARAGRAPH 2.6.>,"""General steering control"" means a steering control which can be fitted to more than one approved vehicle type where differences in the attachment of the steering control to the steering column do not affect the impact performance of the steering control;"
<PARAGRAPH 2.7.>,"""Air-bag"" means a flexible bag that is designed to be filled with a gas under pressure, and is:"
<PARAGRAPH 2.7.1.>,Designed to protect the vehicle driver in an impact against the steering control;
<PARAGRAPH 2.7.2.>,Inflated by a device which is actuated in case of vehicle's impact;
<PARAGRAPH 2.8.>,"""Steering control rim"" means the quasi-toroidal outer ring in the case of the steering wheel usually griped by the driver's hands during driving;"
<PARAGRAPH 2.9.>,"""Spoke"" means a bar connecting the steering control rim to the boss;"
<PARAGRAPH 2.10.>,"""Boss"" means that part of the steering control, usually at the centre, that:"
<PARAGRAPH 2.10.1.>,Joins the steering control to the steering shaft Paragraph-2.10.2. Transmits the torque from the steering control to the steering shaft;
<PARAGRAPH 2.11.>,"""Centre of the steering control boss"" means that point on the surface of the boss which is in line with the axis of the steering shaft;"
<PARAGRAPH 2.12.>,"""Plane of the steering control"" means in the case of the steering wheel the flat surface that splits the steering wheel rim equally between the driver and the front of the car;"
<PARAGRAPH 2.13.>,"""Steering shaft"" means the component which transmits to the steering gear the torque applied to the steering control;"
<PARAGRAPH 2.14.>,"""Steering column"" means the housing enclosing the steering shaft;"
<PARAGRAPH 2.15.>,"""Steering mechanism"" means the aggregate comprising the steering control, the steering column, the assembly accessories, the steering shaft, the steering gear housing, and all other components such as those designed to contribute to the absorption of energy in the event of impact against the steering control;"
<PARAGRAPH 2.16.>,Passenger compartment
<PARAGRAPH 2.16.1.>,"""Passenger compartment with regard to occupant's protection"" means the space for occupant accommodation, bounded by the roof, floor, side walls, doors, outside glazing and front bulkhead and the plane of the rear compartment bulkhead or the plane of the rear-seat back support."
<PARAGRAPH 2.16.2.>,"""Passenger compartment for electric safety assessment"" means the space for occupant accommodation, bounded by the roof, floor, side walls, doors, outside glazing, front bulkhead and rear bulkhead, or rear gate, as well as by the electrical protection barriers and enclosures provided for protecting the power train from direct contact with high voltage live parts."
<PARAGRAPH 2.17.>,"""Impactor"" consists of a rigid hemispherical headform 165 mm in diameter, in accordance with Annex-5, paragraph 3 of this Regulation;"
<PARAGRAPH 2.18.>,"""Mass of the vehicle in running order"" means the mass of the vehicle unoccupied and unladen but complete with fuel, coolant, lubricant tools and spare wheel, if provided as standard equipment by the vehicle manufacturer, and RESS."
<PARAGRAPH 2.19.>,"""High voltage"" means the classification of an electric component or circuit, if its - and 1,000 V alternating current (AC) root mean- square (rms);"
<PARAGRAPH 2.20.>,"""Rechargeable energy storage system (RESS)"" means rechargeable energy storage system which provides electrical energy for propulsion;"
<PARAGRAPH 2.21.>,"""Electrical protection barrier"" the part providing protection against any direct contact to the high voltage live parts;"
<PARAGRAPH 2.22.>,"""Electrical power train"" means the electrical circuit which includes the traction motor(s), and may also include the RESS, the electrical energy conversion system, the electronic converters, the associated wiring harness and connectors, and the coupling system for charging the RESS;"
<PARAGRAPH 2.23.>,"""Live parts"" means conductive part(s) intended to be electrically energized in normal use;"
<PARAGRAPH 2.24.>,"""Exposed conductive part"" means the conductive part which can be touched under the provisions of the protection IPXXB and which becomes electrically energized under isolation failure conditions. This includes parts under a cover that can be removed without using tools."
<PARAGRAPH 2.25.>,"""Direct contact"" means the contact of persons with high voltage live parts;"
<PARAGRAPH 2.26.>,"""Indirect contact"" means the contact of persons with exposed conductive parts;"
<PARAGRAPH 2.27.>,"""Protection IPXXB"" means protection from contact with high voltage live parts provided by either an electrical protection barrier or an enclosure and tested using a Jointed Test Finger (IPXXB) as described in Paragraph-4. of Annex-7;"
<PARAGRAPH 2.28.>,"""Working voltage"" means the highest value of an electrical circuit voltage root-mean-square (rms), specified by the manufacturer, which may occur between any conductive parts in open circuit conditions or under normal operating conditions. If the electrical circuit is divided by galvanic isolation, the working voltage is defined for each divided circuit, respectively;"
<PARAGRAPH 2.29.>,"""Coupling system for charging the rechargeable energy storage system (RESS)"" means the electrical circuit used for charging the RESS from an external electrical power supply including the vehicle inlet;"
<PARAGRAPH 2.30.>,"""Electrical chassis"" means a set made of conductive parts electrically linked together, whose electrical potential is taken as reference;"
<PARAGRAPH 2.31.>,"""Electrical circuit"" means an assembly of connected high voltage live parts which is designed to be electrically energized in normal operation;"
<PARAGRAPH 2.32.>,"""Electric energy conversion system"" means a system that generates and provides electrical energy for electrical propulsion;"
<PARAGRAPH 2.33.>,"""Electronic converter"" means a device capable of controlling and/or converting electrical power for electrical propulsion;"
<PARAGRAPH 2.34.>,"""Enclosure"" means the part enclosing the internal units and providing protection against any direct contact;"
<PARAGRAPH 2.35.>,"""High Voltage Bus"" means the electrical circuit, including the coupling system for charging the RESS that operates on a high voltage;"
<PARAGRAPH 2.36.>,"""Solid insulator"" means the insulating coating of wiring harnesses provided in order to cover and prevent the high voltage live parts from any direct contact. This includes covers for insulating the high voltage live parts of connectors; and varnish or paint for the purpose of insulation;"
<PARAGRAPH 2.37.>,"""Automatic disconnect"" means a device that when triggered, galvanically separates the electrical energy sources from the rest of the high voltage circuit of the electrical power train; 2.38 ""Open type traction battery"" means a type of battery requiring liquid and generating hydrogen gas released to the atmosphere."
<PARAGRAPH 3.>,Application for approval
<PARAGRAPH 3.1.>,Vehicle type
<PARAGRAPH 3.1.1.>,The application for approval of a vehicle type with regard to the protection of the driver against the steering mechanism in the event of impact shall be submitted by the vehicle manufacturer or by his duly accredited representative.
<PARAGRAPH 3.1.2.>,It shall be accompanied by the undermentioned documents in triplicate and the following particulars:
<PARAGRAPH 3.1.2.1.>,"A detailed description of the vehicle type with respect to the structure, dimensions, lines and constituent materials of that part of the vehicle forward of the steering control;"
<PARAGRAPH 3.1.2.2.>,"Drawings, on an appropriate scale and in sufficient detail, of the steering mechanism and of its attachment to the vehicle chassis and body;"
<PARAGRAPH 3.1.2.3.>,A technical description of that mechanism;
<PARAGRAPH 3.1.2.4.>,An indication of the mass of the vehicle in running order;
<PARAGRAPH 3.1.2.5.>,"Evidence that the steering control has been approved in accordance with Paragraph-5.2 of the Regulation, if applicable."
<PARAGRAPH 3.1.2.6.>,Evidence that the steering mechanism complies with the specifications of Paragraph-5.2.2. of Regulation-No._94 if the application for approval is submitted by the applicant pursuant Paragraph-5.1.2. below.
<PARAGRAPH 3.1.2.7.>,Evidence that the steering control complies with the specifications of Paragraph-5.2.1.4. Paragraph-5.2.1.5. of Regulation-No._94 if the application for approval is submitted by the applicant pursuant Paragraph-5.2.1. below.
<PARAGRAPH 3.1.2.8.>,"A general description of the electrical power source type, location and the electrical power train (e.g. hybrid, electric)."
<PARAGRAPH 3.1.3.>,The following shall be submitted to the Technical Service responsible for conducting approval tests:
<PARAGRAPH 3.1.3.1.>,"A vehicle, representative of the vehicle type to be approved, for the test referred to in Paragraph-5.1. below;"
<PARAGRAPH 3.1.3.2.>,"At the manufacturer's discretion, with the agreement of the technical service, either a second vehicle, or those parts of the vehicle regarded by him as essential for the test referred to in Paragraph-5.2. Paragraph-5.3. below."
<PARAGRAPH 3.1.3.3.>,The competent authority shall verify the existence of satisfactory arrangements for ensuring effective control of the conformity of production before type approval is granted.
<PARAGRAPH 3.2.>,Steering control type
<PARAGRAPH 3.2.1.>,The application for approval of a steering control type with regard to the protection of the driver against the steering mechanism in the event of an impact shall be submitted by the steering control manufacturer or by his duly accredited representative.
<PARAGRAPH 3.2.2.>,It shall be accompanied by the undermentioned documents in triplicate and the following particulars:
<PARAGRAPH 3.2.2.1.>,"A detailed description of the steering control type with respect to the structure, the dimensions and the constituent materials of the steering control;"
<PARAGRAPH 3.2.2.2.>,"Drawings, on an appropriate scale and in sufficient detail, of the steering mechanism and of its attachment to the vehicle chassis and body."
<PARAGRAPH 3.2.2.3.>,"Evidence that the steering control complies with the specifications of Paragraph-5.2.1.4. Paragraph-5.2.1.5. of Regulation-No._94, if the application for approval is submitted by the applicant pursuant Paragraph-5.2.1. below."
<PARAGRAPH 3.2.3.>,"A steering control representative of the steering control type to be approved plus, at the manufacturer's discretion, with the agreement of the technical service, those parts of the vehicle regarded by him as essential for the test, shall be submitted to the technical service responsible for conducting approval tests for the test referred to in Paragraph-5.2. Paragraph-5.3. below."
<PARAGRAPH 4.>,Approval
<PARAGRAPH 4.1.>,A certificate conforming to the model specified in Paragraph-4.1.1. Paragraph-4.1.2. shall be attached to the type-approval certificate:
<PARAGRAPH 4.1.1.>,Annex-1A for applications referred to in Paragraph-3.1.;
<PARAGRAPH 4.1.2.>,Annex-1B for applications referred to in Paragraph-3.2.
<PARAGRAPH 4.2.>,Vehicle type
<PARAGRAPH 4.2.1.>,"If the vehicle submitted for approval pursuant to this Regulation meets the requirements of Paragraph-5. Paragraph-6. below and Annexes 4, 5 and 6 to this Regulation, approval of that vehicle type shall be granted."
<PARAGRAPH 4.2.2.>,"An approval number shall be assigned to each type approved. Its first two digits (at present 04 corresponding to the 04 series of amendments) shall indicate the series of amendments incorporating the most recent major technical amendments made to the Regulation at the time of issue of the approval. The same Contracting Party shall not assign the same number to the same vehicle type equipped with another type of steering mechanism, or to another vehicle type, as defined in Paragraph-2.2. above."
<PARAGRAPH 4.2.3.>,"Notice of approval or of extension or refusal of approval of a vehicle type pursuant to this Regulation shall be communicated to the Parties to the Agreement applying this Regulation, by means of a form conforming to the model in Annex-1A to this Regulation."
<PARAGRAPH 4.2.4.>,"There shall be affixed, conspicuously and in a readily accessible place specified on the approval form, to every vehicle conforming to a vehicle type approved under this Regulation an international approval mark consisting of:"
<PARAGRAPH 4.2.4.1.>,"A circle surrounding the letter ""E"" followed by the distinguishing number of the country which has granted approval1;"
<PARAGRAPH 4.2.4.2.>,"The number of this Regulation, followed by the letter ""R"", a dash and the approval number to the right of the circle prescribed in Paragraph-4.2.4.1."
<PARAGRAPH 4.2.5.>,"If the vehicle conforms to a vehicle type approved, under one or more other Regulations annexed to the Agreement, in the country which has granted approval under this Regulation, the symbol prescribed in Paragraph-4.2.4.1. need not be repeated; in such a case the Regulation and approval numbers and the additional symbols of all the Regulations under which approval has been granted in the country which has granted approval under this Regulation shall be placed in vertical columns to the right of the symbol prescribed in Paragraph-4.2.4.1."
<PARAGRAPH 4.2.6.>,The approval mark shall be clearly legible and be indelible.
<PARAGRAPH 4.2.7.>,The approval mark shall be placed close to or on the vehicle data plate affixed by the manufacturer.
<PARAGRAPH 4.3.>,Steering-control type
<PARAGRAPH 4.3.1.>,"If the steering control submitted for separate approval pursuant to this Regulation meets the applicable requirements of Paragraph-5. Paragraph-6. below and Annexes 4, 5 and 6 to this Regulation, approval of that steering control type shall be granted. This is only applicable to steering controls which do not include an airbag."
<PARAGRAPH 4.3.2.>,An approval number shall be assigned to each type approved. Its first two digits (at present 04 corresponding to the 04 series of amendments) shall indicate the series of amendments incorporating the most recent major technical amendments made to the Regulation at the time of issue of the approval. The same Contracting Party shall not assign the same number to another steering control type as defined in Paragraph-2.4. above.
<PARAGRAPH 4.3.3.>,"Notice of approval or of extension or refusal of approval of a steering control type pursuant to this Regulation shall be communicated to the Parties to the Agreement applying this Regulation, by means of a form conforming to the model in Annex-1B to this Regulation."
<PARAGRAPH 4.3.4.>,"There shall be affixed, conspicuously and in a readily accessible place specified on the approval form, to every steering control conforming to a steering control type approved under this Regulation an international approval mark consisting of:"
<PARAGRAPH 4.3.4.1.>,"A circle surrounding the letter ""E"" followed by the distinguishing number of the country which has granted approval1;"
<PARAGRAPH 4.3.4.2.>,The approval number placed below the circle.
<PARAGRAPH 4.3.4.3.>,The symbol R94-02 in the case of an approval pursuant Paragraph-5.2.1. below.
<PARAGRAPH 4.3.5.>,"The approval mark shall be clearly legible and be indelible. 1 The distinguishing numbers of the Contracting Parties to the 1958 Agreement are reproduced in Annex-3 to the Consolidated Resolution on the Construction of Vehicles (R.E.3), document ECE/TRANS/WP.29/78/Rev.2/Amend.1."
<PARAGRAPH 4.4.>,Annex-2 to this Regulation gives examples of arrangements of approval marks.
<PARAGRAPH 5.>,Specifications
<PARAGRAPH 5.1.>,"When the unladen vehicle, in running order, without a manikin, is collision-tested against a barrier at a speed of 48.3 km/h (30 mph), the top of the steering column and its shaft shall not move backwards, horizontally and parallel to the longitudinal axis of the vehicle, by more than 12.7 cm and also not more than 12.7 cm vertically upwards, both dimensions considered in relation to a point of the vehicle not affected by the impact2."
