Capitel,Index,Text
Para,1.,SCOPE This Regulation applies to:
subpara,1.1.," audible warning devices (AWD) (1), supplied with direct or alternating current or compressed air, which are intended for fitting to motor vehicles of categories L3 to 5, M and N, excluding mopeds (categories L1 and L2) (2);"
subpara,1.2., the audible signals (3) of motor vehicles listed in 1.1.
Para,1.2.,I.   AUDIBLE WARNING DEVICES
Para,2.,"DEFINITIONS For the purposes of this Regulation, audible warning devices (AWD) of different ‘types’ shall be understood to mean devices essentially different from one another with respect to such matters as:"
subpara,2.1., trade name or mark;
subpara,2.2., principles of operation;
subpara,2.3, type of electrical supply (direct or alternating current);
subpara,2.4., outer shape of case;
subpara,2.5., shape and dimensions of diaphragm(s);
subpara,2.6., shape or kind of sound outlet(s);
subpara,2.7., rated sound frequency or frequencies;
subpara,2.8., rated supply voltage;
subpara,2.9.," for devices supplied directly from an external compressed air source, rated operating pressure."
subpara,2.10., The AWD is principally intended for:
subpara,2.10.1., motor cycles of a power less than or equal to 7 kW (class I);
subpara,2.10.2., vehicles of categories M and N and motor cycles of a power greater than 7 kW (class II).
Para,3.,APPLICATION FOR APPROVAL
subpara,3.1.,The application for approval of a type of audible warning device shall be submitted by the holder of the trade name or mark or by his duly accredited representative.
subpara,3.2.,"It shall be accompanied by the following documents, in triplicate, giving the following particulars:"
subpara,3.2.1.," a description of the type of audible warning device, paying particular attention to the points mentioned in paragraph 2;"
subpara,3.2.2.," a drawing showing, inter alia, the warning device in cross section;"
subpara,3.2.3.," a list of the components used in manufacture, duly identified, with an indication of the materials used;"
subpara,3.2.4., detailed drawings of all the components used in manufacture. The drawings shall show the place provided for the approval number in relation to the circle of the approval mark.
subpara,3.3.,"In addition, the application for approval shall be accompanied by two samples of the type of warning device."
subpara,3.4.,The competent authority shall verify the existence of satisfactory arrangements for ensuring effective control of the conformity of production before type approval is granted.
Para,4.,MARKINGS
subpara,4.1.,The samples of the audible warning devices submitted for approval shall bear the manufacturer's trade name or mark; this mark must be clearly legible and indelible.
subpara,4.2.,Each sample shall have a space of adequate dimensions for the approval mark; this space shall be indicated in the drawing referred to in paragraph 3.2.2.
Para,5.,APPROVAL
subpara,5.1.,"If the samples submitted for approval conform to the provisions of paragraphs 6 and 7 below, approval for this type of warning device shall be granted."
subpara,5.2.,An approval number shall be assigned to each type approved. Its first two digits (at present 00 for the Regulation in its original form) shall indicate the series of amendments incorporating the most recent major technical amendments made to the Regulation at the time of issue of the approval. The same Contracting Party may not assign this number to another type of audible warning device.
subpara,5.3.,"The same approval number may be assigned to types of warning device differing only with respect to rated voltage, rated frequency or frequencies or, for the devices mentioned in paragraph 2.8 above, rated operating pressure."
subpara,5.4.,"Notice of approval or refusal or extension or withdrawal of approval or production definitely discontinued of a type of warning device pursuant to this Regulation shall be communicated to the Parties to the Agreement applying this Regulation by means of a form conforming to the model in Annex 1 to the Regulation, and of drawings of the audible warning device (supplied by the applicant for approval) with maximum format A4 (210 × 297 mm) or folded to this format and on the scale 1:1."
subpara,5.5.,"On every audible warning device which conforms to a type approved under this Regulation, there shall be affixed conspicuously, in an easily accessible place indicated on the approval form, an international approval mark comprising:"
subpara,5.5.1., a circle containing the letter ‘E’ followed by the distinguishing number of the country granting approval (4);
subpara,5.5.2., an approval number;
subpara,5.5.3.," an additional symbol in the form of a figure in Roman numerals, showing the class to which the AWD belongs."
subpara,5.6.,The approval mark and the additional symbol must be clearly legible and indelible.
subpara,5.7.,"Annex 3, Section I, to this Regulation gives an example of the arrangement of the approval mark."
Para,6.,SPECIFICATIONS
Para,6.1.,General specifications
subpara,6.1.1.," The audible warning device shall emit a continuous and uniform sound; its acoustic spectrum shall not vary substantially during its operation. For warning devices supplied with alternating current, this requirement shall apply only at constant generator speed, within the range specified in paragraph 6.2.3.2."
subpara,6.1.2.," The warning device shall have acoustic characteristics (spectral distribution of the acoustic energy, sound pressure level) and mechanical characteristics such that it passes, in the order indicated, the following tests."
Para,6.2.,Measurement of the sound characteristics
subpara,6.2.1.," The warning device should, preferably, be tested in an anechoic environment. Alternatively, it may be tested in a semi-anechoic chamber or in an open space (5). In this case, precautions shall be taken to avoid reflections from the ground within the measuring area (for instance by erecting a set of absorbing screens). Compliance with the spherical divergence to a limit of 1 dB within a hemisphere of not less than 5 m radius, up to the maximum frequency to be measured, especially in the measuring direction and at the height of the apparatus and the microphone, shall be checked. The ambient noise level shall be at least 10 dB lower than the sound pressure level to be measured. The device to be tested and the microphone shall be placed at the same height. This height shall be between 1,15 and 1,25 m. The axis of maximum sensitivity of the microphone shall coincide with the direction of the maximum sound level of the device. The microphone shall be so placed that its diaphragm is at a distance of 2 ± 0,01 m from the plane of the sound outlet of the device. In the case of devices with several outlets, the distance shall be determined in relation to the plane of the nearest outlet to the microphone."
subpara,6.2.2.," The measurements of the sound pressure levels shall be made with a class 1 precision sound level metre conforming to the specifications of IEC Publication No 651, first edition (1979). All measurements shall be made using the time constant ‘F’. The measurement of the overall sound pressure level shall be made using the weighting curve A. The spectrum of the sound emitted shall be measured according to the Fourier transform of the acoustic signal. Alternatively, one-third octave filters conforming to the specifications of IEC Publication No 225, first edition (1966) may be used in this case, the sound pressure level in the mid-band frequency 2 500 Hz shall be determined by adding the quadratic means of the sound pressures in the one-third mid-band frequencies 2 000, 2 500 and 3 150 Hz. In every case, only the Fourier transform method shall be regarded as a reference method."
subpara,6.2.3.," The AWD shall be supplied with current, as appropriate, at one of the test voltages:"
subpara,6.2.3.1.," in the case of AWDs supplied with direct current, at a voltage measured at the terminal of the electric power source of 13/12 of the rated voltage."
subpara,6.2.3.2.," in the case of AWDs supplied with alternating current, the current shall be supplied by an electric generator of the type normally used with this type of AWD. The acoustic characteristics of the AWD shall be recorded for electric generator speeds corresponding to 50 %, 75 % and 100 % of the maximum speed indicated by the manufacturer of the generator for continuous operation. During this test, no other electrical load shall be imposed on the electric generator. The endurance test described in paragraph 6.3 shall be carried out at a speed indicated by the manufacturer of the equipment and selected from the above range."
subpara,6.2.4.," If a rectified current source is used for the test of an AWD supplied with direct current, the alternating component of the voltage measured at its terminals, when the warning devices are in operation, shall not be more than 0,1 volt, peak to peak."
subpara,6.2.5.," For AWDs supplied with direct current, the resistance of the connecting leads, expressed in ohms, including terminals and contacts, shall be as close as possible to (0,10/12) × rated voltage in volts."
subpara,6.2.6.," The warning device shall be mounted rigidly, by means of the equipment indicated by the manufacturer, on a support whose mass is at least ten times that of the warning device under test and not less than 30 kg. In addition, arrangements must be made to ensure that reflexions on the sides of the support and its own vibrations have no appreciable effect on the measuring results."
subpara,6.2.7.," Under the conditions set forth above, the sound pressure weighted in accordance with curve A shall not exceed the following values: (a)"
subpara,115,dB(A) for AWDs intended principally for motor cycles with a power less than or equal to 7 kW; (b)
subpara,118,"dB(A) for AWDs intended principally for vehicles of categories M and N, and motor cycles with a power greater than 7 kW."
subpara,6.2.7.1.," In addition, the sound-pressure level in the frequency band 1 800 to 3 550 Hz shall be greater than that of any component of a frequency above 3 550 Hz and in any event equal to or greater than: (a)"
subpara,95,dB(A) for AWDs intended principally for motor cycles with a power less than or equal to 7 kW; (b)
subpara,105,"dB(A) for AWDs intended principally for vehicles of categories M and N, and motor cycles with a power greater than 7 kW."
subpara,6.2.7.2., AWDs meeting the sound characteristics mentioned in (b) may be used on the vehicles mentioned in (a).
subpara,6.2.8.," The specifications indicated above shall also be met by a device subjected to the endurance test referred to in paragraph 6.3 below, with the supply voltage varying between 115 % and 95 % of its rated voltage for AWDs supplied with direct current or, for AWDs supplied with alternating current, between 50 % and 100 % of the maximum speed of the generator indicated by the manufacturer for continuous operations."
subpara,6.2.9.," The time lapse between the moment when the device is actuated and the moment when the sound reaches the minimum value prescribed in paragraph 6.2.7 above shall not exceed 0,2 seconds measured at an ambient temperature of 20 + 5 °C. This provision is applicable, inter alia, to pneumatic or electro-pneumatic warning devices."
subpara,6.2.10.," Pneumatic or electro-pneumatic warning devices shall, when operating under the power supply conditions established for the devices by the manufacturers, satisfy the same acoustic requirements as are prescribed for electrically operated audible warning devices."
subpara,6.2.11.," In the case of multiple-tone devices in which each sound-emitting unit is capable of functioning independently, the minimum values specified above shall be obtained when each of the constituent units is operated separately. The maximum value of the overall sound level shall not be exceeded when all the constituent units are operated simultaneously."
Para,6.3.,Endurance test
subpara,6.3.1.," The AWD shall be supplied with current at the rated voltage and with the connecting lead resistances specified in paragraphs 6.2.3 to 6.2.5 above, and operated respectively: —"
subpara,10,"000 times for AWDs intended principally for motor cycles with power less than or equal to 7 kW, —"
subpara,50,"000 times for AWDs intended principally for vehicles of categories M and N and motor cycles with a power greater than 7 kW, each time for 1 second followed by an interval of 4 seconds. During the test, the AWD shall be ventilated by an air current having a speed of approximately 10 m/sec."
subpara,6.3.2.," If the test is made in an anechoic chamber, the chamber shall be large enough to ensure normal dispersal of the heat released by the warning device during the test."
subpara,6.3.3., The ambient temperature in the testing room shall be between + 15° and + 30 °C.
subpara,6.3.4.," If, after the AWD has been operated for half the number of times prescribed, the sound-level characteristics are no longer the same as before the test, the AWD may be adjusted. After being operated the prescribed number times, and after further adjustment if necessary, the AWD must pass the test described in paragraph 6.2 above."
