TW,EU,TW_TITLE,EU_TITLE,similarity_score,Data,Status
TW_27,EU_46,Devices for indirect vision,Devices for indirect vision,1.0000000000000002,EU_46,Y
TW_40-0,EU_91,Side-marker lamps,Side-marker lamps,1.0000000000000002,EU_91,Y
TW_32-0,EU_19,Front fog lamps,Front fog lamps,1.0000000000000002,EU_19,Y
TW_32-1,EU_19,Front fog lamps,Front fog lamps,1.0000000000000002,EU_19,Y
TW_32-2,EU_19,Front fog lamps,Front fog lamps,1.0000000000000002,EU_19,Y
TW_33,EU_23,Reversing lamps,Reversing lamps,1.0000000000000002,EU_23,Y
TW_40-1,EU_91,Side-marker lamps,Side-marker lamps,1.0000000000000002,EU_91,Y
TW_79,EU_70,Rear marking plates for heavy and long vehicles,Rear marking plates for heavy and long vehicles,1.0000000000000002,EU_70,
TW_56-0,EU_10,Electromagnetic Compatibility,Electromagnetic compatibility,1.0,EU_10,Y
TW_56-1,EU_10,Electromagnetic Compatibility,Electromagnetic compatibility,1.0,EU_10,Y
TW_56-2,EU_10,Electromagnetic Compatibility,Electromagnetic compatibility,1.0,EU_10,Y
TW_22,EU_39,Speedometer,Speedometer,1.0,EU_39,Y
TW_20-2,EU_104,Retro-reflective markings,Retro-reflective markings,1.0,EU_104,Y
TW_53,EU_38,Rear fog lamps,Rear fog lamps,1.0,EU_38,Y
TW_22-1,EU_39,Speedometer,Speedometer,1.0,EU_39,Y
TW_20-1,EU_104,Retro-reflective markings,Retro-reflective markings,1.0,EU_104,Y
TW_20-0,EU_104,Retro-reflective markings,Retro-reflective markings,1.0,EU_104,Y
TW_56-3,EU_10,Electromagnetic Compatibility,Electromagnetic compatibility,1.0,EU_10,Y
TW_21-1,EU_28,Audible warning devices,Audible warning devices,0.9999999999999999,EU_28,Y
TW_21,EU_28,Audible warning devices,Audible warning devices,0.9999999999999999,EU_28,Y
TW_80,EU_138,Quiet road transport vehicles,Quiet Road Transport Vehicles (QRTV),0.8533851360003064,EU_138,Y
