Index,Text
9-2,Installation of audible warning devices: Effective from 2019/1/1 Refer to: R28 00-S4
9-2.1,Effective date and Scope:
9-2.1.1,"Effective date from 2019/1/1, the new vehicle variants of category symbols M and N, shall comply with this regulation and using qualified audible warning devices which has already conformed VSTD."
9-2.1.2,"Effective date from 2019/1/1, the new vehicle variants of category symbols L1, L2, L3 and L5, and from 2021/1/1 all vehicle variants of category symbols L1, L2, L3 and L5, shall comply with this regulation and using qualified audible warning devices which has already conformed VSTD. The existing vehicle variants of category symbols L1, L2, L3 and L5 9-1 Installation of audible warning dVSTD shall comply with Paragraph- in addition."
9-2.2,Installation of audible warning devices shall according to suitable types and range of principle are as below
9-2.2.1,The same vehicle category symbol
9-2.2.2,The same brand and vehicle type series.
9-2.2.3,The same chassis brand.
9-2.2.4,Chassis manufacturers announced that the same chassis vehicle type series.
9-2.2.5,"If use chassis vehicle instead of completed vehicle for entire or partial testing, which shall according to suitable types and range of principle are as belowpÉ"
9-2.2.5.1,The same brand.
9-2.2.5.2,Chassis manufacturers declared that the same chassis vehicle type series.
9-2.3,Motor Vehicle Signal for audible warning devices
9-2.3.1,"The audible warning devices fitted on category symbols M and N: The A-weighted sound pressure level emitted by the device(s) fitted on the vehicle shall be measured at a distance of 7 m in front of the vehicle, the latter being placed on an open site , on ground as  smooth as possible, and in case of devices supplied with direct current, with its engine stopped. in front of the vehicle body and within the range of 0.5 and 1.5 m above the ground, the maximum sound-pressure level emitted by the device(s) fitted on the vehicle shall be at least: equal to 87 dB (A) and not more than 112 dB (A). The sound pressure level of the background noise and wind noise must be at least 10 dB (A) below the sound to be measured. The test voltage as specified shall be supplied by: (a) The vehicle battery only; or (b) The vehicle battery with the vehicle engine warmed-up and at idle; or (c) With an external power source supply connected to the AWD terminal(s)."
9-2.3.2,"The audible warning devices fitted on category symbol L: On the vertical central line, at a distance of 7 m in front of the vehicle body and within the range of 0.5 and 1.5 m above the ground, measured under the conditions specified , the maximum sound-pressure level of the audible signal tested shall be at least (a) equal to 83 dB(A) and not more than 112 dB(A) for the signals of motorcycles of a power less than or equal to 7 kW; The sound pressure level of the background noise and wind noise must be at least 10 dB (A) below the sound to be measured. (b) equal to 87 dB(A) and at most 112 dB(A) for the signals of vehicles of categories M and N 1/ and motorcycles of a power greater than 7 kW. The sound pressure level of the background noise and wind noise must be at least 10 dB (A) below the sound to be measured."
