Index,Text
19-1,Flammability of the interior materials for motor vehicle The chapter 6 refer to UN R118 02-S3
19-1.1,"Interior material of motor vehicle: seat cushion, seat back, headlining, all trim panels (include the door, front, rear and side panels), carpets and curtains of passenger compartment and the insulation materials which using in cables, engine compartment and any separate heating compartment of class I and class II"
19-1.2,Effective date and Scope:
19-1.2.1,"Effective date from 2019/1/1, the new vehicle variants of child-only vehicles, school buses, large passenger vehicles, small passenger vehicles and small cargo-passenger vehicles shall comply with this regulation. Effective date from 2022/1/1, all variants of Flammability of the interior materials for motor vehicleand any separate heating compartment of separate material flammability shall additional comply with Paragraph-."
19-1.2.2,"Effective date from 2018/1/1, the new vehicle variants of large passenger vehicles of class I and II, effective date from 2019/1/1, all variants of large passenger vehicles of class I and II, shall provide documents that declared the cables was conformed  Paragraph- of this regulation, and certification institution could check the real stuff, if necessary."
19-1.2.3,The same applicant applying for low volume safety approval and the amounts of vehicle not exceed 20 at same year and small passenger v 
19-1.2.4,The same applicant applying for vehicle-by-vehicle low volume safety approval and the amounts of vehicle not exceed 20 at same t of the interior material of motor vehicle
19-1.3,"The flammability requirement of the interior material of motor vehicle shall according to suitable types and range of principleexcept brand and type series shall be the same, and also the same material composition."
19-1.4,"Requirement of the function and specification: shall describe material composition, composing method and thickness."
19-1.5,The inspection methods and standards of vehicles other than vehicles regulated in paragraph 6 :
19-1.5.1,Conditioning: The samples shall be conditioned for at least 24 hours but not more than 7 days at a temperature of 23°C ± 2°C and a relative humidity of 50 ± 5 % and shall be maintained under these conditions until immediately prior to testing.
19-1.5.2,"The horizontal burning rate calculated according to the following formula; shall not be over 100 mm per minute. Burning rate60*(D/T) D= Burning distance, unit: mm. T= Time of flame reaching to D distance, unit: sec."
19-1.5.3,"If the fire is extinguishes before reaching the measuring point, or it has stopped burning within 60 seconds after starting to count  the burning time, and the burning distance is within 51 mm, then the specimen under the test is recognized to pass this test."
19-1.5.4,Preparation of specimens:
19-1.5.4.1,"Each specimen of material to be tested shall be a rectangle 100 mm wide by 355 mm long, wherever possible. The thickness of the specimen is that of the single or composite material used in the vehicle, except that if the material's thickness exceeds 13 mm, the specimen is cut down to that thickness measured from the surface of specimen closest to the occupant compartment air space. Where it is not possible to obtain a flat specimen because of surface curvature, the specimen is cut to not more than 13 mm in thickness at any point. The maximum available length of a specimen is used where either dimension is less than 355 mm or 100 mm, respectively."
19-1.5.4.2,The specimen is produced by cutting the material in the direction that provides the most adverse test result. The specimen is oriented so that the surface closest to the occupant compartment air space faces downward on the test frame.
19-1.5.4.3,"Material with a napped or tufted surface is placed on a flat surface and combed twice again the nap with a comb having 7 to 8 smooth, rounded teeth per 25 mm."
19-1.5.5,Test procedure
19-1.5.5.1,"Mount the specimen so that both sides one end are held by the U-shaped frame, and one end is even with the open end of the frame. Where the maximum available width of a specimen is not more than 50 mm, so that the sides of the specimen  cannot be held in the U-shaped frame, place the specimen in position on wire supports, with one end held by the closed end of the U-shaped frame."
19-1.5.5.2,"Place the mounted specimen in a horizontal position, in the center of cabinet."
19-1.5.5.3,"With the frame adjusted, position the bunsen burner and specimen so that the center of the burner tip is 19 mm below the center of the bottom edge of the open end of the specimen."
19-1.5.5.4,Expose the specimen to the flame for 15 seconds.
19-1.5.5.5,"Begin timing (without reference to the period of the burner flame) when the frame from the burning specimen reaches a point 38 mm from the open end of the specimen (Figure 1, line A)"
19-1.5.5.6,"Measure the time that it takes the flame to progress to a point 38 mm from the clamped end of the specimen (Figure 1, line B). If the flame does not reach the specified end point, time its progress to the point where flaming stops.  Figure 1: U-shaped frames of metal stock"
19-1.6,The inspection methods and standards of large passenger vehicles of class I and II.
19-1.6.1,Definitions
19-1.6.1.1,"""Interior compartment"" means any compartment intended for passengers, drivers and/or crew, bounded by the interior facing surface(s) of: (a) The ceiling;  (b) The floor; (c) The front, rear and side walls; (d) The doors; (e) The outside glazing;"
19-1.6.1.2,"""Engine compartment"" means the compartment in which the engine is installed and in which a combustion heater may be installed."
19-1.6.1.3,"""Separate heating compartment"" means a compartment for a combustion heater located outside the interior compartment and the engine compartment."
19-1.6.1.4,"""Seat"" means a structure which may or may not be integral with the vehicle structure, complete with trim, intended to seat one adult person. The term covers both an individual seat or part of a bench seat intended to seat one adult person."
19-1.6.1.5,"""Group of seats"" means either a bench-type seat, or seats which are separate but side by side (i.e. with the foremost anchorages of one seat in line with or forward of the rearmost anchorages and in line with or behind the foremost anchorages of another seat) and which accommodate one or more seated adult persons."
19-1.6.1.6,"""Bench seat"" means a structure complete with trim, intended to seat more than one adult person."
19-1.6.1.7,"""Material installed in a vertical position"" means materials installed in the interior compartment, the engine compartment  and any separate heating compartment of the vehicle such that its slope exceeds 15 per cent from the horizontal when the vehicle is at its mass in running order and it is standing on a smooth and horizontal ground surface."
19-1.6.1.8,"""Burning rate"" means the quotient of the burnt distance measured according  Paragraph- and/ Paragraph- of this regulation and the time taken to burn this distance. It is expressed in millimeters per minute."
19-1.6.1.9,"""Composite material"" means a material composed of several layers of similar or different materials intimately held together at their surfaces by cementing, bonding, cladding, welding, etc. When different materials are connected together intermittently (for example, by sewing, high-frequency welding, riveting), such materials shall not be considered as composite materials."
19-1.6.1.10,"""Exposed face"" means the side of a material which is facing towards the passenger compartment, the engine compartment and any separate heating compartment when the material is mounted in the vehicle."
19-1.6.1.11,"""Upholstery"" means the combination of interior padding and surface finish material which together constitute the cushioning of the seat frame."
19-1.6.1.12,"""Interior lining(s)"" means material(s) that (together) constitute(s) the surface finish and substrate of a roof, wall or floor."
19-1.6.1.13,"""Insulation material(s)"" means material(s) used to reduce heat transfer by conduction, radiation or convection and for sound-proofing in the engine compartment and any separate heating compartment. "
19-1.6.1.14,"""Capability to repel fuel or lubricant"" means the capability of materials to repel fuel or lubricant when measured according  Paragraph- of this Regulation."
19-1.6.2,"Specifications The materials inside and no more than 13 mm beyond the interior compartment, materials of the engine compartment and materials of any separate heating compartment used in the vehicle to be type approved shall meet the requirements of this Regulation."
19-1.6.2.1,"The following materials shall undergo the test described  Paragraph-: (a) Material(s) and composite material(s) installed in a horizontal position in the interior compartment and, (b) Insulation material(s) installed in a horizontal position in the engine compartment and any separate heating compartment. The result of the test shall be considered satisfactory if, taking the worst test results into account, the horizontal burning rate is not more than 100 mm/minute or if the flame extinguishes before reaching the last measuring point. Materials fulfilling the requirements  Paragraph-. are considered to fulfil the requirements in this paragraph."
