Index,Text
20-2,Retro-reflective markings: Effective from 2011/1/1 Refer to: R104 00-S8
20-2.1,Effective date and Scope:
20-2.1.1,"Effective date from 2011/1/1, new types of retro-reflective markings using in the reverse triangle yellow portion of right and left sides and rear for vehicle of child-only vehicle and school bus shall comply with this regulation (according  Paragraph-, it shall exclude Paragraph-)."
20-2.1.2,"Effective date from 2013/1/1,all types of retro-reflective markings using in the reverse triangle yellow portion of right and left sides and rear for vehicle of child-only vehicle and school bus, which were confirmed to 20-1 Retro-reflective markings regulated in Directions, shall comply with Paragraph- Paragraph- in addition."
20-2.1.3,"Effective date from 2011/1/1, new types of retro-reflective markings using in vehicles of category symbols M, N and O (except the above-mentioned vehicles), shall comply with this regulation."
20-2.1.4,"Effective date from 2013/1/1, all types of retro-reflective markings using in vehicles of category symbols M, N and O (except the above-mentioned vehicles), which were confirmed to 20-1 Retro-reflective markings regulated in Directions, shall comply with Paragraph- Paragraph- in addition."
20-2.1.5,"Effective date from 2017/1/1, new types of retro-reflective markings using in vehicles of category symbols M, N and O, and from 2019/1/1, all types of retro-reflective markings using in vehicles of category symbols M, N and O, except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared conform  Paragraph- of this regulation, and certification institution may do a reality check when necessary."
20-2.2,DefinitionspÉ
20-2.2.1,Marking: means a rectangular strip or a series conform to
20-2.2.7,Specifications marked of such strips intended to be placed in such a way that it identifies the entire length and width of a motor vehicle and its trailer when viewed from the side (side marking) or rear (rear marking).
20-2.2.2,Contour marking: means a series of strips intended to be placed in such a way that it shows the contour of the vehicle to the side (side marking) and to the rear (rear marking).
20-2.2.3,Class C material: material for contour / strip marking.
20-2.2.4,Class D material: material for distinctive markings/graphics intended for a limited area. 
20-2.2.5,Class E material: material for distinctive markings/graphics intended for extended area.
20-2.2.6,Class F material: extremities marking with red and white retro-reflective alternative stripes.
20-2.2.7,Specifications marked
20-2.2.7.1,Means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:
20-2.2.7.1.1,Brand (or marking).
20-2.2.7.1.2,"An orientation mark ""TOP"" which must be inscribed on any marking material whose retro-reflective system is not Omni rotational at least:"
20-2.2.7.1.2.1,on strips in a 0.5 m distance.
20-2.2.7.1.2.2,on areas within 100 x 100 mm2.
20-2.2.7.1.3,The following additional symbols indicating the class of material:
20-2.2.7.1.3.1,"""C"" for material for contour/strip marking (figure as below , a is at least 12 mm);"
20-2.2.7.1.3.2,"""D"" for material for distinctive markings/graphics intended for a limited area;"
20-2.2.7.1.3.3,"""E"" for material for distinctive markings/graphics for extended area;"
20-2.2.7.1.3.4,"""D/E"" for materials for distinctive markings or graphics as base or background in printing process for fully coloured logos and markings of class ""E"" in use which fulfil the requirements of class ""D"" materials."
20-2.2.7.1.3.5,"""F"" for materials for extremities marking with red and white retro-reflective alternative stripes."
20-2.3,Retro-reflective markings shall according to suitable variant and range of principle
20-2.3.1,Brand.
20-2.3.2,The characteristics of the retro-reflective material (category of C/D/E).
20-2.3.3,The parts affecting the properties of the retro-reflective materials or devices.
20-2.4,Test Procedure:
20-2.4.1,"Five test samples representing either strips or planes of retro-reflective marking materials have to be submitted to the test laboratory. In the case of strips, at least a length of 3 meters shall be provided, in the case of planes, at least a surface of 500 x  500 mm2 shall be provided."
20-2.4.2,The samples shall be subjected to the heat resistance test described in paragraph 20-1.7.4 to this Regulation prior to the tests set forth in this regulation.
20-2.4.3,The photometric and colorimetric measurements may be made on five samples. The mean values should be taken.
20-2.4.4,"For other tests regulated in paragraph 20-1.7, samples which have not undergone any testing should be used."
20-2.5,General specificationspÉ
20-2.5.1,"Retro-reflective marking materials shall be that way constructed that they function satisfactorily and will continue to do so in normal use. In addition, they shall not have any defect in design or manufacture."
20-2.5.2,The outer surface of the retro-reflective marking materials shall be easy to be cleaned. The surface shall therefore not be rough and any protuberances they may exhibit shall not prevent easy cleaning.
20-2.6,Special specificationspÉ
20-2.6.1,Colorimetric specificationspÉ
