Index,Text
23-2,"Installation of devices for indirect vision Refer to: R46 04-S4, R81 00-S1"
23-2.1,Effective date and Scope:
23-2.1.1,"Effective date from 2021/1/1, all vehicle types of category M and N, the installation of devices for indirect vision (mirrors) shall comply with this regulation. For those using mirrors as devices for indirect vision shall use the qualified ones that has already conformed VSTD ,except Class VI-A."
23-2.1.1.1,Vehicles of category M and N conformed 23-1 Installation of devices for indirect vision without being equipped with Camera-monitor system (CMS) are regarded as conforming to this regulation.
23-2.1.2,"This Regulation does not apply to devices other than those prescribed under chart 1, for observing the vision area(s) immediately adjacent to the front and/or the passenger's side of vehicles of category M,N1 and N2 < 7.5 t."
23-2.1.3,"Except for M2, M3 vehicle and child-only vehicle, applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, it could exempt from Paragraph- to"
23-2.8.1.3.2,Paragraph-.
23-2.2,Definition:
23-2.2.1,"Devices for indirect vision: means devices intended to give a clear view of the rear, side or front of the vehicle within the fields of vision. These can be conventional mirrors, camera-monitors or other devices able to present information about the indirect field of vision to the driver. The category symbols L use mirrorrear-view mirrorable to provide the field of vision."
23-2.2.1.1,"Mirror: means any device intended to give a clear view to the rear and side of the vehicleusually from rear-view mirror provide this functionor front usually from front-view mirror provide this function, except for the category symbols Lby means of a reflective surface, excluding complex optical systems such as periscopes."
23-2.2.1.1.1,"Interior mirror: means a device , which can be fitted in the passenger compartment of a vehicle."
23-2.2.1.1.2,"Exterior mirror: means a device ,which can be mounted on the external surface of a vehicle."
23-2.2.1.2,Vision mirror of the category symbols L: means any mirror device can providrear and side of the vehicle; excluding complex optical systems such as periscopes.
23-2.2.1.3,"Devices for indirect vision: means all devices having one or more common characteristics or functions. They are classified as follows: (a) Class I: -view vision device giving the field of vision defined in paragraph 23-1.7.1;  (b) Class II and III: Main rear-view vision devices"", giving the fields of vision defined in paragraphs 23-1.7.2. and 23-1.7.3; (c) Class IV: "" Wide-angle vision devices"", giving the field of vision defined in paragraph 23-1.7.4; (d) Class V: ""Close-proximity vision devices"", giving the field of vision defined in paragraph 23-1.7.5; (e) Class VI: ""Front vision devices"", giving the field of vision defined in paragraph 23-1.7.6; (f) Class VII: Main rear-view vision mirrors intended for L category vehicles with bodywork, giving the field of vision defined in paragraph 23-1.7.8."
23-2.2.2,"Driver's ocular points: means two points 65 mm apart and 635 mm vertically above point ""R"" of the driver's seat. The straight line joining these points runs perpendicular to the vertical longitudinal median plane of the vehicle. The center of the segment joining the two ocular points is in the longitudinal vertical plane which shall pass by the center of the seating position of the driver designated by the vehicle manufacturer;"
23-2.2.3,Ambinocular vision: means the total field of vision obtained by the superimposition of the monocular fields of view of the right eye and the left eye as below. 
23-2.2.4,Vision support system: means a system to enable the driver to detect and/or see objects in the area adjacent to the vehicle.
23-2.2.5,"""Camera-monitor system (CMS)"" means a device as defined in paragraph 23-1.2.1., where the field of vision is obtained by means of a camera-monitor combination as defined in paragraphs 23-1.2.6. and 23-1.2.7."
23-2.2.6,"""Camera"" means a device that renders an image of the outside world and then converts this image into a signal (e.g. video signal)."
23-2.2.7,"""Monitor"" means a device that converts a signal into images that are rendered into the visual spectrum."
23-2.2.8,"""Critical object"" means a cylindrical object with a height of 0.50 m and a diameter of 0.30 m."
23-2.2.9,"""Critical perception"" means the level of perception that can just be obtained under critical conditions via the viewing system used. This corresponds to the situation in which the representative scale of the critical object is multiple times larger than the smallest detail that can be perceived via the viewing system."
23-2.2.10,"""Field of vision"" means the section of the tri-dimensional space which is monitored with the help of a device for indirect vision. Unless otherwise stated, this is based on the view on ground level offered by a device and/or devices other than mirrors. This may be limited by the relevant detection distance corresponding to the critical object."
23-2.2.11,"""Detection distance"" means the distance measured from the centre of the lens of the camera to the point at which a critical object can just be perceived (as defined by the critical perception)."
23-2.2.12,"""Visual spectrum"" means light with a wavelength within the range of the perceptual limits of the human eyes: 380-780 (nm)."
23-2.2.13,"""Smear"" is a bright line displayed on the monitor while sun light or light from other bright light sources is directly hitting into the lens of the camera."
23-2.2.14,"""Ocular reference point"" means the middle point between the driver's ocular points."
23-2.2.15,"""Surveillance mirror "" means a mirror other than the device for indirect vision, it can be fitted to the inside or outside of the vehicle in order to provide fields of vision other than those specified in paragraph 7. of this Regulation."
23-2.3,Installation of devices for indirect vision shall according to suitable variants and range of principle are as below
23-2.3.1,The same vehicle category symbol.
23-2.3.2,The same brand and vehicle type.
23-2.3.3,The same chassis brand.
23-2.3.4,Chassis manufacturers announced that the same chassis vehicle type.
23-2.3.5,"If use chassis vehicle instead of completed vehicle for entire or partial testing, which shall according to suitable variants and range of  principle are as belowpÉ"
23-2.3.5.1,The same brand.
23-2.3.5.2,Chassis manufacturers announced that the same chassis vehicle type.
23-2.3.6,The same type of devices for indirect vision(mirror or not mirror)
23-2.4,Minimum number of mandatory devices for indirect vision:
23-2.4.1,"The fields of vision prescribed in paragraph 7.shall be obtained from the minimum number on mandatory mirrors or camera monitor devices set out in the Chart 1. The minimum number of mirrors or camera monitor devices shall not less than mandatory number. A minimum number of camera-monitor systems is undefined, but they shall provide the same field of vision as given in the table below and the provision on the minimum mounting height does not apply. In the case of camera-monitor systems, the maximum number of monitors shall not exceed the corresponding number of mirrors."
23-2.4.2,"In the case a camera-monitor system is used for rendering (the) field(s) of vision, the relevant field(s) of vision shall be permanently visible to the driver when the ignition is ONWhen the vehicle is moving forward at a speed above 10 km/h or backwards, the monitor or the part of the monitor intended for rendering the Class VI field of vision may be used for other information. Multiple images may be used or displayed provided that the monitor has been approved in this mode."
