Index,Text
25-3,Safety GlassEffective date from 2019/1/1 Refer to: R43 01-S4
25-3.1,Effective date and Scope:
25-3.1.1,"Effective date from 2019/1/1, the new types of safety glass using in category L as entire or partial bodywork, and the new types of safety glass using in the cabin of category M and Nexcept for the special bullet-proof glazing, dashboard, double-windows ,small plastic glazing that is not required for either the driver's forward or rearward field of vision, and effective date from 2022/1/1, all types of safety glass using in category L as entire or partial bodywork, and all types of safety glass using in the cabin of category M and Nexcept for the special bullet-proof glazing, dashboard, double-windows ,small plastic glazing that is not required for either the driver's forward or rearward field of vision,shall comply with this regulation. The existing types w-2 shall comply with this regulation by its glass types as below"
25-3.1.1.1,"For ""rigid plastic panes"", ""rigid plastic multiple glazed units"" and ""flexible plastic panes"" of existing types, shall conform  Paragraph- Resistance to simulated weathering Paragraph- Burning behaviour (fire-resistance) test in addition."
25-3.1.1.2,"For ""rigid plastic windscreens"" and ""laminated rigid plastic panes"" of existing types, shall conform  Paragraph- Resistance to simulated weathering Paragraph- Burning behaviour (fire-resistance) test in addition."
25-3.1.1.3,"For ""laminated rigid plastic windscreens"" of existing types shall conform  Paragraph- Resistance to simulated weathering Paragraph- Test of resistance to temperature changes Paragraph- Burning behaviour (fire-resistance) test in addition."
25-3.1.1.4,"For ""glass-plastics windscreens"", ""safety glazing faced with plastics material(on the inside) "" and ""glass-plastics panes"" of existing types shall conform  Paragraph- Test of resistance to temperature changes Paragraph- Burning behaviour (fire-resistance) test in addition."
25-3.1.1.5,The exiting types other than Paragraph- Paragraph- Paragraph- Paragraph- could regard as conform to this regulation. 
25-3.1.2,The applicants applying for low volume safety approval or vehicle-by-vehicle low volume safety approval could exempt from regulation of safety glass except large passenger vehicle and child-only vehicle.
25-3.2,Definitions:
25-3.2.1,"""Toughened-glass"" means glazing consisting of a single layer of glass which has been subjected to special treatment to increase its mechanical strength and to condition its fragmentation after shattering."
25-3.2.2,"""Laminated-glass"" means glazing consisting of two or more layers of glass held together by one or more interlayer of plastics material; it may be:"
25-3.2.2.1,"""Ordinary laminated glass"", when none of the layers of glass of which it is composed has been treated; Paragraph- ""Treated laminated glass"", when at least one of the layers of glass, of which it is composed, has been specially treated to increase its mechanical strength and to condition its fragmentation after shattering;"
25-3.2.3,"""Interlayer"" means any material designed to be used to hold together the component layers of laminated-glass."
25-3.2.4,"""Safety-glass faced with plastics material"" means glazing as defined in paragraphs 25-2 2.1. or 25-2 2.2. with a layer of plastics material on its inner face."
25-3.2.5,"""Glass-plastics"" means glazing consisting of any glazing material that comprises one layer of glass and one or more layers of plastic in which a plastic surface of the product faces the inner side."
25-3.2.6,"""Plastic glazing"" is a glazing material that contains as an essential ingredient one or more organic polymeric substances of large molecular weight, is solid in its finished state and, at some stage in its manufacture of processing into finished articles, can be shaped by flow."
25-3.2.6.1,"""Rigid plastic glazing"" means a plastic glazing material which does not deflect vertically more than 50 mm in the flexibility test."
25-3.2.6.2,"""Flexible plastic glazing"" means a plastic glazing material which deflects vertically more than 50 mm in the flexibility test. "
25-3.2.6.3,"""Laminated - rigid plastic pane"" means a plastic pane consisting of two or more layers of plastic held together by one or more interlayers of plastic material."
25-3.2.6.4,"""Laminated - rigid plastic windscreen"" means a plastic windscreen consisting of two or more layers of plastic held together by one or more interlayers of plastic material."
25-3.2.7,"""Double window"" means an assembly of two panes separately installed within the same opening of the vehicle."
25-3.2.8,"""Multiple-glazed unit"" means an assembly of at least two parallel panes permanently assembled in manufacture and separated by one or more gap(s)."
25-3.2.8.1,"""Symmetrical multiple-glazed unit"" means a multiple-glazed unit where all component panes are identical (e.g. all uniform toughened glass)."
25-3.2.8.2,"""Asymmetrical double-glazed unit"" means a multiple-glazed unit other than a symmetrical multiple-glazed unit."
25-3.2.9,"""Bullet resistant glazing"" or ""Bullet-proof glazing"", means glazing constructed so as to be resistant to firearms."
25-3.2.10,"""Windscreen"" means the glazing in front of the driver through which the driver views the road ahead."
25-3.2.11,"""Exterior forward-facing glazing"" means any glazing other than a windscreen installed in the front of the vehicle body, representing a part of the vehicle exterior."
25-3.2.12,"""Interior glazing"" means any glazing installed in a vehicle passenger compartment (e.g. partitions, separating windows, etc.)."
25-3.2.13,"""Developed area of windscreen"" means the minimum rectangular area of glass from which a windscreen can be manufactured."
25-3.2.14,"""Inclination angle of a windscreen"" means the angle included between on the one hand a vertical line and on the other hand a straight line passing through the top and bottom edges of the windscreen, both lines being contained in a vertical plane containing the longitudinal axis of the vehicle;"
25-3.2.14.1,"Measurement of the inclination angle shall be performed on a vehicle standing on level ground, and in the case of a passenger-transport vehicle the vehicle shall be in running order, shall be fully charged with fuel coolant and lubricant, and shall be  equipped with tools and the spare wheel or wheels (if they are provided as standard equipment by the vehicle manufacturer); allowance shall be made for the mass of the driver, and also, in the case of a passenger-transport vehicle, for that of one front-seat passenger, the mass of the driver and that of the passenger each being deemed to be 75 +/- 1 kg;"
25-3.2.14.2,"Vehicles equipped with hydropneumatic, hydraulic or pneumatic suspension or with a device for automatic adjustment of ground clearance according to load shall be tested in the normal running conditions specified by the manufacturer."
25-3.2.15,"""Group of windscreens"" means a group comprising windscreens of differing sizes and shapes subjected to an examination of their mechanical properties, their mode of fragmentation and their behaviour in environmental-aggression resistance tests."
25-3.2.15.1,"""Flat windscreen"" means a windscreen exhibiting no normal curvature resulting in a height of segment greater than 10 mm per linear meter;"
25-3.2.15.2,"""Curved windscreen"" means a windscreen exhibiting a normal curvature resulting in a height of segment greater than 10 mm per linear meter."
25-3.2.16,"""Pane"" means any single piece of glazing other than a windscreen;"
25-3.2.16.1,"""Curved pane"" means a pane with a height of segment ""h"" greater than 10 mm per linear meter;"
25-3.2.16.2,"""Flat pane"" means a pane with a height of segment equal to or less than 10 mm per linear meter."
25-3.2.17,"""Height of segment 'h' "" means the maximum distance, measured at right angles approximately to the glazing, separating the inner surface of the glazing from a plane passing through the ends of the glazing."
25-3.2.18,"""Nominal thickness"": means the manufacturer's design thickness with a tolerance of +/- (n x 0.2 mm) where n equals the number of glass layers in the glazing."
25-3.2.19,"""Curvature 'r' "" means the approximate value of the smallest radius of arc of the windscreen as measured in the most curved area."
25-3.2.20,"""HIC (Head Injury Criteria)"" value means a value for the characteristics of skull-brain injury arising from the deceleration forces which result from a blunt perpendicular impact with the glazing. "
25-3.2.21,"""Safety glazing material requisite for driver visibility"""
