Index,Text
26-1,Safety Belt: Effective date from 2017/1/1 Refer to: R16 07
26-1.1,Effective Date and Scope:
26-1.1.1,"Effective date from 2017/1/1, the new types of safety belt using in category symbols of M and N, shall comply with this regulation. All types of safety belt confirmed to 26. Safety Belt regard as conform to this regulation."
26-1.1.2,"Effective date from 2017/4/1, all types of safety belt using in category symbols of N other than the first row of seats, shall comply with this regulation. All types of safety belt confirmed to 26. Safety Belt regard as conform to this regulation."
26-1.1.3,The applicants applying for low volume safety approval or vehicle-by-vehicle low volume safety approval could exempt from safety belt-only vehicle.
26-1.2,Definitions:
26-1.2.1,"Safety-belt: An arrangement of straps with a securing buckle, adjusting devices and attachments which is capable of being anchored to the interior of a power-driven vehicle and is designed to diminish the risk of injury to its wearer, in the event of collision or of abrupt deceleration of the vehicle, by limiting the mobility of the wearer's body."
26-1.2.2,Lap belt: A two-point belt which passes across the front of the wearer's pelvic region.(see figure 1)
26-1.2.3,Diagonal belt: A belt which passes diagonally across the front of the chest from the hip to the opposite shoulder.
26-1.2.4,Three-point belt: A belt which is essentially a combination of a lap strap and a diagonal strap. (see figure 2)
26-1.2.5,S-type belt: A belt arrangement other than a three-point belt or a lap belt.
26-1.2.6,Harness belt: A S-type belt arrangement comprising a lap belt and shoulder straps; a harness belt may be provided with an additional crotch strap assembly.
26-1.2.7,Strap: A flexible component designed to hold the body and to transmit stresses to the belt anchorages.
26-1.2.8,Retractor: Device to accommodate part or the whole of the strap of a safety-belt.
26-1.2.9,"Emergency locking retractor (type 4): A retractor which during normal driving conditions does not restrict the freedom of movement by the wearer of the safety-belt. Such a device has length adjusting components which automatically adjust the strap to the wearer and a locking mechanism actuated in an emergency by: deceleration of the vehicle, or a combination of deceleration of the vehicle, movement of the webbing or any other automatic means."
26-1.2.10,"Emergency locking retractor with higher response threshold: A retractor of the type of Emergency locking retractor, but having special properties as regards its use in vehicles of category symbols M2, M3, N1, N2 and N3."
26-1.2.11,"Automatically locking retractor: A retractor allowing extraction of the strap to the desired length and which, when the buckle is fastened, automatically adjusts the strap to the wearer. Further extraction of the strap is prevented without voluntary intervention by the wearer. "
26-1.2.12,"Seat A structure which may or may not be integral with the vehicle structure complete with trim, intended to seat one adult person. The term covers both an individual seat or part of a bench seat intended to seat one person."
26-1.2.12.1,"A front passenger seat: means any seat where the ""foremost H-point"" of the seat in question is in or in front of the vertical transverse plane through the driver's R-point."
26-1.2.12.2,Forward-facing seat: means a seat which can be used while the vehicle is in motion and which faces towards the front of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of less than + 10 deg. or - 10 deg. with the vertical plane of symmetry of the vehicle.
26-1.2.12.3,Rearward-facing seat: means a seat which can be used while the vehicle is in motion and which faces towards the rear of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of less than + 10 deg. or - 10 deg. with the vertical plane of symmetry of the vehicle.
26-1.2.12.4,Side-facing seat: means a seat which can be used while the vehicle is in motion and which faces towards the side of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of 90 deg. (+/- 10 deg.) with the vertical plane of symmetry of the vehicle.
26-1.2.13,Reference area: the head-impact zone comprises all the non-glazed surfaces of the interior of a vehicle which are capable of entering into static contact with a spherical head 165 mm in diameter that is an integral part of a measuring apparatus whose dimension from the pivotal point of the hip to the top of the head is continuously adjustable between 736 mm and 840 mm.
26-1.2.14,Belt adjustment device for height: A device enabling the position in height of the upper pillar loop (directly connected to the vehicle or the rigid seat structure) of a belt to be adjusted according to the requirements of the individual wearer and the position of the seat. Such a device may be considered as a part of the belt or a part of the anchorage of the belt.
26-1.2.15,"Flexible shoulder adjustment device for height: A device for adjusting to the shoulder height of the individual wearer, where the adjusting part is not directly attached to the vehicle construction (e.g. pillar) or the seat construction (e.g. the rigid seat structure), but where the adjusting of the shoulder part: (a) Is realized via shifting over a flexible construction; and (b) Is not interfering the routing of the lap belt."
26-1.2.16,"Restraint system: A system for a specific vehicle type or a type defined by the vehicle manufacturer and agreed by the Technical Service consisting of a seat and a belt fixed to the vehicle by appropriate means and consisting additionally of all elements which are provided to diminish the risk of injury to the wearer, in the event of an abrupt vehicle deceleration, by limiting the mobility of the wearer's body."
26-1.2.17,"Airbag assembly: means a device installed to supplement safety-belts and restraint systems in power-driven vehicles, i.e. system  which, in the event of a severe impact affecting the vehicle automatically deploys a flexible structure intended to limit, by compression of the gas contained within it, the gravity of the contacts of one or more parts of the body of an occupant of the vehicle with the interior of the passenger compartment. Any such described deployed structure shall not be considered as a rigid part."
26-1.3,Safety Belt shall according to suitable types and range of principle are as below
26-1.3.1,Trade name
26-1.3.2,"Rigid parts (buckle, attachments, retractor, etc.)"
26-1.3.3,"The material, weave, dimensions of the straps"
26-1.3.4,The geometry of the belt assembly
26-1.4,Test methods:
26-1.4.1,"Corrosion test: A complete safety-belt assembly shall be positioned in a test chamber. In the case of an assembly incorporating a retractor, the strap shall be unwound to full length less 300 3 mm. The exposure test shall proceed continuously for a period of 50 hours. On completion of the exposure test the assembly shall be gently washed, or dipped in clean running water with a temperature not higher than 38 to remove any salt deposit that may have formed and then allowed to dry at room temperature for 24 hours before inspection"
26-1.4.2,Micro-slip test:
26-1.4.2.1,The samples to be submitted to the micro-slip test shall be kept for a minimum of 24 hours in an atmosphere having a temperature of 20 +/- 5 degrees C and a relative humidity of 65 +/- 5 per cent. The test shall be carried out at a temperature between 15 and 30 degrees C.
26-1.4.2.2,"1,000 cycles shall be completed at a frequency of 0.5 cycles per second, the total amplitude being 300 20 mm (see Fig 5). The 50 N load shall be applied only during the time corresponding to a shift of 100 20 mm for each half period."
26-1.4.3,"Strap test: The test shall be carried out each time on two new samples of strap, of sufficient length."
26-1.4.3.1,"The initial breaking strength test: The strap shall be conditioned in accordance with ISO 139 (2005)in the standard atmosphere or the standard alternative atmosphere for at least 24 hours. If the test is not carried out immediately after conditioning, the specimen shall be placed in a hermetically-closed receptacle until the test begins. The breaking load shall be determined within five minutes after removal of the strap from the conditioning atmosphere or from the receptacle. The speed of traverse shall be about 100 mm/min."
26-1.4.3.2,Width test: 
26-1.4.3.2.1,"The test shall be carried out each time on two new samples of strap, of sufficient length and conditioned in conformity with the provisions  Paragraph-."
26-1.4.3.2.2,Each strap shall be gripped between the clamps of a tensile-testing machine. The clamps shall be so designed as to avoid breaking of the strap at or near them. The speed of traverse shall be about 100 mm/min. The free length of the specimen between the clamps of the machine at the start of the test shall be 200 mm +/- 40 mm.
26-1.4.3.2.3,"When the load reaches 9800 N + 1000 - 0 N, the machine shall be stopped and the measurement shall be completed within 5 seconds. The test has to be performed separately from the tensile test."
26-1.4.3.3,Light-conditioning test:
26-1.4.3.3.1,The strap shall be exposed to light for the time necessary to produce a contrast equal to grade 4 on the grey scale on Standard Blue Dye No. 7.
26-1.4.3.3.2,After exposure the strap shall be conditioned as described under Paragraph-. If the test is not carried out immediately after conditioning the specimen shall be placed in a hermetically-closed receptacle until the test begins. The breaking load shall be determined within five minutes after removal of the strap from the conditioning installation. The speed of traverse shall be about 100 mm/min.
26-1.4.3.4,Abrasion conditioning test:
26-1.4.3.4.1,The samples shall be conditioned as described under Paragraph-. kept for a minimum of 24 hours. The ambient temperature during the abrasion procedure shall be between 15 and 30 degrees C. Particular Conditioning Procedures Load (N) Frequency (Hz) Cycles Numbers Shift (mm) For cases where the strap slides through an adjusting device. (see Fig 3) 25 0.5 5000 300+/-20 For cases where the strap changes direction in passing through a rigid part. (see Fig 4) 5 0.5 45000 300+/-20 For cases where the strap is fixed to a rigid part by sewing or similar means. (see Fig 5) 0~50 0.5 45000 -- notespÉIn the table above are listed the general conditions for each abrasion procedurep»after buckle-opening testp»if slide quantity is lower than 1/2 of
26-1.5.3,stipulationp»it can exempt strap slides through an adjusting device  of procedures
26-1.4.3.4.2,"The parts of the belt assembly to be subjected to an abrasion procedure are given in the following table and the procedure types which may be appropriate for them are indicated by ""x"". A new sample shall be used for each procedure. For type 1 and type 2 procedures, the breaking strength test shall be carried out on strap samples only. For type 3 procedure, the breaking strength test shall be carried out on the strap in combination with the metal component involved."
26-1.4.3.5,"Cold conditioning test: The strap shall be conditioned as described under Paragraph-. kept for a minimum of 24 hours. The strap shall then be kept for one and a half hours on a plane surface in a low-temperature chamber in which the air temperature is -30 ± 5 degrees C. It shall then be folded and the fold shall be loaded with a mass of 2 kg previously cooled to -30 ± 5 degrees C. When the strap has been kept under load for 30 minutes in the same low-temperature chamber, the mass shall be removed and the breaking load shall be measured within 5 minutes after removal of the strap from the low-temperature chamber. The speed of traverse shall be about 100 mm/min."
26-1.4.3.6,Heat conditioning test: The strap shall be kept for three hours in a heating cabinet in an atmosphere having a temperature of 60 ± 5 degrees C and a relative humidity of 65 ± 5 per cent. The breaking load shall be determined within five minutes after removal of the strap from the heating cabinet. The speed of traverse shall be about 100 mm/min.
26-1.4.3.7,"Exposure-to-water test: The strap shall be kept fully immersed for three hours in distilled water, at a temperature of 20 ± 5 degrees C, to which a trace of a wetting agent has been added. Any wetting agent suitable for the fiber under test may be used. The breaking load shall be determined within 10 minutes after removal of the strap from the water. The speed of traverse shall be about 100 mm/min."
26-1.4.4,Test of belt assembly components incorporating rigid parts:
26-1.4.4.1,Strength test: 
26-1.4.4.1.1,"The buckle and the adjusting device shall be connected to the tensile-testing apparatus by the parts of the belt assembly to which they are normally attached, and the load shall then build up to 980 daN. In the case of harness belts, the buckle shall be connected to the testing apparatus by the straps which are attached to the buckle and the tongue or two tongues located in an approximately symmetrical way to the geometric centre of the buckle. If the buckle, or the adjusting device, is part of the attachment or of the common part of a three-point belt, the buckle or adjusting device shall be tested with the attachment, in conformity with Paragraph- below, except in the case of retractors having a pulley or strap guide at the upper belt anchorage, when the load will be 980 daN and the length of strap remaining wound on the reel shall be the length resulting from locking as close as possible to 450 mm from the end of the strap."
26-1.4.4.1.2,"The attachments and any belt adjustment devices for height shall be tested in the manner indicated  Paragraph-. above, but the load shall be 1,470 daN and shall, subject to the provisions of the second sentence  Paragraph-, be applied in the least favourable conditions likely to occur in a vehicle in which the belt is correctly installed. In the case of retractors the test is performed with the strap completely unwound from the reel."
26-1.4.4.1.3,Two samples of the complete belt assembly shall be placed in a refrigerated cabinet at -10 +/- 1 deg. C for two hours. The mating parts of the buckle shall be coupled together manually immediately after being removed from the refrigerated cabinet.
26-1.4.4.1.4,"Two samples of complete belt assembly shall be placed in a refrigerated cabinet at -10 deg. C +/- 1 deg. C for two hours. The rigid items and parts made of plastics under test shall then be laid in turn upon a flat rigid steel surface (which has been kept with the samples in the refrigerated cabinet) placed on the horizontal surface of a compact rigid block with a mass of at least 100 kg and within 30 seconds of being removed from the refrigerated cabinet, an 18 kg steel mass shall be allowed to fall under gravity through 300 mm on to the test sample. The impact face of the 18 kg mass shall take the form of a convex surface with a hardness of at least 45 HRC having a transverse radius of 10 mm and a longitudinal radius of 150 mm placed along the centre line of the mass. One test sample shall be tested with the axis of the curved bar in line with the strap and the other sample shall be tested at 90 deg. to the strap."
26-1.4.4.1.5,"Buckles having parts common to two safety-belts shall be loaded in such a way as to simulate the conditions of use in the vehicle with seats in the mid position of their adjustment. A load of 1,470 daN shall be applied simultaneously to each strap. The direction of the application of load shall be established according  Paragraph-. A suitable device for the test is shown in figure 6 to this Regulation."
26-1.4.4.2,"Operation-force test:  When testing a manually adjusting device, the strap shall be drawn steadily through the adjusting device, having regard for the normal conditions of use, at a rate of approximately 100 mm/s and the maximum force measured to the nearest 0.1 daN after the first 25 mm of strap movement. The test shall be carried out in both directions of strap travel through the device, the strap being cycled 10 times prior to the measurement."
26-1.4.5,Buckle test:
26-1.4.5.1,"Durability test: The buckle shall be capable of withstanding repeated operation and shall undergo 5,000 opening and closing cycles under normal conditions of use."
26-1.4.5.2,"Buckle-opening test: when it is not under tension and when under the tension specified in dynamic test below, it shall be capable of being released by the wearer with a single simple movement of one hand in one direction; A load shall be applied at a speed of 400 +/- 20 mm/min to the geometric centre of the buckle-release button along a fixed axis running parallel to the initial direction of motion of the button. Before the dynamic test, the tension is zero, but after it the tension is 600/n (It is understood that n is the number of straps linked to the buckle when it is in a locked position.)."
26-1.4.6,Tests for safety-belt with retractors:
26-1.4.6.1,The emergency locking retractors:
26-1.4.6.1.1,Retracting force: The strap tension shall be measured at the point of contact with (but just clear of) the dummy while the strap is being retracted at the approximate rate of 0.6 m/min.
26-1.4.6.1.2,Locking test for retractors: the locking must have occurred when the deceleration of the vehicle reaches 0.45g (0.85g in the case of type 4N retractors) the amount of strap movement which may occur before the retractor locks shall not exceed 50 mm.
26-1.4.6.1.3,Locking test for extraction of strap: measured in the direction of the extraction of the strap.
