Index,Text
27,"Devices for indirect vision Refer to: R46 04-S4, R81 00-S1"
27.1,Effective date and Scope:
27.1.1,"Effective date from 2006/7/1, the new variants of devices for indirect vision installed used in L1 and L3 vehicle, and from 2008/7/1 all variants of devices for indirect vision installed used in L1, L2, L3 and L5 shall comply with this Direction."
27.1.2,"Effective date from 2011/1/1, new variants of devices for indirect vision installed used in M and N vehicle, and from 2013/1/1 all variants of devices for indirect vision installed used in M and N shall comply with this Direction."
27.1.3,The applicants applying for low volume safety approval could exempt from Direction of devices for indirect vision except large passenger vehicle and child-only vehicle.
27.1.4,"Applying for vehicle-by-vehicle low volume safety approval, the vehicle could exempt from Direction of devices for indirect vision."
27.2,Definitions:
27.2.1,"Devices for indirect vision: means devices intended to give a clear view of the rear, side or front of the vehicle within the fields of vision. These can be conventional mirrors, camera-monitors or other devices able to present information about the indirect field of vision to the driver. The category symbols L use mirrorrear-view mirrorto provide the field of vision."
27.2.1.1,"Mirror: means any device intended to give a clear view to the rear and side of the vehicleusually from rear-view mirror provide this functionor front usually from front-view mirror provide this function, except for the category symbols Lby means of a reflective surface. The vehicles vision shall comply with requirements  Paragraph- of Installation of d excluding complex optical systems such as periscopes."
27.2.1.1.1,"Interior mirror: means a device, which can be fitted in the passenger compartment of a vehicle."
27.2.1.1.2,"Exterior mirror: means a device, which can be mounted on the external surface of a vehicle."
27.2.1.1.3,Surveillance mirror: a mirror other than the devices for indirect vision and can be fitted to the inside or outside of the  vehicle in order to provide fields of vision other than those specified in paragraph 7 .
27.2.1.2,Vision mirror of the category symbols L: means any mirror device can provide for the category symbols L with clear view to the rear and side of the vehicle; excluding complex optical systems such as periscopes.
27.2.2,Vision support system: means a system to enable the driver to detect and/or see objects in the area adjacent to the vehicle.
27.2.3,r: means the average of the radii of curvature measured over the reflecting surface.
27.2.4,"ri: means the values measured on the arc of the reflecting surface passing through the center of the mirror parallel to the segment b, and on the arc perpendicular to this segment."
27.2.5,"rp: means the arithmetic average of the principal radii of curvature ri and r'i, i.e.:"
27.2.6,"The principal radii of curvature shall be measured at three points situated as close as possible to positions at 1/3, 1/2 and 2/3 of the distance along the arc of the reflecting surface passing through the center of the mirror and parallel to segment b, or of the arc passing through the curve of the mirror which is perpendicular to it if this arc is the longest. rp1 is the radius of curvature of the first measuring point, rp2 at the second and rp3 at the third."
27.2.7,"Direct calibration method: In the direct calibration method, air is used as the reference standard. This method is applicable for those instruments, which are so constructed as to permit calibration at the 100% point by swinging the receiver to a position directly on the axis of the light source. It may be desired in some cases (such as when measuring low-reflectivity surfaces) to use an intermediate calibration point (between 0 and 100% on the scale) with this method. In these cases a neutral density filter of known transmittance shall be inserted in the optical path, and the calibration control shall then be adjusted until the meter reads the percentage transmission of the neutral density filter. This filter shall be removed before making reflectivity measurements. "
27.2.8,Indirect calibration method: The indirect calibration method is applicable for those instruments with fixed source and receiver geometry. A properly calibrated and maintained reflectance standard is required. This reference standard should preferably be a flat mirror with a reflectance value as near as possible to that of the test samples.
27.2.9,"""Camera-monitor system (CMS)"" means a device as defined  Paragraph-., where the field of vision is obtained by means of combination of a camera and a monitor defined  Paragraph- Paragraph-."
27.2.10,"""Camera"" means a device that renders an image of the outside world and then converts this image into a signal (e.g. video signal)."
27.2.11,"""Monitor"" means a device that converts a signal into images that are rendered into the visual spectrum."
27.2.12,"""Surveillance camera-monitor-recording device"" means a camera and either a monitor or recording equipment other than the camera-monitor device defined  Paragraph-. which can be fitted to the inside or outside of the vehicle in order to provide fields of vision other than those specified in paragraph 23.7. or to provide a security system within or around the vehicle."
27.2.13,"""Spherical surface"" means a surface, which has a constant and equal radius in all directions."
27.2.14,"""Aspherical surface"" means a surface, which has only in one plane a constant radius."
27.2.15,"""Aspherical mirror"" means a mirror composed of a spherical and an aspherical part, in which the transition of the reflecting surface from the spherical to the aspherical part has to be marked. The curvature of the main axis of the mirror is defined in the x/y coordinate system defined by the radius of the spherical primary calotte with: R: nominal radius in the spherical part k: constant for the change of curvature a: constant for the spherical size of the spherical primary calotte"
27.2.16,"""Centre of the reflecting surface"" means the centre of the visible area of the reflecting surface. "
27.2.17,"""The radius of curvature of the constituent parts of the mirror"" means the radius ""c"" of the arc of the circle which most closely approximates to the curved form of the part in question."
27.2.18,"""Other devices for indirect vision"" means the field of vision is not obtained by means of a mirror or a camera-monitor device."
27.2.19,"""Luminance contrast"" means the brightness ratio between an object and its immediate background/surrounding that allows the object to be distinguished from its background/surroundings. The definition is in accordance with the definition given in ISO 9241- 302:2008."
27.2.20,"""Resolution"" means the smallest detail that can be discerned with a perceptual system, i.e. perceived as separate from the larger whole. The resolution of the human eye is indicated as ""visual acuity""."
27.2.21,"""Critical object"" means a cylindrical object with a height of 0.50 m and a diameter of 0.30 m."
27.2.22,"""Critical perception"" means the level of perception that can just be obtained under critical conditions via the viewing system used. This corresponds to the situation in which the representative scale of the critical object is multiple times larger than the smallest detail that can be perceived via the viewing system."
27.2.23,"""Field of vision"" means the section of the tri-dimensional space which is monitored with the help of a device for indirect vision. Unless otherwise stated, this is based on the view on ground level offered by a device and/or devices other than mirrors. This may be limited by the relevant detection distance corresponding to the critical object."
27.2.24,"""Detection distance"" means the distance measured from the centre of the lens of the camera to the point at which a critical object can just be perceived (as defined by the critical perception)."
27.2.25,"""Visual spectrum"" means light with a wavelength within the range of the perceptual limits of the human eyes: 380-780 nm."
27.2.26,"""Smear"" is a bright line displayed on the monitor while sun light or light from other bright light sources is directly hitting into the lens of the camera."
27.3,The principle of applicable type and scope and of devices for indirect vision shall be as below 
27.3.1,The M and N category of vehicles:
27.3.1.1,The same brand and vehicle type series.
27.3.1.2,The same mirrors radii of curvature (r) for the reflecting surface and dimensions.
27.3.1.3,"The same mirrors design, shape and materials."
27.3.1.4,"The same type, range of vision, amplification, resolution of camera-monitor system."
27.3.2,The L category of vehicles:
27.3.2.1,The same brand and vehicle type series.
27.3.2.2,The same mirrors radii of curvature (r) for the reflecting surface and dimensions.
27.3.2.3,The same mirrors designshape and materialsincluding way of connection with vehicles.
27.4,General specifications
27.4.1,"Surrounding of mirrors (a) Mirrors of rear-view vision (Class II to VII) The edge of the reflecting surface shall be enclosed in a protective housing (holder, etc.) which, on its perimeter, must have a value 'c' greater than or equal to 2.5 mm at all points and in all directions. If the reflecting surface projects beyond the protective housing, the radius of curvature 'c' on the edge of the projecting part shall be not less than 2.5 mm and the reflecting surface must return into the protective housing under a force of 50 N applied to the point of greatest projection, relative to the protective housing, in a horizontal direction, approximately parallel to the longitudinal median plane of the vehicle. (b) Mirrors of rear-view vision (Class I) In cases, where the edge of the reflecting surface is enclosed in a protective housing (holder, etc.), the radius of curvature ""c"" on its perimeter shall be not less than 2.5 mm at all points and in all directions. In cases, where the edge of the reflecting surface projects beyond the protective housing, this requirement shall apply to the edge of the projecting part."
27.4.2,"When the mirror is mounted on a plane surface, all parts, irrespective of the adjustment position of the device, including those parts remaining attached to the support after the test, which are in potential, static contact with a sphere either 165 mm in diameter in the case of an mirror of class I or 100 mm in diameter in the case of mirrors of class II to VII, must have a radius of curvature 'c' of not less than 2.5 mm."
27.4.3,"The requirements  Paragraph- Paragraph- shall not apply to parts of the external surface which protrude less than 5 mm,  but the outward facing angles of such parts shall be blunted, save where such parts protrude less than 1.5 mm. For determining the dimension of the projection, the following method shall apply:"
27.4.3.1,The dimension of the projection of a component which is mounted on a convex surface may be determined either directly or by reference to a drawing of an appropriate section of this component in its installed condition.
