Index,Text
28-1,"Tyre: Effective date from 2013/1/1 Refer to: R30 02-S18, R54 00-S21, R75 00-S16"
28-1.1,Effective date and Scope:
28-1.1.1,"Effective date from 2013/1/1, the new type of tyres used in category symbols M, N and O and L, shall comply with this regulation."
28-1.1.2,"Effective date from 2015/1/1, each type of run flat tyre and speeds in excess of 300 km/h tyre of the category symbols M1, O1 and O2 shall comply with this regulation."
28-1.1.3,"Effective date from 2015/1/1, each type of Tyres used in category symbols L shall comply with this regulation."
28-1.1.4,"As for the category symbol N1, the new pneumatic tyres shall comply with paragraphs Paragraph-. Paragraph-. specified below in this regulation."
28-1.1.5,"Except for large passenger vehicle and child-only vehicle, applicants applying for low volume safety approval could exempt from this regulation."
28-1.1.6,"Applying for vehicle-by-vehicle low volume safety approval, it could exempt from this regulation."
28-1.2,Definitions:
28-1.2.1,"""Normal tyre"" means a tyre intended for normal, on-road use;"
28-1.2.2,"""Snow tyre"" means a tyre whose tread pattern, tread compound or structure is primarily designed to achieve in snow conditions a performance better than that of a normal tyre with regard to its ability to initiate or maintain vehicle motion. The inscription M+S or M.S or M&S if the tyre is classified in the category of use ""snow tyre"" or if the tyre is classified in the category of use ""special use tyre"" when declared by the tyre manufacturer."
28-1.2.3,"""Special use tyre"" means a tyre intended for mixed use both on- and off-road or for other special duty. These tyres are primarily designed to initiate and maintain the vehicle in motion in off-road conditions. The inscription ""MPT"" (or alternatively ""ML"") and /or ""POR"" if the tyre is classified in the category of use ""special use tyre"". In addition, they may also bear the inscription M+S or M.S or M&S. ET means Extra Tread, ML stands for Mining and Logging, MPT means Multi-Purpose Truck and POR means Professional Off Road;"
28-1.2.3.1,"""Professional off-road tyre"" is a special use tyre primarily used for service in severe off-road conditions."
28-1.2.4,"""Diagonal"" or ""bias-ply"": describes a pneumatic-tyre structure in which the ply cords extend to the beads and are laid at alternate angles of substantially less than 90 degrees to the centre line of the tread; "
28-1.2.5,Bias-belted: describes a pneumatic-tyre structure of diagonal (bias-ply) type in which the carcass is restricted by a belt comprising two or more layers of substantially inextensible cord material laid at alternate angles close to those of the carcass;
28-1.2.6,"""Radial"" describes a pneumatic-tyre structure in which the ply cords extend to the beads and are laid substantially at 90 degrees to the centre line of the tread, the carcass being stabilized by an essentially inextensible circumferential belt;"
28-1.2.7,Reinforced or Extra Load: describes a pneumatic-tyre structure in which the carcass is more resistant than that of the corresponding standard tyre;
28-1.2.8,"""Temporary use spare tyre"" means a tyre different from a tyre intended to be fitted to any vehicle for normal driving conditions but intended only for temporary use under restricted driving conditions;"
28-1.2.9,T-type temporary use spare tyre: means a type of temporary use spare tyre designed for use at inflation pressures higher than those established for standard and reinforced tyres;
28-1.2.10,Cord: means the strands forming the fabric of the plies in the pneumatic tyre;
28-1.2.11,Ply: means a layer of rubber-coated parallel cords;
28-1.2.12,"Carcass: means that part of a pneumatic tyre other than the tread and the rubber side walls which, when inflated, bears the load;"
28-1.2.13,"Tread: means that part of a pneumatic tyre which comes into contact with the ground, protects the carcass against mechanical damage and contributes to ground adhesion;"
28-1.2.14,"Section width: means the linear distance between the outsides of the side walls of an inflated pneumatic tyre, excluding elevations due to labelling (marking), decoration or protective bands or ribs;"
28-1.2.15,"Overall width: means the linear distance between the outsides of the side walls of an inflated pneumatic tyre, including labelling (marking), decoration and protective bands or ribs;"
