Index,Text
29,"Filament lamps Refer to: R37 03-S45, R99 00-S12"
29.1,Effective date and Scope:
29.1.1,"Effective date from 2006/7/1, new types of bulbs using in vehicles of category symbols M, N and O, and from 2008/7/1 all types of bulbs using in vehicles of category symbols M, N and O, bulbs of lamp using of safety type approval for vehicle shall comply with this regulation (according  Paragraph-, it shall exclude Paragraph- Paragraph-)."
29.1.2,"Effective date from 2009/1/1, new types of bulbs using in vehicles of category symbols L1 and L3, and from 2011/1/1 all types of bulbs using in vehicles of category symbols L1, L2, L3 and L5, bulbs of lamp using of safety type approval for vehicle shall comply with this regulation (according  Paragraph-, it shall exclude Paragraph- Paragraph-)."
29.1.3,"For new type bulbs of lamps using in category M, N, O and L, shall comply Paragraph-."
29.1.4,"Effective date from 2017/1/1, new types of bulbs using in vehicles of category symbols M, N ,O and L, and from 2019/1/1 existing types of bulbs using in vehicles of category symbols M, N and O , except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform  Paragraph- Paragraph- of this regulation, and certification institution may do a reality check when necessary."
29.1.5,The applicants applying for low volume safety approval could exempt from regulation of Filament lamps except large passenger vehicle and child-only vehicle.
29.1.6,"Applying for vehicle-by-vehicle low volume safety approval, the vehicle could exempt from regulation of Filament lamps."
29.2,Definitions
29.2.1,General
29.2.1.1,"""Light source"" means one or more elements for visible radiation, with a base for mechanical and electrical connection, possibly assembled with one or more components to control the elements for visible radiation; "
29.2.1.1.1,"""Filament light source"" means a light source where the only element for visible radiation is one or more filaments producing thermal radiation;"
29.2.1.1.2,"""Gas-discharge light source"" means a light source where the only element for visible radiation is a discharge arc producing electroluminescence;"
29.2.1.1.3,"""Light-emitting diode (LED) light source"" means a light source where the only element for visible radiation is one or more solid state junctions producing electroluminescence possibly completed with one or more elements for fluorescence-based conversion."
29.2.1.2,"""Standard (étalon) light source"" means a special light source used for the testing of lighting and light-signalling devices. It has reduced tolerances for dimensional, electrical and photometric characteristics as specified on the relevant data sheet."
29.2.1.3,"""Ballast"" means one or more components, either between supply and light source or integrated with a light source, to control the electrical current of the gas-discharge light source;"
29.2.1.4,"""Objective value(s)"" means design value(s) to be achieved within specified tolerances when the light source or the ballast of the gas discharge light source is energized at specified test voltage(s)"
29.2.2,Dimensional characteristics
29.2.2.1,"""Reference axis"" means an axis defined with reference to the cap and to which certain dimensions of the light source are referred."
29.2.2.2,"""Reference plane"" means a plane defined with reference to the cap and to which certain dimensions of the light source are referred."
29.2.2.3,"""Light centre"" means a point that represents the origin of the light emitted."
29.2.2.4,"""Light centre length"" means the distance between the reference plane and the light centre."
29.2.2.5,"""Viewing axis on to the light source"" means an axis through the nominal light centre at defined polar and azimuthal angle. "
29.2.3,Electrical characteristics
29.2.3.1,"""Test voltage"" means the voltage, at the input terminals of the light source or at the terminals of the ballast for the gas-discharge light source, for which the electrical and photometric characteristics of the light source are intended and are to be tested."
29.2.3.2,"""Rated voltage"" means the voltage (in volts) marked on the light source or on the ballast."
29.2.3.3,"""Rated wattage"" means the wattage marked on the light source or on the ballast."
29.2.4,Photometric characteristics
29.2.4.1,"""Reference luminous flux"" means an accurately specified luminous flux value of a standard light source serving as a reference for the optical characteristics of a lighting or light signalling device."
29.2.4.2,"""Measuring luminous flux"" means specified value of the luminous flux for testing a filament light source with an internal shield to produce the cut-off."
29.2.4.3,"""Cumulative luminous flux"" means the luminous flux emitted by the light source under operating conditions, within a cone enclosing a specified solid angle and centred on the reference axis."
29.2.4.4,"""Normalized luminous intensity"" means luminous intensity divided by the luminous flux of the light source."
29.2.5,Specifications marked;
29.2.5.1,Gas-discharge light source
29.2.5.1.1,Means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:
29.2.5.1.1.1,Brand (or marking).
29.2.5.1.1.2,The rated wattage.
29.2.5.1.1.3,"Corresponding to the type name (figure as below, a is at least 2.5 mm). "
29.2.5.1.1.4,"In case the ballast is not integrated with the light source, the ballast used for the type approval of the light source shall be marked with type and trade mark identification and with the rated voltage and wattage, as indicated on the relevant gas-discharge light source sheet."
29.2.5.2,General bulbs:
29.2.5.2.1,Means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below
29.2.5.2.1.1,Brand(or marking).
29.2.5.2.1.2,"The rated voltage. However, for filament lamps for which only a 12 V type is standardised and the maximum allowed bulb diameter of which does not exceed 7.5 mm, the rated voltage need not be marked."
29.2.5.2.1.3,"The international designation of the relevant category. The wattage character ""W"" of this designation need not be marked when the maximum allowed bulb diameter of the filament lamp type does not exceed 7.5 mm."
29.2.5.2.1.4,"The rated wattage (in the sequence, high wattage/low wattage filament for dual-filament lamps); this need not be indicated separately if it is part of the international designation of the relevant filament lamp category. (figure as below , a is at least 2.5 mm)"
29.2.6,Standard filament lamps:
29.2.6.1,Bulbs of standard (etalon) filament lamps emitting white light shall not alter the CIE trichromatic coordinates of a luminous source having a color temperature of 2856 K by more than 0.010 units in the x and/or y direction.
29.2.6.2,"For standard (etalon) filament lamps emitting amber or red light, changes of the bulb temperature shall not affect the luminous flux. Moreover, the color shall lie within the tolerance area. "
29.3,Bulbs shall according to suitable variants and range are of principle
29.3.1,Brand.
29.3.2,"Bulb design, in so far as these differences affect the optical results"
29.3.3,"Bulb colour (A selective-yellow bulb or an additional selective-yellow outer bulb, solely intended to change the colour but not the other characteristics of a filament lamp emitting white light, does not constitute a change of variant of the filament lamp)"
29.3.4,Rated voltage
29.4,The gas-discharge light source
29.4.1,General specifications
29.4.1.1,"Each sample submitted shall conform to the relevant specifications of this Regulation when tested, in the case the ballast is not integrated with the light source with the ballast."
29.4.1.2,Gas-discharge light sources shall be so designed as to be and to remain in good working order when in normal use. They shall moreover exhibit no fault in design or manufacture.
29.4.1.3,The discharge arc shall be the only element of the gas-discharge light source that generates and emits light when energized.
29.4.2,Visual Appearance
29.4.2.1,The bulb of the gas-discharge light source shall exhibit no scores or spots that might impair their efficiency and optical performance.
29.4.2.2,"In the case of a colored (outer) bulb, after an operating period of 15 hours with the ballast or the light source with the ballast integrated at test voltage, the surface of the bulb shall be lightly wiped with a cotton cloth soaked in a mixture of 70% volume of n-heptane and 30% volume of toluol. After about five minutes, the surface shall be inspected visually. It shall not show any apparent changes."
29.4.2.3,"Gas-discharge light sources shall be equipped with standard caps complying with the cap data sheets of IEC Publication  60061, as specified on the individual data sheets."
29.4.2.4,The cap shall be strong and firmly secured to the bulb.
29.4.2.5,"To ascertain whether gas-discharge light sources conform to the requirements  Paragraph-. to 29.4.2.4. above, a visual inspection, a dimension check and, where appropriate, a trial fitting shall be carried out."
