Index,Text
30-2,"Gas-discharge Headlamps :Effective date from 2017/1/1 Refer to: R98 01-S7, R113 01-S6"
30-2.1,Effective date and Scope:
30-2.1.1,"Effective date from 2017/1/1, the new types of gas-discharge headlamps and distributed lighting systems of gas-discharge light sources equipped on category symbols M, N ,L3 and L5, shall comply with this regulation and shall be use bulbs that is conform with of this Direction."
30-2.1.2,"Effective date from 2018/1/1, the new types of Class E headlamps equipped on categories of L, shall comply with paragraph10. and shall be use gas-of this Direction."
30-2.1.3,"Effective date from 2019/1/1, existing types of gas-discharge headlamps which -1 Gas-discharge of category symbols M, N and L , except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to"
30-2.4.6,"of this regulation, and certification institution may do a reality check when necessary."
30-2.1.4,The applic-passenger vehicle and child-only vehicle.
30-2.1.5,Applying for vehicle-by-gas-discharge headlamps
30-2.2,Definitions:
30-2.2.1,"""Lens"" means the outermost component of the headlamp (unit) which transmits light through the illuminating surface;"
30-2.2.2,"""Coating"" means any product or products applied in one or more layers to the outer face of a lens;"
30-2.2.3,"""Additional lighting unit"" means the part of a headlamp system that provides the bend lighting. It is independent from the device that provides the principal passing beam, may consist of optical, mechanical and electrical components, and it may be grouped and/or reciprocally incorporated with other lighting or light-signaling devices. "
30-2.3,Gas-discharge Headlamps shall according to suitable types and range of principle are as below
30-2.3.1,The same trade name
30-2.3.2,The same characteristics of the optical system howevers types.
30-2.3.3,"The same inclusion or elimination of components capable of altering the optical effects by reflection, refraction, absorption and/or deformation during operation"
30-2.3.4,The same kind of beam produced (passing beam or driving beam or both)
30-2.3.5,"The same category of filament lamp( s), the gas-discharge light source or the light source module specific identification code( s);"
30-2.4,General rule
30-2.4.1,Provisions concerning passing beams
30-2.4.1.1,Gas-discharge light source: The test voltage is either 13.2 V 0.1V for 12V systems or otherwise specified by the mark on headlamp unit.
30-2.4.1.2,"It shall conform to requirements concerning The lamp shall be measured by means of an uncoloured standard (etalon) filament lamp designed for a rated voltage of 12 V. During the checking, the voltage at the terminals of the filament lamp shall be regulated so as to obtain the reference luminous flux at 13.2 V as indicated at the relevant data sheet ."
30-2.4.1.3,"In the case of LED module(s): The lamp shall be measured at 6.3 V, 13.2 V or 28.0V respectively, if not otherwise specified within this Regulation. LED module(s) operated by an electronic light source control gear, shall be measured as specified by the applicant."
30-2.4.2,Only one gas-discharge light source is permitted for each passing beam headlamp. A maximum of two additional light sources are permitted as follows:
30-2.4.2.1, the passing beam headlamp to contribute to bend lighting.
30-2.4.2.2,"One additional light source according to regulation r more LED module(s) inside the passing beam headlamp, may be used for the purposes of generating infrared radiation. It/they shall only be activated at the same time as the gas-discharge light source. In the event that the gas-discharge light source fails, this additional light source and/or LED module(s) shall be automatically switched off. The test voltage for the measurement with this additional light source and/or LED module(s) shall be the same as  Paragraph-."
30-2.4.2.3,"In the event of failure of an additional light source or LED module, the headlamp shall continue to fulfil the requirements of the passing beam."
30-2.4.3,"Except for Class E headlamps, on headlamps designed to provide alternately a driving beam and a passing beam or a passing beam and/or a driving beam designed to become a bend lighting, any mechanical, electro-mechanical or other device incorporated in the headlamp for these purposes must be so constructed that:"
30-2.4.3.1,"the device is robust enough to withstand 50,000 operations under normal conditions of use. In order to verify compliance with this requirement, the Technical Service responsible for approval tests may: (a) require the applicant to supply the equipment necessary to perform the test; (b) forego the test if the headlamp presented by the applicant is accompanied by a test report, issued by a Technical Service responsible for approval tests for headlamps of the same construction (assembly), confirming compliance with this requirement."
