Index,Text
31,Direction indicator Refer to: R6 01-S26 R50 00-18
31.1,Effective date and Scope:
31.1.1,"Effective date from 2006/7/1, new types of direction indicator using in vehicles of category symbols M, N and O, and from 2008/7/1, all types of direction indicator using in vehicles of category symbols M, N and O, shall comply with this regulation and shall be use bulbs that is conform with Filament lampsof this Direction (according  Paragraph-, it shall exclude Paragraph-)."
31.1.2,"Effective date from 2009/1/1, new types of direction indicator using in vehicles of category symbols L1 and L3, and from 2011/1/1, all types of direction indicator using in vehicles of category symbols L1, L2, L3 and L5, shall comply with this regulation and shall be use bulbs that is conform with Filament lampsof this regulation (according  Paragraph-, it shall exclude Paragraph-)."
31.1.3,"Effective date from 2014/1/1, the category symbols M, N and O, it should apply for the direction indicators of category 1, 1a, 1b, 2a, 2b, 5 and 6, and direction indicator lamps of categories 3 and 4 which were approved before 2014/1/1 are still valid."
31.1.4,"Effective date from 2017/1/1, new types of direction indicator using in vehicles symbols M, N, O and L, and from 2019/1/1, existing types of direction indicator using in vehicles of category symbols M, N, O and L, except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to 31.2.3. of this regulation, and certification institution may do a reality check when necessary."
31.1.5,"For the vehicles imported by authorities, organizations, institutes or individuals for self-use only may be exempt from regulation of direction indicator Effective date from 2017/1/1, for the vehicles imported by authorities, organizations, institutes or individuals for self-use, if the vehicle registered and owned by the importer for more than six months from abroad, it could exempt from the regulation of ""direction indicators"". "
31.1.6,"For the low volume type safety approval, maximum 20deviation of the levels of intensity standard of this test is allowed, and if the light source is LED, it can omit the failure conditions test."
31.2,Categories of direction indicators Means it conforms to category of
31.2.3,Specifications marked below;
31.2.1,"Vehicles of category symbols M, N, O and L(applicable to category 1 and category 2 only) Category 1: For use at a distance not less than 40 mm from the dipped-beam headlamp and/or the front fog lamp; Category 1a: For use at a distance greater than 20 mm but less than 40 mm from the dipped beam headlamp and/or the front fog lamp; Category 1b: For use at a distance less than or equal to 20 mm from the dipped-beam headlamp and/or the front fog lamp. Category 2a: Direction indicators with steady of intensity for the rear of the vehicle. Category 2b: Direction indicators with variable of intensity for the rear of the vehicle. Category 3: Front-side direction indicators for use on a vehicle equipped with this category of direction indicator only. Category 4: Front-side direction indicators for use on a vehicle also equipped with category 2a or 2b direction indicators. Category 5 and 6: Supplementary side direction indicators for use on a vehicle also equipped with category 1/1a/1b and 2a/2b direction indicators."
31.2.2,"Vehicles of category symbols L1 and L3 Category 11, 11a, 11b, 11c: Direction indicators for the front of the vehicle. Category 11: For use at a distance not less than 75 mm from the passing beam headlamp. Category 11a: For use at a distance not less than 40 mm from the passing beam headlamp. Category 11b: For use at a distance not less than 20 mm from the passing beam headlamp. Category 11c: For use at a distance less than 20 mm from the passing beam headlamp.  Category 12: Direction indicators for the rear of the vehicle."
31.2.3,Specifications marked
31.2.3.1,"Vehicles of category symbols M, N, O and L apply to 31.4.5.1, means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:"
31.2.3.1.1,"Brand (or marking), type of replaceable light sources(or MD(or MODULE) the light source module specific identification code)."
31.2.3.1.2,"In case of lamps with an electronic light source control gear or a variable intensity control and/or non-replaceable light sources and/or light source module(s), bear the marking of the rated voltage or range of voltage and rated wattage."
31.2.3.1.3,"The light source module must to mark Brand (or marking), MD(or MODULE) the light source module specific identification code, rated voltage (or ranged voltage)and rated wattage. However this provision does not apply to the LED is non-replaceable."
