Index,Text
32-2,Front fog lamps Refer to: R19 04-S8
32-2.1,Effective date and Scope:
32-2.1.1,"Effective date from 2017/1/1, new types of front fog lamps using in vehicles of category symbols M, N, L3 and L5, shall comply with F3 front fog lamps regulation and shall be use bulbs that is conform with of this Direction."
32-2.1.1.1,"Effective date from 2017/1/1, applying all types of Class B front fog lamps is not allowed."
32-2.1.2,"Effective date from 2019/1/1, existing types of front fog lamps -symbols M, N, L3 and L5, except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to"
32-2.2.3,"of this regulation, and certification institution may do a reality check when necessary."
32-2.1.3,front fog lampsvehicle and child-only vehicle.
32-2.1.4,"Applying for vehicle-by-vehicle low volume safety approval, the vehicle may be exfront fog lamps"
32-2.1.5,The definitions given in The installation of lighting and light-signaling devices and its series of amendments in force at the time of application for type approval shall apply to this Regulation.
32-2.1.6,References made in this Regulation to standard (etalon) light sources and lamps shall refer to Filament lamps and their series of amendments in force at the time of application for type approval.
32-2.2,Definitions
32-2.2.1,The front fog lamps; means the lamp conform to
32-2.2.3,"Specifications marked, and on a vehicle that improves the illumination of the road in condition of fog, snowfall, heavy rain and dust cloud.."
32-2.2.2,"""Colour of the light emitted from the device."" The definitions of the colour of the light emitted, given in 03 The installation of lighting  and light-signaling devices and its series of amendments in force at the time of application for type approval, shall apply to this Regulation."
32-2.2.3,Specifications marked
32-2.2.3.1,Means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:
32-2.2.3.1.1,Brand(or marking)/Class F3 front fog lamps: The LED module specific identification code.
32-2.2.3.1.2,"Class F3 front fog lamps: In case of lamps with LED module(s) the lamp shall bear the marking of the rated voltage, rated wattage and the light source module specific identification code."
32-2.2.3.1.3,"The light source module must to mark Brand (or marking), MD(or MODULE) the light source module specific identification code. However this provision does not apply to the LED is non-replaceable."
32-2.2.3.1.4,"If an electronic light source control gear is used, which is not part of the LED module it shall be marked with its specific identification code(s), the rated voltage and rated wattage."
32-2.2.3.1.5,"On front fog lamps meeting the requirements of this Regulation, in the case of: Class B; the letter ""B""; Class F3; the symbol ""F3""."
32-2.2.3.1.6,"On front fog lamps incorporating a lens of plastic material the group of letters ""PL"" to be affixed near the symbols prescribed  Paragraph-. above (figure as below , )."
32-2.2.3.1.7,In the corresponding cases the device shall be marked as follows:
32-2.2.3.1.7.1,"On units meeting the requirements of this Regulation which are so designed that the filament(s) of one function shall not be lit simultaneously with that of any function with which it may be reciprocally incorporated, an oblique  stroke (/) shall be placed behind the symbol in the approval mark of such function."
32-2.2.3.1.7.2,"However, if only the front fog lamp and the passing-lamp shall not be lit simultaneously, the oblique stroke shall be placed behind the fog lamp symbol, this symbol being placed either separately or at the end of a combination of symbols."
32-2.2.3.1.7.3,"On units meeting the requirements of paragraph 7 to this Regulation only when supplied with a voltage of 6 V or 12 V, a symbol consisting of the number 24 crossed out by an oblique cross (x) shall be placed near the filament lamp holder."
32-2.2.3.1.7.4,"Front fog lamps of Class F3 having asymmetric light distribution and which must not be indiscriminately mounted on either side of the vehicle, shall bear an arrow pointing to the outside of the vehicle."
32-2.2.3.1.8,The marks and symbols referred to  Paragraph-. to 32-2.2.3.1.7. above shall be clearly legible and be indelible even when the front fog lamp is fitted in the vehicle.
32-2.2.3.1.9,Centre of reference: This optional mark of the centre of reference shall be positioned on the lens at its intersection with the reference axis of the front fog lamp.  The above drawing represents the mark of the centre of reference as projected on a plane substantially tangential to the lens about the centre of the circle. The lines constituting this mark may either be solid or dotted.
32-2.3,Front fog lamps shall according to suitable variants and range are of principle
32-2.3.1,The same brand.
32-2.3.2,"The same lamp classes (B or F3), the characteristics of the optical system (basic optical design), type / category of light source, LED module, etc.), However, if the colour of light source or filter is change that it does not mean to change the variants."
32-2.3.3,"The inclusion of components capable of altering the optical effects by reflection, refraction, absorption and/or deformation during operation and the variable intensity control shall be the same."
32-2.3.4,The same category of bulbs and/or LED module specific identification code (s).
32-2.3.5,A device intended for the installation on the left side of the vehicle and the corresponding device intended for the installation of the right side of the vehicle shall be considered to be of the same type.
32-2.4,General Specifications
32-2.4.1,In the case of the use of replaceable light sources:
32-2.4.1.1,The light source's holder shall conform to the characteristics given in IEC Publication No. 60061. The holder data sheet relevant to the category of light sources used applies;
32-2.4.1.2,The light source shall fit easily into the front fog lamp;
32-2.4.1.3,The design of the device shall be such that the light source(s) can be fixed in no other position but the correct one.
32-2.4.2,"In the case of Class B, the front fog lamp shall be equipped with one filament lamp approved according to 29 Filament lamps even if the filament lamp cannot be replaced. Any 29 Filament lamps filament lamp may be used, provided that (a) Its objective luminous flux does not exceed 2,000 lumen, and (b) No restriction on the use is made in 29 Filament lamps and its series of amendments in force at the time of application for type  approval.."
32-2.4.3,"In the case of Class F3, irrespective of whether the light sources can be replaced or not, they shall be:"
32-2.4.3.1,One or more light sources approved according to:
