Index,Text
34,"Front position lamps Refer to: R7 02-S25, R50 00-S17"
34.1,Effective date and Scope:
34.1.1,"Effective date from 2006/7/1, new types of front position lamps using in vehicles of category symbols M, N and O, and from 2008/7/1 all types of front position lamps using in vehicles of category symbols M, N and O, shall comply with this regulation and shall be of this Direction(according  Paragraph-, it shall exclude Paragraph-)."
34.1.2,"Effective date from 2009/1/1, new types of front position lamps using in vehicles of category symbols L1 and L3, and from 2011/1/1 all types of front position lamps using in vehicles of category symbols L1, L2, L3 and L5, shall comply with this regulation and shall be use bulbs that is conform with Filament lamps of this Direction (according  Paragraph-, it shall exclude Paragraph-)."
34.1.3,"Effective date from 2017/1/1, new types of front position lamps using in vehicles of category symbols M, N, O and L , and from 2019/1/1, existing types of front position lamps using in vehicles of category symbols M, N, O and L , except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to"
34.2.2,"of this regulation, and certification institution may do a reality check when necessary."
34.1.4,"For the vehicles imported by authorities, organizations, schools or individuals for self-use only may be exempt from regulation of front position lamps. Effective date from 2017/1/1, for the vehicles imported by authorities, organizations, institutes or individuals for self-use, if the vehicle registered and owned by the importer for more than six months from abroad, it could exempt from the regulation of ."
34.1.5,"For the low volume type safety approval, maximum 20deviation of the levels of intensity standard of this test is allowed, and if the light source is LED, it can omit the failure conditions test. "
34.2,Front position lampsThe lamp conform to
34.2.2,Specifications marked is used to indicate the presence and the width of vehicle when viewed from the front.
34.2.1,An interdependent lamp system shall meet the requirements when all its interdependent lamps are operated together.
34.2.2,Specifications marked
34.2.2.1,"Vehicles of category symbols M, N, O and L apply to 34.4.4.1, means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:"
34.2.2.1.1,"Brand (or marking), type of replaceable light sources(or MD(or MODULE) the light source module specific identification code)."
34.2.2.1.2,"In case of lamps with an electronic light source control gear or a variable intensity control and/or non-replaceable light sources and/or light source module(s), bear the marking of the rated voltage or range of voltage and rated wattage."
34.2.2.1.3,"The light source module must to mark brand (or marking), MD(or MODULE) the light source module specific identification code, rated voltage (or ranged voltage)and rated wattage. However this provision does not apply to the LED is non-replaceable."
34.2.2.1.4,"Lamps operating at voltages other than the nominal rated voltages of 6 V, 12 V or 24 V respectively, by the application of an electronic light source control gear or a variable intensity control being not part of the lamp, or having a secondary operating mode, must also bear a marking denoting the rated secondary design voltage."
34.2.2.1.5,An electronic light source control gear or a variable intensity control being part of the lamp but not included into the lamp body shall bear the name of the manufacturer and its identification number.
34.2.2.1.6,"The letter ""A"" represents (figure as below , a is at least 5 mm). "
34.2.2.1.7,"On front position lamps of which the visibility angles are asymmetrical with regard to the reference axis in a horizontal direction, and on front or rear end-outline marker lamps, a horizontal arrow pointing towards the side on which the photometric specifications are met up to an angle of 80 deg. H."
34.2.2.1.8,"On devices which may be used as part of an assembly of two lamps, the additional letter ""D"" to the right of the symbol mentioned  Paragraph-."
34.2.2.1.9,On devices with reduced light distribution in conformity  Paragraph-. to this Regulation a vertical arrow starting from a horizontal segment and directed downwards.
34.2.2.1.10,"On interdependent lamps, which may be used as part of an interdependent lamp system, the additional letter ""Y"" to the right of the symbol mentioned  Paragraph- shall be marked on each device."
34.2.2.1.11,The marks and symbols referred to  Paragraph-. to 34.2.2.1.10. above shall be clearly legible and indelible even when the device is fitted in the vehicle.
34.2.2.2,"Vehicles of category symbols L apply to 34.4.4.2, means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:"
34.2.2.2.1,"Brand (or marking), type of replaceable light sources (or MD(or MODULE) the light source module specific identification code)."
34.2.2.2.2,"In case of lamps with non-replaceable light sources or light source module(s), bear the marking of the rated voltage or  range of voltage and rated wattage."
34.2.2.2.3,"The light source module must to mark brand (or marking), MD (or MODULE) the light source module specific identification code, rated voltage (or ranged voltage) and rated wattage. However this provision does not apply to the LED is non-replaceable."
34.2.2.2.4,"On front position lamps of which the visibility angles are asymmetrical with regard to the reference axis in a horizontal direction, and on front or rear end-outline marker lamps, a horizontal arrow pointing towards the side on which the photometric specifications are met up to an angle of 80 deg. H (figure as below , a is at least 5 mm)."
34.2.2.2.5,On devices with reduced light distribution in conformity  Paragraph- a vertical arrow starting from a horizontal segment and directed downwards.
34.2.2.2.6,"On interdependent lamps, which may be used as part of an interdependent lamp system, the additional symbol shall MAY"
34.2.2.2.7,The approval mark referred to  Paragraph- to
34.2.2.2.6,"above shall be clearly legible and be indelible. It may be placed on an inner or outer part (transparent or not) of the device emitting the light. In any case the marking shall be visible when the device is fitted on the vehicle or when a movable part (such as the hood, trunks lid which belong to vehicles  liftable panel ) is opened."
34.3,Front position lamps shall according to suitable variants and range are of principle
34.3.1,The same brand.
34.3.2,"The same characteristics of the optical system (levels of intensity, light distribution angles, category of light source, light source module, etc.)however change that it doesnt mean to change the variants."
34.3.3,"The variable intensity control, if any."
34.4,Photometric measurementspÉ.
34.4.1,"Within the field of light distribution schematically shown as a grid in Figure 1, the light pattern should be substantially uniform."
34.4.2,"In each direction corresponding to the points in the light distribution be not less than the product of the minimum specified in Table1 by the percentage specified in the said figure of the direction in question. In no direction within the space from which the light-signalling device is visible, exceed the maximum specified in Table."
34.4.2.1,For an assembly of two or more lamps the total intensity shall not exceed the maximum value prescribed for a single lamp.
34.4.2.2,"When an assembly of two independent lamps to be type approved as ""D"" lamps having the same function is deemed to be a single lamp, it shall comply with the requirements for:"
34.4.2.2.1,Maximum intensity if all lamps together are lit;
34.4.2.2.2,Minimum intensity if either lamp has failed.
34.4.2.3,In case of failure of a single lamp containing more than one light source the following provisions shall apply:
34.4.2.3.1,"A group of light sources, wired so that the failure of any one of them causes all of them to stop emitting light, shall be considered to be one light source."
34.4.2.3.2,"The lamp shall comply with the minimum intensity required in the table of standard light distribution in space as shown in figure 1 when any one light source has failed. However, for lamps designed for only two light sources, 50% of the  minimum intensity in the axis of reference of the lamp shall be considered sufficient, provided that a note  Paragraph- that the lamp is only for use on a vehicle fitted with a tell-tale which indicates when any one of these two light sources has failed."
34.4.3,"Moreover, throughout the fields defined in the diagrams, the intensity of the light emitted must be not less than 0.05 cd. In the case where a device is intended to be installed at a mounting height of equal to or less than 750 mm above the ground, the photometric intensity is verified only up to an angle of 5 degrees downwards."
34.4.4,Angles required for light distribution in space of the lamps (The vehicles of category symbols L shall comply with Paragraph- Paragraph- of this regulation):
34.4.4.1,"In the case of front position lamps used on the vehicles of category symbols M, N, O and L horizontal angles are shown in Figure 2 (H plane: ""horizontal plane going through the reference centre of the lamp"").The minimum vertical angles of light distribution in space are 15 degrees above and 15 degrees below the horizontal except"
34.4.4.1.1,"For lamps with a permissible mounting height less than 750 mm above the ground, for which they are 15 degrees above and 5 degrees below the horizontal."
34.4.4.1.2,"Optional lamps intended to be installed with their H plane at a mounting height more than 2,100 mm above the ground, for which they are 5 deg. above and 15 deg. below the horizontal;"
34.4.4.2,This requirement only suitable for the vehicles of category symbols L:
