Index,Text
35,"Rear position lamps Refer to: R07 02-S25, R50 00-S17"
35.1,Effective date and Scope:
35.1.1,"Effective date from 2006/7/1, new types of rear position lamps using in vehicles of category symbols M, N and O, and from 2008/7/1 all types of rear position lamps using in vehicles of category symbols M, N and O, shall comply with this regulation and shall be use bulbs that is conform with Filament lamps of this Direction(according  Paragraph-, it shall exclude Paragraph-)."
35.1.2,"Effective date from 2009/1/1, new types of rear position lamps using in vehicles of category symbols L1 and L3, and from 2011/1/1 all types of rear position lamps using in vehicles of category symbols L1, L2, L3 and L5, shall comply with this regulation and shall be use bulbs that is conform with Filament lamps of this Direction(according  Paragraph-, it shall exclude Paragraph-)."
35.1.3,"Effective date from 2017/1/1, new types of rear position lamps using in vehicles of category symbols M, N, O and L, and from 2019/1/1, existing types of rear position lamps using in vehicles of category symbols M, N, O and L , except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to"
35.2.3,"of this regulation, and certification institution may do a reality check when necessary."
35.1.4,"For the vehicles imported by authorities, organizations, schools or individuals for self-use only could exempt from regulation of Rear position lamps. Effective date from 2017/1/1, for the vehicles imported by authorities, organizations, institutes or individuals for self-use, if the vehicle registered and owned by the importer for more than six months from abroad, it could exempt from the regulation of Rear position lamps."
35.1.5,"For the low volume type safety approval, maximum 20deviation of the levels of intensity standard of this test is allowed, and if the  light source is LED, it can omit the failure conditions test."
35.2,Rear position lamps means the lamp conform to
35.2.3,Specifications marked and used to indicate the presence and the width of the vehicle when viewed from the rear.
35.2.1,"In case of failure of the variable intensity control R2, emitting more than the maximum value of category R or R1, of a rear position lamp, requirements of steady luminous intensity of the respective category shall be fulfilled automatically."
35.2.2,"An interdependent lamp system shall meet the requirements when all its interdependent lamps are operated together. However, if the interdependent lamp system providing the rear position lamp function is partly mounted on the fixed component and partly mounted on a movable component, the interdependent lamp(s) specified by the Applicant shall meet the outboard geometric visibility, colorimetric and photometric requirement, at all fixed positions of the movable component(s). In this case, the inboard geometric visibility requirement is deemed to be satisfied if this (these) interdependent lamp(s) still conform to the photometric values prescribed in the field of light distribution for the approval of the device, at all fixed positions of the moveable component(s)."
35.2.3,Specifications marked
35.2.3.1,"Vehicles of category symbols M, N, O and L apply to 34.4.6.1, means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:"
35.2.3.1.1,"Brand (or marking), type of replaceable light sources (or MD(or MODULE) the light source module specific identification code)."
35.2.3.1.2,"In case of lamps with an electronic light source control gear or a variable intensity control and/or non-replaceable light sources and/or light source module(s), bear the marking of the rated voltage or range of voltage and rated wattage."
35.2.3.1.3,"Lamps operating at voltages other than the nominal rated voltages of 6 V, 12 V or 24 V respectively, by the application of an electronic light source control gear or a variable intensity control being not part of the lamp, or having a secondary  operating mode, must also bear a marking denoting the rated secondary design voltage."
35.2.3.1.4,"The light source module must to mark brand (or marking), MD (or MODULE) the light source module specific identification code, rated voltage (or ranged voltage)and rated wattage. However this provision does not apply to the LED is non-replaceable."
35.2.3.1.5,An electronic light source control gear or a variable intensity control being part of the lamp but not included into the lamp body shall bear the name of the manufacturer and its identification number.
35.2.3.1.6,"On devices meeting the requirements of this Regulation in respect of the rear position lamps, the letter ""R"" followed or not by the Figure ""1"" when the device produces steady luminous intensity and by the Figure ""2"" when the device produces variable luminous intensity (figure as below a is at least 5 mm)."
35.2.3.1.7,"On devices comprising both a rear position lamp and a stop- lamp meeting the requirements of this Regulation in respect of such lamps, the letters ""R"" or ""R1"" or ""R2"" and ""S1"" or ""S2"" as the case may be, separated by a horizontal dash."
35.2.3.1.8,"On front or rear position lamps of which the visibility angles are asymmetrical with regard to the reference axis in a horizontal direction, and on front or rear end-outline marker lamps, a horizontal arrow pointing towards the side on which the photometric specifications are met up to an angle of 80 deg. H. "
35.2.3.1.9,"On devices which may be used as part of an assembly of two lamps, the additional letter ""D"" to the right of the symbol mentioned  Paragraph-."
35.2.3.1.10,On devices with reduced light distribution in conformity  Paragraph-. to this Regulation a vertical arrow starting from a horizontal segment and directed downwards.
35.2.3.1.11,"On interdependent lamps, which may be used as part of an interdependent lamp system, the additional letter ""Y"" to the right of the symbol mentioned  Paragraph- Paragraph- shall be marked on each device."
35.2.3.1.12,The marks and symbols referred to  Paragraph-. to 35.2.3.1.11. above shall be clearly legible and indelible even when the device is fitted in the vehicle.
35.2.3.2,"Vehicles of category symbols L apply to 35.4.6.2, means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:"
35.2.3.2.1,"Brand (or marking), type of replaceable light sources(or MD (or MODULE) the light source module specific identification code)."
35.2.3.2.2,"In case of lamps with non-replaceable light sources or light source module(s), bear the marking of the rated voltage or range of voltage and rated wattage."
35.2.3.2.3,"The light source module must to mark brand (or marking), MD (or MODULE) the light source module specific identification code, rated voltage (or ranged voltage)and rated wattage. However this provision does not apply to the LED is non-replaceable."
35.2.3.2.4,"On front position lamps of which the visibility angles are asymmetrical with regard to the reference axis in a horizontal  direction, and on front or rear end-outline marker lamps, a horizontal arrow pointing towards the side on which the photometric specifications are met up to an angle of 80 deg. H (figure as below , a is at least 5 mm)."
35.2.3.2.5,On devices with reduced light distribution in conformity  Paragraph- a vertical arrow starting from a horizontal segment and directed downwards.
35.2.3.2.6,"On interdependent lamps, which may be used as part of an interdependent lamp system, the additional symbol shall MRY."
35.2.3.2.7,"The approval mark referred to  Paragraph- to 35.2.3.2.6. above shall be clearly legible and be indelible. It may be placed on an inner or outer part (transparent or not) of the device emitting the light. In any case the marking shall be visible when the device is fitted on the vehicle or when a movable part (such as the hood, trunks lid which belong to vehicles liftable panel ) is opened."
35.2.4,"If the two devices of a type of device which meet the requirements of this Regulation, approval shall be granted. All the devices of an interdependent lamp system shall be submitted for type approval by the same applicant."
35.3,Rear position shall according to suitable variants and range of principlepÉ 
35.3.1,The same brand
