Index,Text
36,Parking lamps Refer to: R77 00-S16
36.1,Effective date and Scope:
36.1.1,"Effective date from 2006/7/1, new types of parking lamps using in vehicles of category symbols M, N and O, and from 2008/7/1 all types of parking lamps using in vehicles of category symbols M, N and O, shall comply with this regulation and shall be use bulbs that is conform with Filament lamps of this Direction(according  Paragraph-, it shall exclude Paragraph-)."
36.1.2,"Effective date from 2017/1/1, new types of parking lamps using in vehicles of category symbols M, N and O, and from 2019/1/1, existing types of parking lamps using in vehicles of category symbols M, N and O, except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to 36.2.1. of this regulation, and certification institution may do a reality check when necessary."
36.1.3,"For the vehicles imported by authorities, organizations, institutes or individuals for self-use only could exempt from Regulation of . Effective date from 2017/1/1, for the vehicles imported by authorities, organizations, institutes or individuals for self-use, if the vehicle registered and owned by the importer for more than six months from abroad, it could exempt from the regulation ."
36.1.4,"For the low volume type safety approval, maximum 20deviation of the levels of intensity standard of this test is allowed, and if the light source is LED, it can omit the failure conditions test."
36.2,Parking lamps means the lamp conform to
36.2.1,Specifications marked and used to draw attention to the presence of a stationary vehicle.
36.2.1,Specifications marked
36.2.1.1,Means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:
36.2.1.1.1,"Brand (or marking), type of replaceable light sources (and/or MD(or MODULE) the light source module specific  identification code), non-replaceable light sources or light source module(s), bear the marking of the rated voltage (or range of voltage) and rated wattage."
36.2.1.1.2,"The light source module must to mark brand (or marking), MD (or MODULE) the light source module specific identification code, rated voltage (or ranged voltage)and rated wattage. However this provision does not apply to the LED is non-replaceable."
36.2.1.1.3,"When a lamp emits a light of amber colour towards the front and rear, the lamp must be marked with an arrow indicating its orientation, the arrow showing the front of the vehicle;"
36.2.1.1.4,"On devices with reduced light distribution in conformity  Paragraph- to this Regulation a vertical arrow starting from a horizontal segment and directed downwards (figure as below , a is at least 5 mm)."
36.2.1.1.5,The marking according  Paragraph-. Paragraph-. above shall be clearly legible and be indelible even when the parking lamps are fitted on the vehicles.
36.3,Parking lamps shall according to suitable variants and range of principle
36.3.1,The same brand
36.3.2,"The same characteristics of the optical system (levels of intensity, light distribution angles, category of light source, light source module, etc.)howeverif light source or filters color is change that it doesnt mean to change the variants."
36.4,Photometric measurements
36.4.1,"In the reference axis, intensity of forward facing parking lamps  Minimum (cd): 2 Maximum (cd): 60"
36.4.2,"In the reference axis, intensity of rearward facing parking lamps Minimum (cd): 2 Maximum (cd): 30 In the case where a device is intended to be installed with its H plane at a mounting height less than 750 mm above the ground, the photometric intensity is verified only up to an angle of 5 degrees downwards."
36.4.3,"In the case of a single lamp containing more than one light source, the lamp shall comply with the minimum intensity required when any one light source has failed and when all light sources are illuminated the maximum intensity shall not be exceeded. All light sources connected in series are considered to be one light source."
36.4.4,"Within the field of light distribution schematically shown as a grid in Figure 1, the light pattern should be substantially uniform."
36.4.5,"Outside the reference axis and within the angular fields, the intensity of the light emitted shall, in each direction corresponding to the points in the luminous intensity distribution reproduced in Figure 1, be not less than the value shown in the said figure for the direction in question, expressed as a percentage of the minimum specified  Paragraph- Paragraph-. In any direction within the space from which the light in question is visible, not exceed the maximum specified  Paragraph- Paragraph-."
36.4.6,A luminous intensity of 60 cd shall be permitted for parking lamps directed to the rear reciprocally incorporated with stop-lamps below a plane forming an angle of 5 with and downward from the horizontal plane.
36.4.7,"Angles required for light distribution in space of the lamps: Horizontal angles are shown in Figure2 and Figure3. In all cases, the minimum vertical angles of light distribution in space are 15 degrees above and 15 degrees below the horizontal except for lamps intended to be installed with their H plane at a mounting height less than 750 mm above the ground, for which they are 15 degrees above and 5 degrees below the horizontal. "
36.4.8,"In the case of light source modules, it shall be checked that:"
36.4.8.1,The design of the light source module(s) shall be such as:
36.4.8.1.1,that each light source module can only be fitted in no other position than the designated and correct one and can only be removed with the use of tool(s);
36.4.8.1.2,"If there are more than one light source module used in the housing for a device, light source modules having different characteristics can not be interchanged within the same lamp housing."
36.4.8.2,The light source module(s) shall be tamperproof.
36.4.8.3,"A light source module shall be so designed that regardless of the use of tool(s), it shall not be mechanically interchangeable with any replaceable approved light source."
