Index,Text
37,"Stop lamps Refer to: R07 02-S25, R50 00-S17"
37.1,Effective date and Scope:
37.1.1,"Effective date from 2006/7/1, new types of stop lamps using in vehicles of category symbols M, N and O, and from 2008/7/1 all types of stop lamps using in vehicles of category symbols M, N and O, shall comply with this regulation and shall be use bulbs that is of this Direction(according  Paragraph-, it shall exclude Paragraph-)."
37.1.2,"Effective date from 2009/1/1, new types of stop lamps using in vehicles of category symbols L1 and L3, and from 2011/1/1 all types of stop lamps using in vehicles of category symbols L1, L2, L3 and L5, shall comply with this regulation and shall be use bulbs that is conform with Filament lamps of this Direction(according  Paragraph-, it shall exclude Paragraph-)."
37.1.3,"Effective date from 2017/1/1, new types of stop lamps using in vehicles of category symbols M, N , O and L, and from 2019/1/1, existing types of stop lamps using in vehicles of category symbols M, N , O and L, except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to 37.2.5. of this regulation, and certification institution may do a reality check when necessary."
37.1.4,"For the vehicles imported by authorities, organizations, schools or individuals for self-use only could exempt from regulation of stop lamps. Effective date from 2017/1/1, for the vehicles imported by authorities, organizations, institutes or individuals for self-use, if the vehicle registered and owned by the importer for more than six months from abroad, it could exempt from the regulation lamps."
37.1.5,"For the low volume type safety approval, maximum 20deviation of the levels of intensity standard of this test is allowed, and if the light source is LED, it can omit the failure conditions test. "
37.2,Stop lamps:
37.2.1,Means the lamp conform to
37.2.5,Specifications marked and used to indicate to other road-users to the rear of the vehicle that its driver is applying the service brake.
37.2.2,Stop lamp with two levels of intensity: means the lamp with the system used to reduce illumination at night.
37.2.3,"In case of failure of the variable intensity control of a stop lamp category S2 emitting more than the maximum value of category S1, requirements of steady luminous intensity of the respective category shall be fulfilled automatically."
37.2.4,An interdependent lamp system shall meet the requirements when all its interdependent lamps are operated together.
37.2.5,Specifications marked
37.2.5.1,"Apply to stop lamps of vehicles of category symbol M, N, O and L, means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:"
37.2.5.1.1,"Brand (or marking), type of replaceable light sources (and/or MD (or MODULE) the light source module specific identification code)."
37.2.5.1.2,"In case of lamps with an electronic light source control gear or a variable intensity control and/or non-replaceable light sources and/or light source module(s), bear the marking of the rated voltage or range of voltage and rated wattage."
37.2.5.1.3,"Lamps operating at voltages other than the nominal rated voltages of 6 V, 12 V or 24 V respectively, by the application of an electronic light source control gear or a variable intensity control being not part of the lamp, or having a secondary operating mode, must also bear a marking denoting the rated secondary design voltage."
37.2.5.1.4,"The light source module must to mark brand (or marking), MD (or MODULE) the light source module specific identification code, rated voltage (or ranged voltage)and rated wattage. However this provision does not apply to the LED is non-replaceable."
37.2.5.1.5,An electronic light source control gear or a variable intensity control being part of the lamp but not included into the  lamp body shall bear the name of the manufacturer and its identification number.
37.2.5.1.6,"On devices meeting the requirements of this Regulation in respect of the stop-lamps, the letter ""S"" followed by the figure (figure as below , a is at least 5 mm): When the device produces steady luminous intensity; When the device produces variable luminous intensity;"
