Index,Text
38,S3 stop lamps Refer to: R07 02-S25
38.1,Effective date and Scope:
38.1.1,"Effective date from 2006/7/1, new types of S3 stop lamps using in vehicles of category symbols M, N and O, and from 2008/7/1 all types of S3 stop lamps using in vehicles of category symbols M, N and O, shall comply with this regulation and shall be use bulbs that is conform with Filament lamps of this Direction(according  Paragraph-, it shall exclude Paragraph-)."
38.1.2,"Effective date from 2017/1/1,all types of S3 stop lamps using in vehicles of category symbols L , shall comply with this regulation and shall be use bulbs that is conform with Filament lamps of this Direction."
38.1.3,"Effective date from 2017/1/1, new types of S3 stop lamps using in vehicles of category symbols M, N and O, and from 2019/1/1, existing types of S3 stop lamps using in vehicles of category symbols M, N and O , except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to"
38.2.2,"of this regulation, and certification institution may do a reality check when necessary."
38.1.4,"For the vehicles imported by authorities, organizations, schools or individuals for self-use only could exempt from regulation of S3 stop lamps. Effective date from 2017/1/1, for the vehicles imported by authorities, organizations, institutes or individuals for self-use, if the vehicle registered and owned by the importer for more than six months from abroad, it could exempt from the regulation S3 stop lamps."
38.1.5,"For the low volume type safety approval, maximum 20deviation of the levels of intensity standard of this test is allowed, and if the light source is LED, it can omit the failure conditions test."
38.2,S3 Stop lamp: means the lamp conforms to
38.2.2,Specifications marked and used to indicate to other road-users to the rear of the vehicle that its driver is applying the service brake. 
38.2.1,"In case of failure of the variable intensity control of a stop lamp category S4 emitting more than the maximum value of category S3, requirements of steady luminous intensity of the respective category shall be fulfilled automatically."
38.2.2,Specifications marked
38.2.2.1,Means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:
38.2.2.1.1,"Brand (or marking), type of replaceable light sources (and/or MD (or MODULE) the light source module specific identification code)."
38.2.2.1.2,"In case of lamps with an electronic light source control gear or a variable intensity control and/or non-replaceable light sources and/or light source module(s), bear the marking of the rated voltage or range of voltage and rated wattage."
38.2.2.1.3,"Lamps operating at voltages other than the nominal rated voltages of 6 V, 12 V or 24 V respectively, by the application of an electronic light source control gear or a variable intensity control being not part of the lamp, or having a secondary operating mode, must also bear a marking denoting the rated secondary design voltage."
38.2.2.1.4,"The light source module must to mark brand (or marking), MD (or MODULE) the light source module specific identification code, rated voltage (or ranged voltage)and rated wattage. However this provision does not apply to the LED is non-replaceable."
38.2.2.1.5,An electronic light source control gear or a variable intensity control being part of the lamp but not included into the lamp body shall bear the name of the manufacturer and its identification number.
38.2.2.1.6,"On devices meeting the requirements of this Regulation in respect of the stop-lamps, the letter ""S"" followed by the figure (figure as below , a is at least 5 mm): When the device meets the specific requirements for category S3 stop-lamps and produces steady luminous intensity;  When the device meets the specific requirements for category S4 stop-lamps and produces variable luminous intensity;"
38.2.2.1.7,On devices with reduced light distribution in conformity  Paragraph- to this Regulation a vertical arrow starting from a horizontal segment and directed downwards.
38.2.2.1.8,"On interdependent lamps, which may be used as part of an interdependent lamp system, the additional letter ""Y"" to the right of the symbol mentioned  Paragraph- shall be marked on each device."
38.2.2.1.9,The marks and symbols referred to  Paragraph-. to 38.2.2.1.8. above shall be clearly legible and indelible even when the device is fitted in the vehicle.
38.2.3,"An interdependent lamp system shall meet the requirements when all its interdependent lamps are operated together. However, if the interdependent lamp system providing the rear position lamp function is partly mounted on the fixed component and partly mounted on a movable component, the interdependent lamp(s) specified by the Applicant shall meet the outboard geometric visibility, colorimetric and photometric requirement, at all fixed positions of the movable component(s). In this case, the inboard geometric visibility requirement is deemed to be satisfied if this (these) interdependent lamp(s) still conform to the photometric values prescribed in the field of light distribution for the approval of the device, at all fixed positions of the moveable component(s)."
38.3,S3 stop lamps shall according to suitable variants and range of principle
38.3.1,The same brand
38.3.2,"The same characteristics of the optical system (levels of intensity, light distribution angles, category of light source, light source module, etc.)howeverif bulbs or filters color is change that it doesnt mean to change the variants."
38.3.3,"The variable intensity control, if any."
38.4,Photometric measurements:
38.4.1,"For category S3 stop lamp for which within the field of light distribution schematically shown as a grid in Figure 1, the light pattern should be substantially uniform. The intensities shall be measured with the filament lamp(s) continuously alight. In the case of  devices of categories R2, that elapses between energising the light source(s) and the light output on the reference axis to reach 90 per cent of the value measured shall be measured for the extreme levels of luminous intensity produced by the device. The time measured to obtain the lowest luminous intensity shall not exceed the time measured to obtain the highest luminous intensity."
38.4.2,"In each direction corresponding to the points in the light distribution be not less than the product of the minimum specified in Table1 by the percentage specified in the said figure of the direction in question. In no direction within the space from which the light-signalling device is visible, exceed the maximum specified in Table."
38.4.2.1,For an assembly of two or more lamps the total intensity shall not exceed the maximum value prescribed for a single lamp.
38.4.2.2,"When an assembly of two independent lamps to be type approved as ""D"" lamps having the same function is deemed to be a single lamp, it shall comply with the requirements for:"
38.4.2.2.1,Maximum intensity if all lamps together are lit;
38.4.2.2.2,Minimum intensity if either lamp has failed.
38.4.2.3,In case of failure of a single lamp containing more than one light source the following provisions shall apply:
