Index,Text
40-1,Side-marker lampsEffective date from 2011/1/1 Refer to: R91 00-R3-C1
40-1.1,Effective date and Scope:
40-1.1.1,"Effective date from 2011/1/1, new types of side-marker lamps using in vehicles of category symbols M, N and O, it shall comply with this regulation and shall b of this Direction (according  Paragraph-, it shall exclude Paragraph-)."
40-1.1.2,"Effective date from 2013/1/1, all types of side-marker lamps using in vehicles of category symbols M, N and O, which was confirmed to 40 side-marker lamps of this Directions and its light source is red, it shall conform to the stipulation of red side-marker lamps luminosity and irradiated angle in this regulation."
40-1.1.3,"Effective date from 2017/1/1, new types of side-marker lamps using in vehicles of category symbols M, N and O, and from 2019/1/1, existing types of side-marker lamps using in vehicles of category symbols M, N and O, except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to"
40-1.2.1,"of this regulation, and certification institution may do a reality check when necessary."
40-1.1.4,"For the vehicles imported by authorities, organizations, schools or individuals for self-use only could exempt from regulation of side-marker lamps. Effective date from 2017/1/1, for the vehicles imported by authorities, organizations, institutes or individuals for self-use, if the vehicle registered and owned by the importer for more than six months from abroad, it could exempt from the regulation -marker lamps."
40-1.1.5,"For the low volume type safety approval, maximum 20deviation of the levels of intensity standard of this test is allowed, and if the light source is LED, it can omit the failure conditions test."
40-1.2,Side-marker lamps: means a lamp conform to
40-1.2.1,Specifications marked and used to indicate the presence of the vehicle when viewed from the side.
40-1.2.1,Specifications marked 
40-1.2.1.1,Means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:
40-1.2.1.1.1,"Brand (or marking), type of replaceable light sources (and/or MD (or MODULE) the light source module specific identification code), non-replaceable light sources or light source module(s), bear the marking of the rated voltage (or range of voltage) and rated wattage."
40-1.2.1.1.2,"The light source module must to mark brand (or marking), MD (or MODULE) the light source module specific identification code, rated voltage (or ranged voltage)and rated wattage. However this provision does not apply to the LED is non-replaceable."
40-1.2.1.1.3,"It expressed in the letter ""SM1"" or ""SM2""."
40-1.2.1.1.4,"On devices with reduced light distribution in conformity  Paragraph- to this Regulation a vertical arrow starting from a horizontal segment and directed downwards (figure as below , a is at least 5 mm)."
40-1.2.1.1.5,"The approval mark referred to  Paragraph- Paragraph-. shall be clearly legible and indelible. It may be placed on an inner or outer part (transparent or not) of the device which cannot be separated from the transparent part of the device emitting the light. In any case the marking shall be visible when the device is fitted on the vehicle or when a movable part (such as the hood, trunks lid which belong to vehicles liftable panel ) is opened."
40-1.3,Side-marker lamps shall according to suitable variants and range of principle
