Index,Text
42-4,"Dynamic Braking: Effective from 2021/1/1 Refer to: R13 11-S14, R13H 01, R78 04"
42-4.1,Effective date and Scope:
42-4.1.1,"Effective date from 2021/1/1, the new vehicle type of category symbols M, N, O and L and from 2023/1/1 all vehicle types of category symbols M, N, O and L shall comply with this regulation. For existing vehicle type of category symbols M, N, O and L who comply with 42-3 Dynamic braking regarded as conform to this regulation."
42-4.1.2,This regulation does not suitable for:
42-4.1.2.1,Vehicles with a design speed not exceeding 25km/hr.
42-4.1.2.2,Trailers which may not be coupled to power-driven vehicles with a design speed exceeding 25 km/h.
42-4.1.3,"The same applicant applying for low volume safety approval and the amounts of vehicle not exceed 3 at same year and the category symbols M1, N1, L3 or L5 of same type"
42-4.1.4,The same applicant applying for vehicle-by-vehicle low volume safety approval and the amounts of vehicle not exceed 20 at same year and small passenger vehicle of s
42-4.1.5,"The same applicant applying for vehicle-by-vehicle low volume safety approval and the amounts of vehicle not exceed 20 at same year and small passenger vehicle of same type and specification of category symbols M1 or N1, or category symbols N2, N3, Class III or Class IV imported by organization and school could exempt from regulation of performance test of secondary braking system, energy storage devices test, Paragraph-  Paragraph- of"
42-4.2,Definitions
42-4.2.1,"Category symbols M, N and O"
42-4.2.1.1,"Transmission: means the combination of components comprised between the control system and the brake and linking them functionally. The transmission may be mechanical, hydraulic, pneumatic, electrical or mixed. Where the braking power is derived from or assisted by a source of energy independent of the driver, the reserve of energy in the system is likewise part of the transmission. The transmission is divided into 2 independent functions: the control transmission and the energy transmission. tis used alone in this regulation, it means both the control tthe energy transmission."
42-4.2.1.2,Control Transmission: means the combination of the components of the transmission which control the operation of the  brakes (including the control function and the necessary reserve(s) of energy).
42-4.2.1.3,Energy Transmission: means the combination of the components which supply to the brakes the necessary energy for their function (including the reserve(s) of energy necessary for the operation of the brakes).
42-4.2.1.4,"Automatic Braking: means braking of the trailer or trailers occurring automatically in the event of separation of components of the combination of coupled vehicles, including such separation through the breakage of a coupling, the effectiveness of the braking of the remainder of the combination not being thereby destroyed."
42-4.2.1.5,Endurance Braking System: means an additional braking system having the capability to provide and to maintain a braking effect over a long period of time without a significant reduction in performance.
42-4.2.1.6,"Electric Regenerative Braking: means a braking system which, during deceleration, provides for the conversion of vehicle kinetic energy into electrical energy."
42-4.2.1.6.1,Electric regenerative braking system of category A: means an electric regenerative braking system which is not part of the service braking system.
42-4.2.1.6.2,Electric regenerative braking system of category B: means an electric regenerative braking system which is part of the service braking system.
42-4.2.1.7,"Automatically Commanded Braking: means a function within a complex electronic control system where actuation of the braking system(s) or brakes of certain axles is made for the purpose of generating vehicle retardation with or without a direct action of the driver, resulting from the automatic evaluation of on-board initiated information."
42-4.2.1.8,Selective Braking: means a function within a complex electronic control system where actuation of individual brakes is made by automatic means in which vehicle retardation is secondary to vehicle behaviour modification.
42-4.2.1.9,Braking signal: logic signal indicating brake activation as specified  Paragraph- Paragraph-.
42-4.2.1.10,Emergency braking signal: logic signal indicating emergency braking as specified  Paragraph- Paragraph-.
42-4.2.1.11,Full cycling: means that the anti-lock system is repeatedly modulating the brake force to prevent the directly controlled wheels from locking. Brake applications where modulation only occurs once during the stop shall not be considered to meet this definition.
42-4.2.1.12,"Axle group: means multiple axles where the axle spread between one axle and its adjacent axle is equal to or less than 2.0  m. Where the axle spread between one axle and its adjacent axle is greater than 2.0 m, each individual axle shall be considered as an independent axle group."
42-4.2.1.13,"""Vehicle Stability Function"" means an electronic control function for a vehicle which improves the dynamic stability of the vehicle."
42-4.2.1.13.1,A vehicle stability function includes one or both of the following: (1) directional control (2) roll-over control
42-4.2.1.13.2,Control functions within a vehicle stability function:
42-4.2.1.13.2.1,"""Directional control"" means a function within a vehicle stability function that assists the driver, in the event of under steer and over steer conditions, within the physical limits of the vehicle in maintaining the direction intended by the driver in the case of a power-driven vehicle, and assists in maintaining the direction of the trailer with that of the towing vehicle in the case of a trailer."
42-4.2.1.13.3,"""Roll-over control"" means a function within a vehicle stability function that reacts to an impending roll-over in order to stabilise the power-driven vehicle or towing vehicle and trailer combination or the trailer during dynamic manoeuvres within the physical limits of the vehicle."
