Index,Text
43-2,"Anti-lock braking system (ABS)Effective date from 2018/1/1 Refer to: R13 11-S14, R13H 01, R78 04"
43-2.1,Effective date and Scope:
43-2.1.1,"Effective date from 2018/1/1, the new type of vehicles and from 2022/1/1, all types of vehicles as below, shall comply with this regulation."
43-2.1.1.1,Vehicle category M1.
43-2.1.1.2,Vehicle category N1.
43-2.1.2,"Effective date from 2018/1/1, all types of vehicles as below, shall comply with this regulation."
43-2.1.2.1,Vehicle categories O3 and O4.
43-2.1.2.2,"M2, M3, N2 and N3 vehicles with not more than four axles."
43-2.1.3,"The following vehicles equipping with Anti-lock braking system (ABS) and which were confirmed with 43-1 Anti-lock braking system (ABS) of Directions , regard as conform to this regulation."
43-2.1.3.1,Vehicle category M1.
43-2.1.3.2,Vehicle category N1.
43-2.1.3.3,Vehicle categories O3 and O4.
43-2.1.3.4,"M2, M3, N2 and N3 vehicles with not more than four axles."
43-2.1.4,"Effective date from 2018/1/1, all types of category symbols L1, L2 and L5 and M2, M3, N2 and N3 with more than four axles, s equipped with anti-lock braking systemABSthen shall comply with this regulation. Existing vehicle types of category symbols L1 and L5 and M2, M3, N2 and N3 vehicles with more than four axles, which were confirmed with 43-1 Anti-lock braking system (ABS) of Directions , regard as conform to this regulation."
43-2.1.5,"Effective date from 2019/1/1, the new vehicle type of category symbols L3-A2 and L3-A3 shall be equipped with anti-lock braking systemABS and comply with this regulation."
43-2.1.6,"Effective date from 2019/1/1, the new vehicle type of category symbols L3-A1 shall be equipped with CBS or anti-lock braking systemABS which comply with this regulation."
43-2.1.7,"Effective date from 2022/1/1, all types of category symbols L, if its suitable for off road driving and equipped with function that permits driver to disable the antilock brake system, it shall comply with Paragraph-. "
43-2.1.8,"Vehicles of category O conform to paragraphs 42-3.6.11 and 42-4.6.11 of Dynamic Braking, regard as conform  Paragraph- Paragraph- of this regulation."
43-2.1.9,This regulation doesnt apply to the following:
43-2.1.9.1,Vehicles with a design speed not exceeding 25 km/hr.
43-2.1.9.2,The trailers which may not be coupled to power-driven vehicles with a design speed exceeding 25 km/hr.
43-2.1.10,"The same applicant applying for low volume safety approval and the amounts of vehicle not exceed 3 at same year and the category symbols M1, N1, L3 or L5 of same type and specification, could exempt from regulation of anti-lock braking system (ABS)"
43-2.1.11,"The same applicant applying for vehicle-by-vehicle low volume safety approval and the amounts of vehicle not exceed 20 at same year and small passenger vehicle of same type and specification, could exempt from regulation anti-lock braking system (ABS)"
43-2.1.12,"The same applicant applying for vehicle-by-vehicle low volume safety approval and the amounts of vehicle not exceed 20 at same year and small passenger vehicle of same type and specification of category symbols M1 or N1, or category symbols N2, N3, Class III or Class IV imported by organization and school could exempt from confirm a failure in the anti-lock braking system, energy consumption, utilization of adhesion and braking rate conditions of stability test on the left and right wheel."
43-2.2,Definitions:
43-2.2.1,"Vehicles of category symbols M, N and O"
43-2.2.1.1,"Anti-lock brake system, ABS: is a part of a service braking system which automatically controls the degree of slip, in the direction of rotation of the wheel(s) on one or more wheels of the vehicle during braking."
43-2.2.2,"Vehicles of category symbols L1, L3 and L5"
43-2.2.2.1,"""Antilock brake system (ABS)"" means a system which senses wheel slip and automatically modulates the pressure producing the braking forces at the wheel(s) to limit the degree of wheel slip."
43-2.2.3,Sensor: means a component designed to identify and transmit to the controller the conditions of rotation of the wheel(s) or the dynamic conditions of the vehicle.
43-2.2.4,Controller: means a component designed to evaluate the data transmitted by the sensor(s) and to transmit a signal to the modulator. 
43-2.2.5,Modulator: means a component designed to vary the braking force(s) in accordance with the signal received from the controller.
43-2.2.6,Directly controlled wheel: means a wheel whose braking force is modulated according to data provided at least by its own sensor.
43-2.2.7,Indirectly controlled wheel: means a wheel whose braking force is modulated according to data provided by the sensor(s) of other wheel(s).
43-2.2.8,Full cycling: means that the anti-lock brake system is repeatedly modulating the brake force to prevent the directly controlled wheels from locking. Brake applications where modulation only occurs once during the stop shall not be considered to meet this definition.
43-2.2.9,Coefficient of adhesion: means the quotient of the maximum braking forces without locking the wheels and the corresponding dynamic load on the axle being braked.
43-2.2.10,Utilization of adhesion: is defined as the quotient of the maximum braking rate with the anti-lock brake system operative (zAL) and the coefficient of adhesion (kM).
43-2.2.11,Full Force: means the maximum force applied on the control device for the category of vehicle.
43-2.2.12,"""Laden vehicle"" means, except where otherwise stated, a vehicle so laden as to attain its ""maximum mass""."
43-2.2.13,"Lightly loaded: means mass in running order plus 15 kg for test equipment, or the laden condition, whichever is less. In the case of ABS tests on a low friction surface, the mass for test equipment is increased to 30 kg to account for outriggers."
43-2.2.14,"""Maximum mass"" means the maximum mass stated by the vehicle manufacturer to be technically permissible (this mass may be higher than the ""permissible maximum mass"" laid down by the national administration)."
43-2.2.15,"""Combined braking system"" means in the case of vehicles of categories L1, L3, a system whereby at least two brakes on different wheels are actuated in combination by the operation of a single control. In the case of vehicles of categories L2 and L5, a service brake system where the brakes on all wheels are operated by the actuation of a single control."
43-2.2.16,"""Unladen vehicle mass"" means in the case of vehicles of categories L the nominal mass of the vehicle as indicated by the manufacturer(s) including all factory fitted equipment for normal operation of that vehicle (e.g. fire extinguisher, tools, spare wheel), plus coolant, oils, 90 per cent of fuel and 100 per cent of other gas or liquids, as specified by the manufacturer."
