Index,Text
46-3,The protection of the occupants in the event of a frontal collision: Effective date from 2019/1/1 Refer to: R94 03
46-3.1,Effective Date and Scope:
46-3.1.1,"Effective date from 2019/1/1, the new vehicle variants of category symbols M1 of a total permissible mass not exceeding to 2.5 tons, and from 2023/1/1 all vehicle variants of category symbols M1 of a total permissible mass not exceeding to 2.5 tons, the protection of the occupants in the event of a frontal collision shall comply with this regulation."
46-3.1.1.1,"The existing vehicle variants of category symbols M1 which were confirmed to 46-1 The protection of the occupants in the event of a frontal collision 46-2. , if it is not equipped with automatically activated door locking systems, and comply with the thorax compression criterion specified  Paragraph-, regard as has conform to this regulation."
46-3.1.2,"Except for child-only vehicle, application for low volume or vehicle-by-vehicle safety approval may be exempt from this regulation."
46-3.2,Definitions
46-3.2.1,Passenger Compartment
46-3.2.1.1,"roof, floor, side walls, doors, outside glazing and front bulkhead and the plane of the rear compartment bulkhead or the plane of the rear-seat back support."
46-3.2.1.2,"floor, side walls, doors, outside glazing, front bulkhead and rear bulkhead, or rear gate, as well as by the electrical protection barriers and enclosures provided for protecting the occupants from direct contact with high voltage live parts."
46-3.2.2,meansquare (rms). 
46-3.2.3,"Rechargeable electrical energy storage system (REESS)"" means the rechargeable electrical energy storage system which provides electrical energy for propulsion."
46-3.2.4,.
46-3.2.5,"cludes the traction motor(s), and may also include the REESS, the electrical energy conversion system, the electronic converters, the associated wiring harness and connectors, and the coupling system for charging the REESS."
46-3.2.6,rt(s) intended to be electrically energized in normal use.
46-3.2.7,which becomes electrically energized under isolation failure conditions. This includes parts under a cover that can be removed without using tools.
46-3.2.8,.
46-3.2.9,.
46-3.2.10,otection from contact with high voltage live parts provided by either an electrical protection barrier or an enclosure and tested using a Jointed Test Finger (IPXXB) as described.
46-3.2.11,"root-mean-square (rms), specified by the manufacturer, which may occur between any conductive parts in open circuit conditions or under normal operating conditions. If the electrical circuit is divided by galvanic isolation, the working voltage is defined for each divided circuit, respectively."
46-3.2.12,REESSREESS from an external electrical power supply including the vehicle inlet.
46-3.2.13,reference. 
46-3.2.14,normal operation.
46-3.2.15,rical propulsion.
46-3.2.16,r electrical propulsion.
46-3.2.17,.
46-3.2.18,REESS that operates on a high voltage.
46-3.2.19,ive parts from any direct contact. This includes covers for insulating the high voltage live parts of connectors; and varnish or paint for the purpose of insulation.
46-3.2.20,of the high voltage circuit of the electrical power train.
46-3.2.21,.
46-3.2.22,"""Automatically activated door locking system"" means a system that locks the doors automatically at a pre-set speed or under any other condition as defined by the manufacturer."
46-3.2.23,"""Vehicle width"" means the distance between two planes parallel to the longitudinal median plane (of the vehicle) and touching the vehicle on either side of the said plane but excluding the external devices for indirect vision, side marker lamps, tyre pressure indicators, direction indicator lamps, position lamps, flexible mud-guards and the deflected part of the tyre side-walls immediately above the point of contact with the ground."
46-3.3,The protection of the occupants in the event of a frontal collision shall according to suitable types and range of principle are as below 
46-3.3.1,Vehicle powered by internal combustion engine:
46-3.3.1.1,The same vehicle category symbol.
46-3.3.1.2,The same axle set type.
46-3.3.1.3,The same brand and vehicle type series.
