Index,Text
47,Steering equipment Refer to: R79 01-S5
47.1,"Effective date and Scope: Effective date form 2008/1/1, the new vehicle type of category symbols M, N and O and from 2010/1/1, all vehicle types of category symbols M, N and O, shall comply with this regulation."
47.2,"It does not cover steering equipment with a purely pneumatic, purely electric or purely hydraulic transmission, except:"
47.2.1,Auxiliary steering equipment (ASE) with a purely electric or purely hydraulic transmission for vehicles of categories M and N;
47.2.2,Steering equipment with a purely hydraulic transmission for vehicles of category O.
47.3,Definitions:
47.3.1,"Steering equipment: means all the equipment, the purpose of which is to determine the direction of movement of the vehicle. The steering equipment consists of: the steering control, the steering transmission, the steered wheels and the energy supply, if any."
47.3.2,"Steering control: means the part of the steering equipment which controls its operation, it may be operated with or without direct intervention of the driver. For steering equipment in which the steering forces are provided solely or partly by the muscular effort of the driver the steering control includes all parts up to the point where the steering effort is transformed by mechanical, hydraulic or electrical means."
47.3.3,"Steering transmission: includes all parts of the steering equipment which are the means of transmitting the steering forces between the steering control and the steered wheels; it includes all parts down from the point where the steering control effort is transformed by mechanical, hydraulic or electrical means."
47.3.4,Steered wheels: means the wheels whose alignment may be altered directly or indirectly in relation to longitudinal axis of the vehicle in order to determine the vehicles direction of movement. (The steered wheels including the axis around which they are rotated in order to determine the vehicles direction of movement).
47.3.5,"Energy supply: includes those parts of the steering equipment that provides it with energy, control the energy and where  appropriate, process and store it. It also includes any storage reservoirs for the operating medium and the return lines, but not the vehicles engine (except for the purpose  Paragraph- or its drive to the energy source."
47.3.6,"Turning circle: means the circle within which are located the projections onto the ground plane of all the points of the vehicle, excluding the external mirrors and the front direction indicators, when the vehicle is driven in a circle."
47.3.7,"Safety concept: is a description of the measures designed into the system, for example within the electronic units, so as to address system integrity and thereby ensure safe operation even in the event of an electrical failure. The possibility of a fall-back to partial operation or even to a back-up system for vital vehicle functions may be a part of the safety concept."
47.3.8,"Electronic control system: means a combination of units, designed to co-operate in the production of the stated vehicle control function by electronic data processing. Such systems, often controlled by software, are built from discrete functional components such as sensors, electronic control units and actuators and connected by transmission links. They may include mechanical, electro-pneumatic or electro-hydraulic elements. ""The System"", referred to herein, is the one for which type approval is being sought."
47.3.9,Complex electronic vehicle control systems: are those electronic control systems which are subject to a hierarchy of control in which a controlled function may be overridden by a higher level electronic control system/function. A function which is over-ridden becomes part of the complex system.
47.3.9.1,"""Higher-Level control"" systems/functions are those which employ additional processing and/or sensing provisions to modify vehicle behaviour by commanding variations in the normal function(s) of the vehicle control system. This allows complex systems to automatically change their objectives with a priority which depends on the sensed circumstances."
47.3.9.2,"""Units"" are the smallest divisions of system components which will be considered in this annex, since these combinations of components will be treated as single entities for purposes of identification, analysis or replacement."
47.3.9.3,"""Transmission links"" are the means used for inter-connecting distributed units for the purpose of conveying signals, operating  data or an energy supply. This equipment is generally electrical but may, in some part, be mechanical, pneumatic or hydraulic."
47.3.9.4,"""Range of control"" refers to an output variable and defines the range over which the system is likely to exercise control."
47.3.9.5,"""Boundary of functional operation"" defines the boundaries of the external physical limits within which the system is able to maintain control."
47.3.10,"Types of steering equipment Depending on the way the steering forces are produced, the following types of equipment are distinguished:"
47.3.10.1,For motor vehicles:
47.3.10.1.1,"""Main steering system"" means the steering equipment of a vehicle which is mainly responsible for determining the direction of travel. It may comprise:"
47.3.10.1.1.1,"""Manual steering equipment"" in which the steering forces result solely from the muscular effort of the driver."
47.3.10.1.1.2,"""Power assisted steering equipment"" in which the steering forces result from both the muscular effort of the driver and the energy supply (supplies)."
47.3.10.1.1.2.1,"Steering equipment in which the steering forces result solely from one or more energy supplies when the equipment is intact, but in which the steering forces can be provided by the muscular effort of the driver alone if there is a fault in the steering (integrated power systems), is also considered to be power assisted steering equipment;"
47.3.10.1.1.3,"""Full-power steering equipment"" in which the steering forces are provided solely by one or more energy supplies;"
47.3.10.1.2,"""Self-tracking steering equipment"" means a system designed to create a change of steering angle on one or more wheels only when acted upon by forces and/or moments applied through the tyre to road contact."
47.3.10.1.3,"""Auxiliary steering equipment (ASE)"" means a system in which the wheels on axle(s) of vehicles of categories M and N  are steered in addition to the wheels of the main steering equipment in the same or opposite direction to those of the main steering equipment and/or the steering angle of the front and/or the rear wheels may be adjusted relative to vehicle behaviour."
47.3.10.2,For trailers:
47.3.10.2.1,"""Self-tracking steering equipment"" means a system designed to create a change of steering angle on one or more wheels only when acted upon by forces and/or moments applied through the tyre to road contact."
47.3.10.2.2,"""Articulated steering"" means equipment in which the steering forces are produced by a change in direction of the towing vehicle and in which the movement of the steered trailer wheels is linked to the relative angle between the longitudinal axis of the towing vehicle and that of the trailer;"""
47.3.10.2.3,"""Self-steering"" means equipment in which the steering forces are produced by a change in direction of the towing vehicle and in which the movement of the steered trailer wheels is firmly linked to the relative angle between the longitudinal axis of the trailer frame or a load replacing it and the longitudinal axis of the sub-frame to which the axle(s) is (are) attached;"
47.3.10.2.4,"""Additional steering equipment"" means a system, independent of the main steering system, by which the steering angle of one or more axle(s) of the steering system can be influenced selectively for manoeuvring purposes."
47.3.10.2.5,"""Full-power steering equipment"" means equipment in which the steering forces are provided solely by one or more energy supplies;"""
47.4,Steering equipment shall according to suitable types and range of principle are as below
47.4.1,The same vehicle category symbol.
47.4.2,The same axle set type.
47.4.3,The same brand and vehicle type series.
47.4.4,The chassis vehicle have had same axle set type. 
47.4.5,The same chassis brand.
47.4.6,Chassis manufacturers announced that the same chassis vehicle type series.
47.4.7,"If use chassis vehicle instead of completed vehicle for entire or partial testing, which shall according to suitable types and range of principle are as belowpÉ"
47.4.7.1,The chassis vehicle have had same axle set type.
47.4.7.2,The same brand.
47.4.7.3,Chassis manufacturers announced that the same chassis vehicle type series.
47.5,Declaration of conformance of design: applicant shall ensure and announce to comply with this regulation.
47.5.1,General provisions:
47.5.1.1,"The steering equipment shall ensure easy and safe handling of the vehicle up to its maximum design speed or, in the case of a trailer up to its technically permitted maximum speed."
47.5.1.1.1,It must be possible to travel along a straight section of road without unusual steering correction by the driver and without unusual vibration in the steering system at maximum design speed of the vehicle.
47.5.1.2,"If the vehicles are fitted with such a device ASE, they shall comply with the provisions:"
47.5.1.2.1,Transmission
47.5.1.2.1.1,"For mechanical steering transmissions, Paragraph- below applies."
47.5.1.2.1.2,The hydraulic steering transmission must be protected from exceeding the maximum permitted service pressure (T).
47.5.1.2.1.3,The electric steering transmission must be protected from excess energy supply.
47.5.1.2.1.4,"A combination of mechanical, hydraulic and electric transmissions shall comply with the requirements specified  Paragraph- to"
47.5.1.2.1.3,above. 
47.5.1.2.2,"Except for parts of ASE not considered susceptible to breakdown as specified  Paragraph-, the following failure of ASE shall be clearly brought to the attention of the driver:"
47.5.1.2.2.1,A general cut-off of ASE electrical or hydraulic control.
47.5.1.2.2.2,Failure of the ASE energy supply.
47.5.1.2.2.3,A break in the external wiring of the electrical control if fitted.
47.5.1.3,"If any vehicles are so fitted with purely hydraulic steering transmissions, they shall comply with the provisions:"
47.5.1.3.1,"The hydraulic lines of purely hydraulic transmission must be capable of withstanding a pressure of at least four times the maximum normal service pressure (T) specified by the applicant. Hose assemblies shall comply with ISO Standards 1402:1994, 6605:1986 and 7751:1991."
47.5.1.3.2,"The energy supply must be protected from excess pressure by a pressure limiting valve, which operates at the pressure T."
47.5.1.3.3,"The steering transmission must be protected from excess pressure by a pressure limiting valve, which operates at between 1.5T and 2.2T. The operating pressure of the pressure limiting valve shall be of a value that is compatible with the operating characteristics of the steering system installed on the vehicle. This shall be confirmed by the vehicle manufacturer at the time of type approval."""
47.5.1.4,"The steering equipment shall be designed, constructed and fitted in such a way that it is capable of withstanding the stresses arising during normal operation of the vehicle, or combination of vehicles. The maximum steering angle shall not be limited by any part of the steering transmission unless specifically designed for this purpose. Unless otherwise specified, it will be assumed that not more than one failure can occur in the steering equipment at any one time and two axles on one bogie shall be considered as one axle."
47.5.1.5,"The effectiveness of the steering equipment, including the electrical control lines, shall not be adversely affected by magnetic  or electric fields. Conformity with the technical requirements, to the amendment in force at the time of Type Approval shall be demonstrated."
47.5.1.6,"The direction of operation of the steering control shall correspond to the intended change of direction of the vehicle and there shall be a continuous relationship between the steering control deflection and the steering angle. These requirements do not apply to systems that incorporate an automatically commanded or corrective steering function, or to auxiliary steering equipment. These requirements may also not necessarily apply in the case of full power steering when the vehicle is stationary, during low speed manoeuvres at speeds up to a maximum speed of 15km/h and when the system is not energized."
47.5.1.7,"Towing vehicles equipped with a connection to supply electrical energy to the steering system of the trailer and trailers that utilise electrical energy from the towing vehicle to power the trailer steering system shall fulfil the relevant requirements  Paragraph-."""
47.5.1.8,Steering transmission:
47.5.1.8.1,Adjustment devices for steering geometry must be such that after adjustment a positive connection can be established between the adjustable components by appropriate locking devices.
47.5.1.8.2,"Steering transmission which can be disconnected to cover different configurations of a vehicle (e.g. on extendible semi-trailers), must have locking devices, which ensure positive relocation of components; where locking is automatic, there must be an additional safety lock which is operated manually."
47.5.1.9,Steered wheels:
47.5.1.9.1,The steered wheels shall not be solely the rear wheels. This requirement does not apply to semi-trailers.
47.5.1.9.2,"If the towing vehicle of a vehicle combination is moving straight forward, the trailer and towing vehicle must remain aligned. If alignment is not retained automatically, the trailer must be equipped with a suitable adjustment facility for  maintenance."
47.5.1.10,Failure provisions and performance
47.5.1.10.1,"For the purposes of this Regulation the steered wheels, the steering control and all mechanical parts of the steering transmission shall not be regarded as liable to breakage if they are amply dimensioned, are readily accessible for maintenance, and exhibit safety features at least equal to those prescribed for other essential components (such as the braking system) of the vehicle. Where the failure of any such part would be likely to result in loss of control of the vehicle, that part must be made of metal or of a material with equivalent characteristics and must not be subject to significant distortion in normal operation of the steering system."
47.5.1.10.2,The requirements  Paragraph- Paragraph-. Paragraph- shall also be satisfied with a failure in the steering equipment as long as the vehicle can be driven with the speeds required in the respective paragraphs. In this case Paragraph- shall not apply for full power steering systems when the vehicle is stationary.
47.5.1.10.3,"Any failure in a transmission other than purely mechanical must clearly be brought to the attention of the vehicle driver. When a failure occurs, a change in the average steering ratio is permissible if the steering effort given  Paragraph- is not exceeded."
47.5.1.10.4,"In the case where the braking system of the vehicle shares the same energy source as the steering system and this energy source fails, the steering system shall have priority and shall be capable of meeting the requirements  Paragraph- Paragraph- as applicable. If an energy source failure occurs, service braking performance on the first brake application shall achieve the values no less than given in the table 2 below."
47.5.1.10.5,"In the case where the braking system of the vehicle shares the same energy supply as the steering system and there is a failure in the energy supply, the steering system shall have priority and shall be capable of meeting the requirements  Paragraph- Paragraph- as applicable. After any failure in the steering equipment, or the energy supply, it shall be  possible after eight full stroke actuations of the service brake control, to achieve at the ninth application, at least the performance prescribed for the secondary (emergency) braking system (see table below). In the case where secondary performance requiring the use of stored energy is achieved by a separate control, it shall still be possible after eight full stroke actuations of the service brake control to achieve at the ninth application, the residual performance (see table 3 below)."
