Index,Text
48-2,"Safety belt anchorageEffective date from 2016/1/1 Refer to: R14 07-S7, R16 07"
48-2.1,Effective Date and Scope:
48-2.1.1,"Effective date from 2016/1/1, except f Paragraph-, new types of safety belt anchorage using in vehicles of category symbols M and N shall comply with this regulation."
48-2.1.1.1,"Effective date from 2017/1/1, new types of safety belt anchorage using in vehicles of category symbols M and N whose safety belt anchorage of side-facing and rearward-facing seats shall comply with this regulation."
48-2.1.2,"Effective date from 2019/1/1, all types of safety belt anchorage using in vehicles of category symbols conform to 48-1 Safety belt , it shall comply Paragraph- in addition."
48-2.1.2.1,"Effective date from 2017/4/1, except f Paragraph-, all types of safety belt anchorage using in vehicles of category - and if the vehicle is equipped with ISOFIX, it shall comply Paragraph- in addition."
48-2.1.3,"Effective date from 2019/1/1, all types of safety belt anchorage for side-facing and rearward-facing seats shall comply with this regulation."
48-2.1.3.1,Existing types of safety belt anchorage for rearward-facing seats which were confirmed 48-1 Safety belt anchorageas conform to this regulation.
48-2.1.4,"Effective date from 2017/4/1, all types of safety belt anchorage using in vehicles of category symbols N other than the first row of seats, it shall comply with this regulation."
48-2.1.5,This regulation doesnt apply to the following seats used in M and N:
48-2.1.5.1,Folding seats (means an auxiliary seat intended for occasional use and normally folded).
48-2.1.5.2,"The seats, for children, of the child-only vehicles."
48-2.1.6,The applicants applying for low volume safety approval or vehicle-by-vehicle low volume safety approval could exempt from Regulation of anchorage except large passenger vehicle and child-only vehicle.
48-2.2,Definitions
48-2.2.1,"""ISOFIX"" is a system for the connection of child restraint systems to vehicles which has two vehicle rigid anchorages, two corresponding rigid attachments on the child restraint system and a mean to limit the pitch rotation of the child restraint system."
48-2.2.2,"""ISOFIX position"" means a position which allows the installation of:"
48-2.2.2.1,"an universal ISOFIX forward facing child restraint system, Paragraph- a semi-universal ISOFIX forward facing child restraint system, or "
48-2.2.2.3,"a semi-universal ISOFIX rearward facing child restraint system, Paragraph- a semi-universal ISOFIX lateral facing position child restraint system ,or"
48-2.2.2.5,"a specific vehicle ISOFIX child restraint system, Paragraph- an i-Size child restraint system, Paragraph- a specific vehicle i-Size child restraint system."
48-2.2.3,"""ISOFIX low anchorage"" means one 6 mm diameter rigid round horizontal bar, extending from vehicle or seat structure to accept and restrain an ISOFIX child restraint system with ISOFIX attachments."
48-2.2.4,"""ISOFIX anchorages system"" means a system made up of two ISOFIX low anchorages which is designed for attaching an ISOFIX child restraint system in conjunction with an anti-rotation device."
48-2.2.5,"""ISOFIX attachment"" means one of the two connections, extending from the ISOFIX child restraint system structure, and compatible with an ISOFIX low anchorage."
48-2.2.6,"""ISOFIX child restraint system"" means a child restraint system, which has to be attached to an ISOFIX anchorages system."
48-2.2.7,"""Static force application device (SFAD)"" means a test fixture that engages the vehicle ISOFIX anchorages systems and that is used to verify their strength and the ability of the vehicle or seat structure to limit the rotation in a static test. The test fixture for lower anchorages and top tethers is described in the figures 1 and 2 , as well as an SFADSL (Support Leg) to assess i-Size seating positions with regard to the vehicle floor strength. An example for such an SFADSL is given in Figure 31."
48-2.2.8,"Anti-rotation device (a) An anti-rotation device for an ISOFIX universal child restraint system consists of the ISOFIX top-tether. (b) An anti-rotation device for an ISOFIX semi-universal child restraint system consists of either a top tether, the vehicle dashboard or a support leg intended to limit the rotation of the restraint during a frontal impact. (c) An anti-rotation device for an i-Size child restraint system consists of either a top tether or a support leg intended to limit the rotation of the restraint during a frontal impact. (d) For i-Size, universal and semi-universal, child restraint systems the vehicle seat itself does not constitute an anti-rotation device."
48-2.2.9,"""ISOFIX top tether anchorage"" means a feature, such as a bar, located in a defined zone, designed to accept an ISOFIX top tether strap connector and transfer its restraint force to the vehicle structure."
48-2.2.10,"""ISOFIX top tether connector"" means a device intended to be attached to an ISOFIX top tether anchorage."
48-2.2.11,"""ISOFIX top tether hook"" means an ISOFIX top tether connector typically used to attach an ISOFIX top tether strap to an ISOFIX top tether anchorage as defined in figure 3 of this Regulation."
48-2.2.12,"""ISOFIX top tether strap"" means a webbing strap (or equivalent) which extends from the top of an ISOFIX child restraint system to the ISOFIX top tether anchorage, and which is equipped with an adjustment device, a tension-relieving device, and an ISOFIX top  tether connector."
48-2.2.13,"""A guidance device"" is intended to help the person installing the ISOFIX child restraint system by physically guiding the ISOFIX attachments on the ISOFIX child restraint into correct alignment with the ISOFIX low anchorages to facilitate engagement."
48-2.2.14,ISOFIX universal CRS means forward facing restraints for use in vehicles with positions equipped with ISOFIX anchorages system and a top tether anchorage.
48-2.2.15,"ISOFIX semi universal CRS means: (1) forward facing restraints equipped with support leg or (2) rearward facing restraints equipped with a support leg or a top tether strap for use in vehicles with positions equipped with ISOFIX anchorages system and a top tether anchorage if needed or (3) rearward facing restraints, supported by the vehicle dashboard, for use in the front passenger seat equipped with ISOFIX anchorage system, or (4) lateral facing position restraint equipped if needed with an anti-rotation device for use in vehicles with positions equipped with ISOFIX anchorages system and top tether anchorage if needed."
48-2.2.16,"""specific vehicle"" category for use either;"
48-2.2.16.1,"on specific vehicle types, in accordance with the following regulations: (1) The use of child restraints in the ""specific vehicle"" category is permitted in all seat positions and also in the luggage area if the restraints are fitted in conformity with the manufacturer's instructions. In the case of a rear-facing restraint, the design must ensure that support for the child's head is provided whenever the restraint is ready to use. This is to be determined as a line perpendicular to the seat back through the eye line, the point of intersection shall be at least 40 mm below the start of radius of such a head support. (2) For the ""semi-universal"" category: by means of the lower anchorages and additional anchorages."
48-2.2.16.2,"as a ""built in"" child restraint."
48-2.2.17,"""Seat"" means a structure which may or may not be integral with the vehicle structure complete with trim, intended to seat one adult person. The term covers both an individual seat or part of a bench seat intended to seat one person;"
48-2.2.17.1,"""Front passenger seat"" means any seat where the ""foremost H point"" of the seat in question is in or in front of the vertical transverse plane through the driver's R point;"
48-2.2.17.2,"""Forward-facing seat"" means a seat which can be used while the vehicle is in motion and which faces towards the front of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of less than +10 deg. or -10 deg. with the vertical plane of symmetry of the vehicle."
48-2.2.17.3,"""Rearward-facing seat"" means a seat which can be used while the vehicle is in motion and which faces towards the rear of the  vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of less than +10 deg. or -10 deg. with the vertical plane of symmetry of the vehicle."
48-2.2.17.4,"""Side-facing seat"" means a seat which can be used while the vehicle is in motion and which faces towards the side of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of 90 deg. (+/-10 deg.) with the vertical plane of symmetry of the vehicle."
48-2.2.18,"""Support leg foot assessment volume"" means the volume, as shown in Figures 29 and 30, in which the support leg foot of an i-Size child restraint system will rest and therefore the vehicle floor has to intersect."
48-2.2.19,"""Vehicle floor contact surface"" means the area which results from the intersection of the upper surface of the vehicle floor (incl. trim, carpet, foam, etc.) with the support leg foot assessment volume and is designed to withstand the support leg forces of an i-Size child restraint system."
48-2.2.20,"""i-Size seating position"" means a seating position, if any defined by the vehicle manufacturer, which is designed to accommodate an i-Size child restraint system, and fulfils the requirements defined in this Regulation."
48-2.2.21,"""Child restraint fixture"" (CRF) means a fixture according  Paragraph- one out of the eight ISOFIX size classes, and particularly whose dimensions are given from Figure 21 to Figure 27. Those child restraint fixtures (CRF) are used, in this Regulation, to check what are the ISOFIX child restraint systems size classes which can be accommodated on the vehicle ISOFIX positions."
48-2.2.22,"""i-Size"" (Integral Universal ISOFIX Enhanced Child Restraint Systems) is a category of Enhanced Child Restraint System primarily designed for use in all i-Size seating position of a vehicle, as defined and approved according to this regulation."
48-2.3,The applicable variants and scope principles of safety belt anchorage are as below
48-2.3.1,"From 2008/1/1, it has to comply with this regulation as below:"
48-2.3.1.1,The same vehicle category symbol.
48-2.3.1.2,The same brand and vehicle type.
48-2.3.1.3,The same chassis brand.
48-2.3.1.4,Chassis manufacturers announced that the same chassis vehicle type.
48-2.3.1.5,"If use chassis vehicle instead of completed vehicle for entire or partial testing, which shall according to suitable variants and range of principle are as belowpÉ"
48-2.3.1.5.1,The same chassis brand.
48-2.3.1.5.2,Chassis manufacturers announced that the same chassis vehicle type.
48-2.3.2,"From 2009/1/1, it has to comply with this regulation as below:"
48-2.3.2.1,The same brand. 
48-2.3.2.2,The amount of fixed point (safety-belts anchorages and the ISOFIX anchorages systems and ISOFIX top tether anchorages) is the same.
48-2.3.2.3,"The fixed devices (safety-belts anchorages and the ISOFIX anchorages systems and ISOFIX top tether anchorages) structures, dimensions and materials are the same."
48-2.3.2.4,"The jointed methods, structures (including the slab thickness of jointed fixed, and floor where the i-Size) and materials of the fixed device (safety-belts anchorages and the ISOFIX anchorages systems and ISOFIX top tether anchorages) are the same."
48-2.4,Location and angles of belt anchorages
48-2.4.1,"Upper Anchorage: The effective upper anchorage of 3-point Safety Belt must be placed on the location within the allowable region shown as figure 4. The effective upper anchorage shall lie below the plane FN, which runs perpendicular to the longitudinal median plane of the seat and makes an angle of 65 degrees with the torso line. The angle may be reduced to 60 degrees in the case of rear seats. The plane FN shall be so placed as to intersect the torso line at a point D such that DR = 315 mm + 1.8 S. However, when S < 200 mm, then DR = 675 mm. The effective upper anchorage shall lie behind a plane FK running perpendicular to the longitudinal median plane of the seat and intersecting the torso line at an angle of 120 degrees at a point B such that BR = 260 mm + S. When S > 280 mm, the manufacturer may use BR = 260 mm + 0.8 S at his discretion. S is the distance of the effective upper belt anchorages from upper belt anchorages to the longitudinal median plane of the vehicle. The value of S shall not be less than 140 mm, shown as figure 5."
48-2.4.1.1,"The additional anchorages can be used without the aid of tools, comply with the requirements above mention and are located in one of the areas determined by shifting the area shown in figure 4, 80 mm upwards or downwards in a vertical direction."
48-2.4.1.2,The effective upper belt anchorage shall be situated above a horizontal plane passing through point C defined in figure 4.
48-2.4.1.2.1,Notwithstanding the requirements  Paragraph- the effective upper belt anchorage for passenger seats of category M2 and M3 vehicles may be adjustable below that specification providing the following requirements are met:
48-2.4.1.2.1.1,The safety belt or seat shall be permanently marked to identify the position of the effective upper belt anchorage that is required to satisfy the minimum upper anchorage height position required  Paragraph-. This marking shall clearly indicate to the user when the anchorage is in a position suitable for use by an adult of average stature;
