Index,Text
49-1,"Seats: Effective date from 2017/1/1 Refer to: R17 08-S3, R80 03-S2"
49-1.1,Effective date and Scope:
49-1.1.1,"Effective date from 2017/1/1, new types of seats using in vehicles of category symbols M and N, and from 2019/1/1 all types of seats using in vehicles of category symbols M and N, shall comply with this regulation. Existing types of seats which were confirmed 49 seats"
49-1.1.1.1,"Effective date from 2019/1/1, all types of passenger seats using in vehicles of categories M2 and M3 of Class I and Class A, shall comply Paragraph-."
49-1.1.2,"This regulation doesnt apply to rearward-facing seats, and seats for child-only vehicle."
49-1.1.3,The applicants applying for low volume safety approval or vehicle-by-vehicle low volume safety approval could exempt from regulation of seats except large passenger vehicle and child-only vehicle.
49-1.2,DefinitionspÉ
49-1.2.1,"""Seat"" means a structure which may or may not be integral with the vehicle structure complete with trim, intended to seat one person. Depending on its orientation, a seat is defined as follows:"
49-1.2.1.1,"""Forward-facing seat"" means a seat which can be used whilst the vehicle is in motion and which faces towards the front of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of less than + 10 degrees or - 10 degrees with the vertical plane of symmetry of the vehicle;"
49-1.2.1.2,"""Rearward-facing seat"" means a seat which can be used whilst the vehicle is in motion and which faces towards the rear of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of less than + 10 degrees or - 10 degrees with the vertical plane of symmetry of the vehicle;"
49-1.2.1.3,"""Side-facing seat"" means a seat which, can be used whilst the vehicle is in motion and which faces towards the side of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of 90 deg. (+/- 10 deg.) with the vertical plane of symmetry of the vehicle;"
49-1.2.2,"""Folding seat"" means a seat, which is normally folded, can be easily operated and is designed for occasional use by an occupant."
49-1.2.3,The vehicles of category M2 or M3 within the scope defined as follow.
49-1.2.3.1,"""Class I"": for vehicles having a capacity exceeding 22 passengers in addition to the driver, vehicles constructed with areas for  standing passengers, to allow frequent passenger movement."
49-1.2.3.2,"""Class II"": for vehicles having a capacity exceeding 22 passengers in addition to the driver, vehicles constructed principally for the carriage of seated passengers, and designed to allow the carriage of standing passengers in the gangway and/or in an area which does not exceed the space provided for two double seats."
49-1.2.3.3,"""Class III"": for vehicles having a capacity exceeding 22 passengers in addition to the driver, vehicles constructed exclusively for the carriage of seated passengers"
49-1.2.3.4,"""Class A"": for vehicles having a capacity not exceeding 22 passengers in addition to the driver, vehicles designed to carry standing passengers; a vehicle of this class has seats and shall have provision for standing passengers."
49-1.2.3.5,"""Class B"": for vehicles having a capacity not exceeding 22 passengers in addition to the driver, vehicles not designed to carry standing passengers; a vehicle of this class has no provision for standing passengers."
49-1.3,Seats shall according to suitable variants and range of principle are as belowpÉ
49-1.3.1,Vehicle of categories M1 and N:
49-1.3.1.1,"the structure, shape, dimensions, materials and the mass of the seats, although the seats may differ in covering and colour; differences not exceeding 5 per cent in the mass of the approved seat type shall not be considered significant;"
49-1.3.1.2,"the type and dimensions of the adjustment, displacement and locking systems of the seat-back and seats and their parts;"
49-1.3.1.3,the type and dimensions of the seat anchorages;
49-1.3.1.4,"the dimensions, frame, materials and padding of head restraints, although they may differ in colour and covering;"
49-1.3.1.5,"the type and dimensions of the attachments of the head restraint and the characteristics of the part of the vehicle to which the head restraint is attached, in the case of a separate head restraint;"
49-1.3.2,Vehicle of categories M2 and M3
49-1.3.2.1,"Structure, shape, dimensions and materials of the load bearing parts ;"
49-1.3.2.2,Types and dimensions of the seat back adjustment and locking system;
49-1.3.2.3,"Dimensions, structure and materials of the attachments and supports (e.g. legs);"
49-1.4,"In the case of the seats (with or without head restraint) and their anchorages fitted to category symbols M1 and N vehicles, M2 vehicle that selects to conform  Paragraph-, and non-passenger seats on category symbols M2and M3 vehicles:"
49-1.4.1,General requirements applicable to all seats of vehicles 
49-1.4.1.1,"Except for the vehicles as specified  Paragraph-, the installation of side-facing seats shall be prohibited in following vehicles."
49-1.4.1.1.1,M1 vehicles.
49-1.4.1.1.2,N1 vehicles.
49-1.4.1.1.3,M2 vehicles(Class IIClass IIIClass B).
49-1.4.1.1.4,M3 vehicles(Class IIClass IIIClass B).
