Index,Text
51-2,Door latches and retention componentsEffective date from 2018/1/1 Refer to: R11 04-S1
51-2.1,Effective Date and Scope:
51-2.1.1,"Effective date from 2018/1/1, the new types of latches and door retention components for category symbols M1 and N1, such as hinges and other supporting means on doors and back doors, which can be used for the entry or exit of the occupants, shall comply with this regulation."
51-2.1.2,"Effective date from 2023/1/1, all types of latches and door retention components for category symbols M1 and N1, such as hinges and other supporting means on doors and back doors, which can be used for the entry or exit of the occupants, shall comply with this regulation. Existing types of latches and door retention components 1-1 Door latches and retention components if it fitted a full locking system described  Paragraph-, shall comply Paragraph- in addition. Existing types of latches and door retention components 1-1 Door latches and retention components if it not fitted a full locking system described  Paragraph-, regard as conform to this regulation."
51-2.1.2.1,"Effective date from 2023/1/1, all types of latches and door retention components used in back door which can be used for the entry or exit of the occupants and/or can present the risk of occupants being thrown from a vehicle as a result of impact, shall comply with this regulation. Existing types of latches and door retention components 1-1 Door latches and retention components if it fitted a full locking system described  Paragraph-, shall comply Paragraph- in addition. Existing types of latches and door retention components 1-1 Door latches and retention components if it not fitted a full locking system described  Paragraph-, regard as conform to this regulation."
51-2.1.3,The applicants applying for low volume safety approval could exempt from regulation of door latches and retention components except child-only vehicle.
51-2.1.4,"Applying for vehicle-by-vehicle low volume safety approval, the vehicle could exempt from regulation of door latches and retention  components."
51-2.2,Definitions
51-2.2.1,"""Auxiliary door latch"" is a latch equipped with a fully latched position with or without a secondary latch position, and fitted to a door or door system equipped with a primary door latch system."
51-2.2.2,"""Auxiliary door latch system"" consists, at a minimum, of an auxiliary door latch and a striker."
51-2.2.3,"""Back door"" is a door or door system on the back end of a motor vehicle through which passengers can gain ingress or egress, and which can present the risk of occupants being thrown from a vehicle as a result of impact, or through which cargo can be loaded or unloaded. It does not include: (a) a trunk lid; or (b) a door or window composed entirely of glazing material and whose latches and/or hinge systems are attached directly to the glazing material."
51-2.2.4,"""Body member"" is that portion of the hinge normally affixed to the body structure."
51-2.2.5,Additional protections
51-2.2.5.1,"""Child safety lock system"" is a locking device which can be engaged and released independently of other locking devices and which, when engaged, prevents operation of the interior door handle or other release device. The lock release/engagement device may be manual or electric and may be located anywhere on or in the vehicle;"
51-2.2.5.2,"""Full locking system"" is a system that renders the interior door release handle or any other door interior latch release control of any of the vehicles doors inoperable other than by operation of the systems locks."
