Index,Text
52-2,"Headlamps (headlamps of gas-discharge type excluded): Effective date from 2017/1/1 Refer to: R05 03, R31 03, R112 01-S6, R113 01-S6"
52-2.1,Effective date and Scope:
52-2.1.1,"Effective date from 2017/1/1, new types of headlamps (headlamps of gas-discharge type excluded) using in vehicles of category symbols M and N, sources"" of this Direction."
52-2.1.1.1,"Effective date from 2017/1/1, new types of headlamps (headlamps of gas-discharge type excluded) using in vehicles of category symbols M and N that ca apply for halogen sealed-beam headlamp unit."
52-2.1.2,"Effective date from 2018/1/1, the new types of Headlamps (headlamps of gas-discharge type excluded) equipped on categories of Lof this Direction."
52-2.1.3,"Effective date from 2019/1/1, existing types of headlamps (headlamps of gas-discharge type excluded) using in vehicles of category symbols M, N and L -1 Headlamps (headlamps of gas-, except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to"
52-2.2.7,"of this regulation, and certification institution may do a reality check when necessary."
52-2.1.4,headlamps (headlamps of gas-discharge type excluded)-only vehicle.
52-2.1.5,Applying for vehicle-by-headlamps (headlamps of gas-discharge type excluded)
52-2.2,Definitions: means all types of headlamps shall conform to
52-2.2.7,"Specifications marked, and as below:"
52-2.2.1,"Halogen sealed-beam headlamp unitpÉA headlamp whose components, including a reflector of glass, metal or other material, an optical system and one or more halogen light sources, form an integral whole which is indivisibly joined and cannot be dismantled  without rendering the unit completely unusable. The L category vehicle shall not use this categories of headlamp."
52-2.2.2,"Asymmetrical-beam headlamp unitpÉA headlamp emitting an asymmetrical beam, which may incorporate lenses of glass or plastic material and which is equipped with replaceable filament lamp."
52-2.2.2.1,In the case of LED module light source
52-2.2.2.1.1,"Electronic light source control gear(s), if applicable, shall be considered to be part of the headlamp; they may be part of the LED module(s);"
52-2.2.2.1.2,"The headlamp, if equipped with LED modules, and the LED module(s) themselves shall comply with the relevant requirements specified  Paragraph- .12. The compliance with the requirements shall be tested."
52-2.2.2.1.3,"The total objective luminous flux of all LED modules producing the principal passing beam and measured as described  Paragraph- shall be equal or greater than 1,000 lumens."
52-2.2.2.1.4,"In the case of a replaceable LED module the removal and replacement of this LED module, as described  Paragraph- shall be demonstrated to the satisfaction of the Technical Service."
52-2.2.3,"Symmetrical-beam headlamp unitpÉA headlamp emitting an symmetrical beam, which may incorporate lenses of glass or plastic material and which is equipped with replaceable filament lamp. The M and N categories vehicles shall not use this category of headlamp."
52-2.2.3.1,"In the case of class A, B, C or D"
52-2.2.3.1.1,It is possible to use two filament light sources for the passing beam and several filament light sources for the driving beam.
52-2.2.3.1.1.1,"For Class A and B, its reference luminous flux at 13.2V for principal dipped-beam does not exceed 900 lm."
52-2.2.3.1.1.2,"For Class C and D, its reference luminous flux at 13.2V for principal dipped-beam does not exceed 2,000 lm.. The design of the device shall be such that the filament lamp can be fixed in no other position but the correct one.  The filament lamp holder shall conform to the characteristics given in IEC Publication 60061. The holder data sheet relevant to the category of filament lamp used, applies. A means of controlling the voltage at the terminals of the device, within the limits as defined in Regul- in Directions, may, for convenience, be located within the body of the headlamp. However, for the purposes of type approval of the passing and/ or driving beam according to the provisions of this Regulation, voltage control shall not be considered to be part of the headlamp and shall be disconnected during the testing to verify performance according to the requirements of this Regulation."
52-2.2.3.1.2,For lamps equipped with (an) LED module(s):
52-2.2.3.1.2.1,"The electronic light source control gear(s) associated with the operation of LED module(s), if applicable, shall be considered as being part of the headlamp; they may also be part of the LED module(s);"
52-2.2.3.1.2.2,The headlamp and the LED module(s) themselves shall comply with the relevant requirements specified  Paragraph- of this Regulation. The compliance with the requirements shall be tested.
52-2.2.3.1.2.3,The total objective luminous flux of all LED modules producing the passing beam shall be measured as described  Paragraph-. The following minimum and maximum limits shall apply:
52-2.2.3.1.2.4,"In the case of a replaceable LED module, the removal and replacement of this LED module, as described  Paragraph-., shall be demonstrated to the satisfaction of the Technical Service."
52-2.2.4,"""Lens"" means the outermost component of the headlamp (unit) which transmits light through the illuminating surface;"
52-2.2.5,"""Coating"" means any product or products applied in one or more layers to the outer face of a lens;"
52-2.2.6,"""Additional lighting unit"" means the part of a headlamp system that provides the bend lighting. It is independent from the device that provides the principal passing beam, may consist of optical, mechanical and electrical components, and it may be grouped and/or reciprocally incorporated with other lighting or light-signaling devices."
52-2.2.7,Specifications marked;
52-2.2.7.1,"The sealed-beam headlamp units, means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:"
52-2.2.7.1.1,Brand (or marking).
52-2.2.7.1.2,"The rated voltage and of the rated wattage of the main-beam function(s), followed by that of the rated wattage of the passing beam filament, as applicable."
52-2.2.7.1.3,"On sealed-beam headlamps meeting left-hand traffic requirements only, a horizontal arrow pointing to the right of an observer facing the sealed-beam headlamp, i.e. to, the side of the road on which the traffic moves; it does not apply to this lamp of specification ()."
52-2.2.7.1.4,"On sealed-beam headlamps designed to meet the requirements of both traffic systems by means of an appropriate adjustment of the setting of the headlamp, a horizontal arrow with a head on each end, the heads pointing respectively to the left and to the right; "
52-2.2.7.1.5,"On headlamps meeting the requirements of this Regulation in respect of the passing beam only, the letters ""SC"";"
52-2.2.7.1.6,"On headlamps meeting the requirements of this Regulation in respect of the driving beam only, the letters ""SR"";"
52-2.2.7.1.7,"On headlamps meeting the requirements of this Regulation in respect of both the passing beam and the driving beam, the letters ""SCR"";"
52-2.2.7.1.8,"On headlamps incorporating a lens of plastic material, the group of letters ""PL"" shall be affixed near the symbols prescribed  Paragraph- to 52-.2.2.7.1.6 above;"
