Index,Text
54-3,Prevention of fire risks for the large passenger vehicle Refer to: R107 07-S1
54-3.1,Effective date and Scope:
54-3.1.1,"As for the vehicle of category M2 and M3 with wheelbase exceeding four meter, and wheelbase not exceeding four meters but certified gross vehicle weight exceeding 4.5 tons, the new vehicle variants from 2018/7/1 shall comply with this regulation."
54-3.1.2,"As for the vehicle of category M2 and M3 with wheelbase exceeding four meter, and wheelbase not exceeding four meters and certified gross vehicle weight exceeding 4.5 tons, from 2022/1/1 all vehicle variants w54-2 Prevention of fire risks for the large passenger vehicle ,which shall comply with the following requirements:"
54-3.1.2.1,"In the case of vehicles having the engine located to the rear of the driver's compartment, the engine compartment shall be equipped with a fire suppression system and shall additional comply with Paragraph- Paragraph- to 54 4.1.7 Paragraph- Paragraph-."
54-3.2,Definitions:
54-3.2.1,"""Passenger compartment"" means the space intended for passengers use excluding any space occupied by fixed appliances such as bars, kitchenettes or toilets or luggage compartment;"
54-3.2.2,"""Driver's compartment"" means the space intended for the driver's exclusive use and containing the driver's seat, the steering wheel, controls, instruments and other devices necessary for driving the vehicle."
54-3.2.3,"""Separate compartment"" means a space in the vehicle which may be occupied by passengers or crew when the vehicle is in use and which is separated from any other passenger or crew space, except where any partition allows passengers to see into the next passenger space, and is connected by a gangway without doors."
54-3.3,Prevention of fire risks for the large passenger vehicle shall according to suitable types and range of principle are as below
54-3.3.1,The same vehicle category symbol.
54-3.3.2,The same type of vehicle body.
54-3.3.3,The same axle set type.
54-3.3.4,The same brand and vehicle type series.
54-3.3.5,The chassis vehicle had same axle set type.
54-3.3.6,The same chassis brand.
54-3.3.7,Chassis manufacturers announced that the same chassis vehicle type series.
54-3.3.8,The same fire suppression system type series.
54-3.3.8.1,Fire suppression system brand;
54-3.3.8.2,Extinguishing agent; 
54-3.3.8.3,"Type of discharge point(s) used (e.g. type of nozzle, extinguishing agent generator or extinguishing agent discharge tube);"
54-3.3.8.4,"Type of propellant gas, if applicable."
54-3.4,Declaration of design compliance of prevention of fire risks for the large passenger vehicle
54-3.4.1,Engine compartment
54-3.4.1.1,No flammable sound-proofing material or material liable to become impregnated with fuel or lubricant shall be used in the engine compartment unless the material is covered by an impermeable sheet.
54-3.4.1.2,"Precautions shall be taken, either by a suitable layout of the engine compartment or by the provision of drainage orifices, to avoid, so far as possible, the accumulation of fuel or lubricating oil in any part of the engine compartment."
54-3.4.1.3,"A partition of heat-resisting material shall be fitted between the engine compartment or any other source of heat (such as a device designed to absorb the energy liberated when a vehicle is descending a long gradient, e.g. a retarder or a device for heating the interior of the body other, however, than a device functioning by warm water circulation) and the rest of the vehicle. A heating device operating of class II vehicle other than by hot water may be provided in the passenger compartment if it is encased in material designed to resist the temperatures generated by the device, emits no toxic fumes and is positioned such that no passenger is likely to come into contact with any hot surface."
54-3.4.1.4,"In the case of vehicles having the engine located to the rear of the driver's compartment, the compartment shall be equipped with an alarm system providing the driver with both an acoustic and a visual signal in the event of excess temperature in the engine compartment and in each compartment where a combustion heater is located."
54-3.4.1.4.1,"The following areas of the engine compartment, and each compartment where a combustion heater is located, are monitored regarding excess temperature:"
54-3.4.1.4.1.1,"Areas in which, in case of leakage, flammable fluids (liquid or gas) may come into contact with exposed components, e.g. the supercharger or the exhaust-system, including engine mounted components, whose working temperature is equal to or greater than the ignition temperature of the flammable fluids (liquid or gas);"
54-3.4.1.4.1.2,"Areas in which, in case of leakage, flammable fluids (liquid or gas) may come into contact with shielded components, e.g. an independent heating device, whose working temperature is equal to or greater than the ignition temperature of the flammable fluids (liquid or gas); Paragraph- Areas in which, in case of leakage, flammable fluids (liquid or gas) may come into contact with components, e.g. the alternator, whose temperature, in case of failure, may be equal to or greater than the ignition temperature of the flammable fluids (liquid or gas)."
54-3.4.1.4.2,"The alarm system and the fire suppression system shall be operational whenever the engine start device is  operated (or the electric vehicles is in the running mode), until such time as the engine stop device is operated(or the electric vehicles is not in the running mode),regardless of the vehicle's attitude. They may remain operational after the ignition is switched off or the vehicle master control switch is deactivated (or the electric vehicles is not in the running mode), wherever applicable. The alarm system shall remain operational whenever the combustion heater is in operation."
54-3.4.1.5,"In the case of vehicles having the engine located to the rear of the driver's compartment, the alarm system and the fire suppression system, shall be automatically activated through a fire detection system  Paragraph-. The detection system shall be designed so as to detect a temperature in the engine compartment, and in each compartment where a combustion heater is located in excess of the temperature occurring during normal operation."
54-3.4.1.6,The applicant should install the fire suppression system according to the installation manual that provided by the system manufacturer
54-3.4.1.6.1,"An analysis shall be conducted prior to the installation in order to determine the location and direction of the suppression agent discharge point(s) (e.g. nozzles, extinguishing agent generators or extinguishing agent discharge tube or other distribution points)."
54-3.4.1.6.2,"Potential fire hazards within the engine compartment and each compartment where a combustion heater is located, shall be identified and the discharge point(s) located such that the suppression agent will be distributed to cover the fire hazard when the system activates. The spray pattern and direction of discharge points, as well as the discharge distance, shall be ensured to cover identified fire hazards. The system shall also be ensured to work properly regardless of the vehicle's attitude. The fire hazard analysis shall, as a minimum, take into account the following components: (a) Those whose surface may reach temperatures above the auto-ignition temperature for fluids, gases or substances that are present within the compartment; (b) Electrical components and cables with a current or voltage high enough for a ignition to occur; (c) Hoses and containers with flammable liquid or gas (in particular if those are pressurized). The analysis shall be fully documented."
54-3.4.1.6.3,"The suppression system shall be scaled from the tested system, based on the total gross volume of the engine and combustion heater compartments where the system is to be installed. When measuring the engine compartment and the combustion heater compartments, the gross volume of these compartments shall be measured, i.e. the volume of the engine and its components shall not be subtracted. The scaling of the system includes the mass of the suppression agent, all discharge points and the mass of the propellant gas container, if applicable. The system pressure shall remain the same as in the tested system. If the  system includes a discharge tube for the extinguishing agent, the length of the tube shall be scaled without nozzles. It is acceptable if the suppression system has more extinguishing agent and/or more discharge points and/or a longer discharge tube for the extinguishing agent and/or more propellant gas than required according to the scaling models found below. If the gross volume of the engine and combustion heater compartments exceed 4 m3, the suppression system shall be scaled up using the following scaling factor calculated in (1) below. If the gross volume is less than 4 m3, it is allowed to scale down the suppression system using the scaling factor (2) below. Sx denotes the scaling factor and x denotes the total gross volume including the engine and combustion heater compartments [m3]. The scaled number of nozzles or other discharge points, if the suppression system has more than one discharge point may be rounded to the closest whole number."
54-3.4.1.7,When applicants apply for certification testing shall provide at least one representative vehicle and submit the documents as below:
54-3.4.1.7.1,The fire suppression system manufacturer's installation manual.
54-3.4.1.7.2,The documents of the fire suppression system arrangement and the information or the photos of vehicle specification.
54-3.4.1.7.3,Fire suppression system brand and type.
54-3.4.1.7.4,The extinguishing agent brand and type.
54-3.4.1.7.5,Mass of extinguishing agent.
54-3.4.1.7.6,Location and number of discharge points(s).
