Index,Text
55,Strength of super structure for large passenger vehicle Refer to: R66 02
55.1,"Effective date and Scope: Effective date from 2008/12/31, the strength of super structure for vehicle as below that shall comply with this regulation."
55.1.1,"The vehicle of category M3 with wheelbase exceeding four meters, except for vehicles specified  Paragraph-."
55.1.2,"The vehicle of category M3 vehicles that wheelbase not exceeding four meters, gross weight exceeding 4.5 tons and seated place for passengers is more than 22not including driver:"
55.1.2.1,Vehicles constructed exclusively for the carriage of seated passengers.
55.1.2.2,"Vehicles constructed principally for the carriage of seated passengers, and designed to allow the carriage of standing passengers in the gangway and/or in a standing area which does not exceed the space provided for two double seats."
55.1.3,The articulated buses ( category M3 ) as below:
55.1.3.1,The articulated buses ( category M3 ) constructed exclusively for the carriage of seated passengers.
55.1.3.2,"The articulated buses ( category M3 ) having a capacity exceeding 22 passengers in addition to the driver, vehicles constructed principally for the carriage of seated passengers, and designed to allow the carriage of standing passengers in the gangway and/or in an area which does not exceed the space provided for two double seats."
55.1.4,Single deck buses ( category M3 ) without a roof and double decker city buses( category M3 ) without a roof could exempt from this regulation.
55.2,Definitions:
55.2.1,"""Unladen kerb mass"" (MK) (kg) means the mass of the vehicle in running order, unoccupied and unladen but with the addition of 75 kg for the mass of the driver, the mass of fuel corresponding to 90 % of the capacity of the fuel tank specified by the manufacturer, and the masses of coolant, lubricant, tools and spare wheel, if any;"
55.2.2,"""Total occupant mass"" (Mm) means the combined mass of any passengers, crew who occupy seats fitted with occupant restraints."
55.2.3,"""Total effective vehicle mass"" (Mt) means the unladen kerb mass of the vehicle (Mk) combined with the portion (k = 0.5), of the total occupant mass (Mm), considered to be rigidly attached to the vehicle."
55.2.4,"""Residual space"" means a space to be preserved in the passengers', crew and driver's compartment(s) to provide better survival possibility for passengers, driver and crew in case of a rollover accident."
55.2.5,"""Superstructure"" means the parts of a vehicle structure which contribute to the strength of the vehicle in the event of a roll-over accident;"
55.2.6,"""Bay"" means a structural section of the superstructure forming a closed loop between two planes which are  perpendicular to the vertical longitudinal central plane of the vehicle. A bay contains one window (or door) pillar on each side of the vehicle as well as side wall elements, a section of the roof structure and a section of the floor and underfloor structure."
55.2.7,"""Body section"" means a section containing at least two identical vertical pillars on each side representative of a part or parts of the structure of the vehicle;"
55.2.8,"""Artificial body section"" means a body section built up from two or more bays but not in the same position, nor at the same distance from each other as in the actual vehicle. The connecting elements between these bays need not be identical with the real body work structure but shall be structurally equivalent."
55.3,Strength of super structure for large passenger vehicle shall according to suitable types and range of principle are as below
55.3.1.1,The same vehicle category symbol.
55.3.1.2,The same axle set type.
55.3.1.3,The same brand and vehicle type series.
55.3.1.4,The chassis vehicle have had same axle set type.
55.3.1.5,The same chassis brand.
55.3.1.6,Chassis manufacturers announced that the same chassis vehicle type series.
55.4,Test methods
55.4.1,"Except for roll-over test on a complete vehicle, applicants could choose following Paragraph- to"
55.4.1.4,"for test, instead of roll-over test on a complete vehicle test. If applicant choose equivalent test that cant cover the special characteristic and structure, the vehicle shall do the roll-over test on a complete vehicle test."
55.4.1.1,"According  Paragraph-, it shall do the roll-over test on a complete vehicle test."
55.4.1.2,"According  Paragraph-, it shall do the quasi -static loading test of body sections."
55.4.1.3,"According  Paragraph-, it shall do the quasi-static calculation based on testing of components."
55.4.1.4,"According  Paragraph-, it shall do the computer simulation of rollover test on complete vehicle."
55.4.2,"In the case of an articulated buses, each rigid section of the vehicle shall comply with the general requirement specified  Paragraph-. Each rigid section of an articulated buses may be tested separately or in combination as described  Paragraph-."
55.5,Roll-over test on a complete vehicle test
55.5.1,Test conditions
55.5.1.1,The tilting platform shall be sufficiently rigid and the rotation sufficiently controlled to ensure simultaneous lifting of the axles of the vehicle with a difference of less than 1 degree in the platform's tilt angles measured below the axles.
55.5.1.2,"The height difference between the horizontal lower plane of the ditch (see Figure.4) and the plane of the tilting platform on which the bus is standing, shall be 800 +/- 20 mm. "
55.5.1.3,"The tilting platform, related to the ditch, shall be placed as follows (see Figure 4):"
55.5.1.3.1,the axis of its rotation is max 100 mm from the vertical wall of the ditch;
55.5.1.3.2,the axis of the rotation is max 100 mm below the plane of the horizontal tilting platform.
55.5.1.4,Wheel supports shall be applied at the wheels being close to the axis of rotation against sliding of the vehicle sideways when tilting it. The main characteristics of the wheel supports (see figure 4) shall be:
55.5.1.4.1,dimensions of the wheel support: shall not be greater than two-thirds of the distance between the surface on which the vehicle stands before it is tilted and part of the rim of the wheel which is nearest to the surface Width 20 mm Edge radius 10 mm Length 500 mm minimum;
55.5.1.4.2,the wheel supports at the widest axle shall be placed on the tilting platform so that the side of the tyre is at maximum 100 mm from the axis of rotation;
55.5.1.4.3,the wheel supports at the other axles shall be adjusted so that the vertical longitudinal centre plane (VLCP) of the vehicle shall be parallel to the axis of rotation.
55.5.1.5,"The impact area of the ditch shall have a horizontal, uniform, dry and smooth concrete surface."
55.5.1.6,"The vehicle to be tested need not be in a fully finished, ""ready for operation"" condition. Generally, any alteration from the fully finished condition is acceptable if the basic features and behaviour of the superstructure are not influenced by it. The test vehicle shall be the same as its fully finished version in respect of the following:"
55.5.1.6.1,"the position of the centre of gravity, the total value of vehicle mass (unladen kerb mass, or total effective vehicle mass where restraints are fitted) and the distribution and location of masses, as declared by the manufacturer."
55.5.1.6.2,all of those elements which - according to the manufacturer - contribute to the strength of the superstructure shall be installed in their original position.
55.5.1.6.3,"elements, which do not contribute to the strength of the superstructure and are too valuable to risk damage (e.g. drive chain, dashboard instrumentation, driver's seat, kitchen equipment, toilet equipment, etc.) can be replaced by additional elements equivalent in mass and method of installation. These additional elements must not have a reinforcing effect on the strength of superstructure."
55.5.1.6.4,"fuel, battery acid and other combustible, explosive or corrosive materials may be substituted with other materials provided that the conditions  Paragraph- are met."
55.5.1.6.5,"In the case where occupant restraint devices are part of the vehicle type, a mass shall be attached to each seat fitted with an occupant restraint following one of these two methods, at the choice of the manufacturer:"
55.5.1.6.5.1,First method: That mass shall be:
55.5.1.6.5.1.1,"the individual occupant mass (Mmi) of 68 kg,  If former occupant mass is fixed rigidly and securely to the seat and comply Paragraph-, that mass shall be: 50 of the individual occupant mass (Mmi) of 68 kg Paragraph- placed to have its centre of gravity 100 mm above and 100 mm forward of the R point of the seat as defined in Regulation"
55.5.1.6.5.2,Second method: That mass shall be
55.5.1.6.5.2.1,an anthropomorphic ballast with a mass of 68 kg and shall be restrained with a 2 point safety-belt. The ballast must allow guiding and positioning for safety-belts.
55.5.1.6.5.2.2,placed to have its centre of gravity and dimensioning according to Figure 5. fixed rigidly and securely so that it does not break away during the test.
55.5.1.6.6,tyres shall be inflated to the pressure prescribed by the manufacturer.
55.5.1.6.7,"the suspension system of the vehicle shall be blocked, i.e. the axles, the springs and the suspension elements of the vehicle shall be fixed in relation to the bodywork. The floor height above the horizontal tilting platform shall be according to the manufacturer's specification for the vehicle, dependent on whether it is loaded to unladen kerb mass or total vehicle mass."
55.5.1.6.8,every door and opening window of the vehicle shall be closed but not locked.
55.5.1.7,The rigid sections of an articulated buses may be tested separately or in combination.
55.5.1.7.1,"For testing the articulated sections as a combination, the sections of the vehicle shall be connected to each other in such a way that :"
55.5.1.7.1.1,there is no relative movement between them during the roll-over process.
55.5.1.7.1.2,there is no significant change in mass distribution and centre of gravity positions.
55.5.1.7.1.3,there is no significant change in the strength and deformation capability of the superstructure.
55.5.1.7.2,"For testing the articulated sections separately, the single-axle sections shall be attached to an artificial support which keeps them in fixed relation to the tilting platform during its movement from the horizontal to the point of roll-over. This support shall meet the following requirements:"
55.5.1.7.2.1,it shall be fixed to the structure in such a way that it does not cause either reinforcement or extra additional load to the superstructure.
55.5.1.7.2.2,it shall be constructed so that it does not suffer any deformation which could change the direction of the rollover of the vehicle.
55.5.1.7.2.3,"its mass shall be equal to the mass of those elements, parts of the articulated joint, which nominally belong to the section being tested, but which are not placed on it (e.g. turntable and its floor, handholds, rubber sealing curtains, etc.). "
55.5.1.7.2.4,its centre of gravity shall have the same height as the common centre of gravity of those parts which are listed.
55.5.1.7.2.5,"it shall have an axis of rotation parallel to the longitudinal axis of the multi-axle section of the vehicle, and passing through the points of contact of the tyres of that section."
55.5.1.7.3,"If the rigid sections of an articulated vehicles tested separately, center of gravity positions of individually rigid sections shall be measured."
55.5.2,"Test procedure, test process"
55.5.2.1,Detailed description of the tested vehicle shall be given by the manufacturer in which:
55.5.2.1.1,all the deviations between the fully finished vehicle type in running order and the tested vehicle are listed.
55.5.2.1.2,"the equivalent substitution (in respect of mass, mass distribution and installation) shall be proved in every case, when structural parts, units are substituted by other units or masses."
55.5.2.1.3,"there is a clear statement of the position of centre of gravity in the tested vehicle which may be based on measurements carried out on the test vehicle when it is ready for test, or a combination of measurement (carried out on the fully finished vehicle type) and calculation based on the mass substitutions."
55.5.2.2,"The rollover test shall be carried out on that side of the vehicle which is more dangerous with respect to the residual space. The decision is made by the technical service on the basis of the manufacturer's proposal, considering at least the following:"
55.5.2.2.1,"the lateral eccentricity of the centre of gravity and its effect on the reference energy in the unstable, starting position of the vehicle,  Paragraph-;"
55.5.2.2.2,"the asymmetry of the residual space,  Paragraph-."
55.5.2.2.3,"the different, asymmetrical constructional features of the two sides of the vehicle, and the support given by partitions or inner boxes (e.g. wardrobe, toilet, kitchenette). The side with the lesser support shall be chosen as the direction of the rollover test."
55.5.2.3,The rollover test is a lateral tilting test (see Figure 3)
55.5.2.4,"The complete vehicle is standing on the tilting platform, with blocked suspension and is tilted slowly to its unstable equilibrium position. If the vehicle type is not fitted with occupant restraints it will be tested at unladen kerb mass. If the vehicle type is fitted with occupant restraints it will be tested at total effective vehicle mass;"
55.5.2.5,The rollover test starts in this unstable vehicle position with zero angular velocity and the axis of rotation runs through the wheel-ground contact points. At this moment the vehicle is characterized by the reference energy E R.
