Index,Text
56-3,Electromagnetic Compatibility Refer to: R10 05-S1
56-3.1,Effective date and Scope:
56-3.1.1,"Effective date from 2019/01/01, the new vehicle variants of category L, M1 and N1 and from 2020/01/01, all vehicle variants of category L, M1 and N1 shall comply with -3 Electro"
56-3.1.1.1,"Those existing non-electric vehicle variants of category L, M1 and N1 56-2. Electromagnetic"
56-3.1.2,"Effective date from 2020/01/01, the new vehicle variants of categories M2,M3,N2 , N3 and O and from 2021/01/01, all vehicle variants of category M2,M3,N2 , N3 and O -3 Electromagnetic Compatibility."
56-3.1.2.1,"Those existing non-electric vehicle variants of category M2, M3, N2 , N3 and O which were confir56-2."
56-3.1.3,"The same applicant applying for low volume safety approval and the amounts of vehicle not exceed 3 at same year and the category symbols M1, N1, L3 or L5 of same variant and specification, could exempt the Electromagnetic immunity requirement of this regulation."
56-3.1.4,"The same applicant applying for vehicle-by-vehicle low volume safety approval and the amounts of vehicle not exceed 20 at same year and vehicle of same variant and specification, could exempt the Electromagnetic immunity requirement of this regulation."
56-3.1.5,"For the vehicles used by authorities, organizations, schools or individuals for self-use only could exempt from this regulation of"
56-3,"Electromagnetic Compatibility. Effective date from 2017/1/1, for the vehicles imported by authorities, organizations, institutes or individuals for self-use, if the vehicle registered and owned by the importer for more than six months from abroad, it could exempt from the regulation of ""56-3 Electromagnetic Compatibility ""."
56-3.2,Definitions 
56-3.2.1,"""Electromagnetic compatibility"" means the ability of a vehicle or component(s) or separate electrical/electronic technical unit(s) to function satisfactorily in an electromagnetic environment without introducing intolerable electromagnetic disturbances to anything in that environment."
56-3.2.2,"""Electromagnetic disturbance"" means annoy electromagnetic phenomenon which may degrade the performance of a vehicle or component(s) or separate electrical/electronic technical unit(s). An electromagnetic disturbance may be electromagnetic noise or a change in the propagation medium itself."
56-3.2.3,"""Electromagnetic immunity"" means the ability of a vehicle or component(s) or separate technical unit(s) to perform without degradation of performance in the presence of specified electromagnetic disturbances."
56-3.2.4,"""Electromagnetic environment"" means the totality of electromagnetic phenomena existing at a given location."
56-3.2.5,"""Broadband emission"" means an emission, which has a bandwidth greater than that of a particular measuring apparatus or receiver (International Special Committee on Radio Interference (CISPR) 25)."
56-3.2.6,"""Narrowband emission"" means an emission which has a bandwidth less than that of a particular measuring apparatus or receiver (CISPR 25)."
56-3.2.7,"""Electrical/electronic system"" means (an) electrical and/or electronic device(s) or set(s) of devices together with any associated electrical connections which form part of a vehicle but which are not intended to be type approved separately from the vehicle."
