Index,Text
63-1,"Low floor vehicle Refer to: R107 05-S6,06-S6,07-S1"
63-1.1,Effective date and Scope:
63-1.1.1,"Effective date from 2017/01/01, the following low floor vehicle having the area available for standing passengers, shall comply with this regulation."
63-1.1.1.1,Vehicle of category M3 with wheelbase more than 4m.
63-1.1.1.2,"Vehicle of category M2 and M3 having the area available for standing passengers with wheelbase less than 4m, and gross vehicle weight more than 4.5 MT."
63-1.1.2,"Effective date from 2018/1/1, all types of low floor bus which were complied with , shall comply with the requirements about ""The Prams and pushchairs areas ""and "" The minimum number of priority seat"" of this regulation."
63-1.1.3,"The class II low floor electric vehicle with maximum length not exceed 5500mm, maximum width not exceed 2100mm and number of passengers not exceed 14, applicant may provide qualified documents of63 low floor vehicle as an evidence documents  Paragraph-."
63-1.2,"""Low floor vehicle"" is a vehicle in which at least 35 per cent of the area available for standing passengers forms an area without steps and includes access to at least one service door."
63-1.2.1,"""Class I"": For low floor vehicles having a capacity exceeding 22 passengers in addition to the driver, vehicles constructed with areas for standing passengers, to allow frequent passenger movement."
63-1.2.2,"""Class II"": For low floor vehicles having a capacity exceeding 22 passengers in addition to the driver, vehicles constructed principally for the carriage of seated passengers, and designed to allow the carriage of standing passengers in the gangway and/or in an area which does not exceed the space provided for two double seats. "
63-1.2.3,"""Class "": For low floor vehicles having a capacity not exceeding 22 passengers in addition to the driver; a vehicle of this class may has seats and shall have provision for standing passengers."
63-1.3,Low floor vehicle shall according to suitable types and range of principle are as below:
63-1.3.1,The same vehicle category symbol.
63-1.3.2,The same type of vehicle body.
63-1.3.3,The same axle set type.
63-1.3.4,The same brand and vehicle type.
63-1.3.5,The same chassis brand.
63-1.3.6,Chassis manufacturers announced that the same chassis vehicle type.
63-1.3.7,The same low floor vehicle type.
63-1.4,The body specifications of low floor vehicle
63-1.4.1,Class I low floor vehicle shall comply with Paragraph-and
63-1.6,to
63-1.14,of this regulation.
63-1.4.2,Class II low floor vehicle shall comply with Paragraph- Paragraph- But Class II low floor vehicle which provides facilities for the disabled passengers or an unfolded pushchair or pram shall comply with Paragraph- to 63-1.14.
63-1.4.3,Class low floor vehicle shall comply with paragraphs 63.5.1 Paragraph- But Class low floor vehicle which provides facilities for the disabled passengers or an unfolded pushchair or pram shall comply with Paragraph- to 63-1.14..
63-1.4.4,"Low floor vehicle shall comply with not only this regulation but also the regulation of . Besides, this regulation shall have priority if there was a repetition above."
63-1.4.5,"The foot well of an outboard seating position for every class low floor vehicle, a zone of a cross-sectional area shall not exceeding, 0.03 m2 and having a maximum width not exceeding 150 mm(Refer to Figure 1).  Figure 1: Permitted intrusion in lower part of passenger space"
