Index,Text
64-1,Electric safety requirements for battery electric vehicles: Effective date from 2019/1/1 Refer to: R100 02-S3
64-1.1,Effective Date and Scope:
64-1.1.1,"Effective date from 2019/1/1, the new vehicle variants of category symbols M and N electric vehicles and from 2021/1/1, all vehicle variants of categories M and N electric vehicles shall comply with this regulation. The existing vehicle variants of category symbols M and N electric vehicles which were confirmed to 64. Electric safety requirements for battery electric vehicles, regard as conform to this regulation."
64-1.1.2,"This Regulation does not apply to the vehicle with a maximum design speed not exceeding 25 km/h, and the REESS(s) whose primary use is to supply power for starting the engine and/or lighting and/or other vehicle auxiliaries systems."
64-1.1.3,"The same applicant applying for low volume or vehicle-by-vehicle low volume safety approval and the amounts of vehicle not exceed 3 at same year and vehicle of same variant and specification, could exempt from Paragraph- Isolation resistance and /  Paragraph-. Confirmation method for functions of on-board isolation resistance monitoring system."
64-1.1.4,The applicant applying for low volume or vehicle-by-vehicle low volume safety approval could exempt from the table 2 and table 3.
64-1.2,Definitions
64-1.2.1,"""Active driving possible mode"" means the vehicle mode when application of pressure to the accelerator pedal (or activation of an equivalent control) or release of the brake system will cause the electric power train to move the vehicle."
64-1.2.2,"Barrier"" means the part providing protection against direct contact to the live parts from any direction of access."
64-1.2.3,"""Cell"" means a single encased electrochemical unit containing one positive and one negative electrode which exhibits a voltage differential across its two terminals."
64-1.2.4,"""Conductive connection"" means the connection using connectors to an external power supply when the REESS is charged."
64-1.2.5,"""Coupling system for charging the rechargeable energy storage system (REESS)"" means the electrical circuit used for charging the  REESS from an external electric power supply including the vehicle inlet."
64-1.2.6,"""C Rate"" of ""n C"" is defined as the constant current of the tested-device, which takes 1/ n hours to charge or discharge the tested-device between 0 per cent of the state of charge and 100 per cent of the state of charge."
64-1.2.7,"""Direct contact"" means the contact of persons with live parts."
64-1.2.8,"""Electrical chassis"" means a set made of conductive parts electrically linked together, whose potential is taken as reference."
64-1.2.9,"""Electrical circuit"" means an assembly of connected live parts which is designed be electrically energized in normal operation."
64-1.2.10,"""Electric energy conversion system"" means a system that generates and provides electric energy for electric propulsion."
64-1.2.11,"""Electric power train"" means the electrical circuit which includes the traction motor(s), and may include the REESS, the electric energy conversion system, the electronic converters, the associated wiring harness and connectors, and the coupling system for charging the REESS."
64-1.2.12,"""Electronic converter"" means a device capable of controlling and/or converting electric power for electric propulsion."
64-1.2.13,"""Enclosure"" means the part enclosing the internal units and providing protection against direct contact from any direction of access."
64-1.2.14,"""Exposed conductive part"" means the conductive part which can be touched under the provisions of the protection degree IPXXB, and which becomes electrically energized under isolation failure conditions. This includes parts under a cover that can be removed without using tools."
64-1.2.15,"""Explosion"" means the sudden release of energy sufficient to cause pressure waves and/or projectiles that may cause structural and/or physical damage to the surrounding of the tested-device."
64-1.2.16,"""External electric power supply"" means an alternating current (AC) or direct current (DC) electric power supply outside of the vehicle."
64-1.2.17,"""High Voltage"" means the classification of an electric component or circuit, if its working voltage is > 60 V and 1500 V DC or > 30 V and 1000 V AC root mean square (rms). "
64-1.2.18,"""Fire"" means the emission of flames from a tested-device. Sparks and arcing shall not be considered as flames."
64-1.2.19,"""Flammable electrolyte"" means an electrolyte that contains flammable substances."
64-1.2.20,"""High voltage bus"" means the electrical circuit, including the coupling system for charging the REESS that operates on high voltage. Where electrical circuits, that are galvanically connected to each other, are galvanically connected to the electrical chassis and the maximum voltage between any live part and the electrical chassis or any exposed conductive part is 30 V AC and 60 V DC, only the components or parts of the electric circuit that operate on high voltage are classified as a high voltage bus."
64-1.2.21,"""Indirect contact"" means the contact of persons or livestock with exposed conductive parts."
64-1.2.22,"""Live parts"" means the conductive part(s) intended to be electrically energized in normal use."
64-1.2.23,"""Luggage compartment"" means the space in the vehicle for luggage accommodation, bounded by the roof, hood, floor, side walls, as well as by the barrier and enclosure provided for protecting the occupants from direct contact with live parts, being separated from the passenger compartment by the front bulkhead or the rear bulk head."
64-1.2.24,"""On-board isolation resistance monitoring system"" means the device which monitors the isolation resistance between the high voltage buses and the electrical chassis."
64-1.2.25,"""Open type traction battery"" means a liquid type battery requiring refilling with water and generating hydrogen gas released to the atmosphere."
64-1.2.26,"""Passenger compartment"" means the space for occupant accommodation, bounded by the roof, floor, side walls, doors, window glass, front bulkhead and rear bulkhead, or rear gate, as well as by the barriers and enclosures provided for protecting the occupants from direct contact with live parts."
64-1.2.27,"""Protection degree"" means the protection provided by a barrier/enclosure related to the contact with live parts by a test probe, such as a test finger (IPXXB) or a test wire (IPXXD), as defined  Paragraph-."
64-1.2.28,"""Rechargeable energy storage system (REESS)"" means the rechargeable energy storage system that provides electric energy for  electrical propulsion. The REESS may include subsystem(s) together with the necessary ancillary systems for physical support, thermal management, electronic control and enclosures."
64-1.2.29,"""Rupture"" means opening(s) through the casing of any functional cell assembly created or enlarged by an event, large enough for a 12 mm diameter test finger (IPXXB) to penetrate and make contact with live parts (see table 1 and figure 2)."
64-1.2.30,"""Service disconnect"" means the device for deactivation of the electrical circuit when conducting checks and services of the REESS, fuel cell stack, etc."
64-1.2.31,"""State of Charge (SOC)"" means the available electrical charge in a tested-device expressed as a percentage of its rated capacity."
64-1.2.32,"""Solid insulator"" means the insulating coating of wiring harnesses provided in order to cover and protect the live parts against direct contact from any direction of access; covers for insulating the live parts of connectors, and varnish or paint for the purpose of insulation."
64-1.2.33,"""Subsystem"" means any functional assembly of REESS components."
64-1.2.34,"""Tested-Regulation."
64-1.2.35,"""Working voltage"" means the highest value of an electrical circuit voltage root mean- square (rms), specified by the manufacturer, which may occur between any conductive parts in open circuit conditions or under normal operating conditions. If the electrical circuit is divided by galvanic isolation, the working voltage is defined for each divided circuit, respectively."
64-1.2.36,"Type of REESS"" means systems which do not differ significantly in such essential aspects as:"
64-1.2.36.1,"The manufacturer's trade name or mark Paragraph- The chemistry, capacity and physical dimensions of its cells Paragraph- The number of cells, the mode of connection of the cells and the physical support of the cells Paragraph- The construction, materials and physical dimensions of the casing, "
