Index,Text
65,"The prevention requirements for high temperature, compression and electrical shock of electric motorcycle"
65.1,Effective Date and Scope:
65.1.1,"As for the category L, the new vehicle variants from 2010/12/1 and all vehicle variants from 2012/12/1, shall comply with this regulation."
65.1.2,"The same applicant applying for vehicle-by-vehicle low volume safety approval and the amounts of vehicle not exceed 20 at same year, it could exempt from this regulation."
65.2,Definitions
65.2.1,"Exposed conductive parts: the conductor easily to be touched and not live under normal service condition, but become live with electricity only under abnormal condition (failure of insulation). -XXB joint test stipulated by CNS 14165"
65.2.2,Power Mechanism: means those circuits included by following devices:
65.2.2.1,Main battery.
65.2.2.2,"Electricity converter (vehicle-based charger, power controller for drive motor, DC adaptor)."
65.2.2.3,"Drive motor, related wirings and connectors, etc."
65.2.2.4,Recharging circuit.
65.2.2.5,Power auxiliary device.
65.2.3,"Driving Mechanism: exclusively applies to drive motor, controller for drive motor, as well as related wirings and connectors inside Power Mechanism under this regulation."
65.2.4,Basic Insulation: Insulation that provides basic protection upon electrical shock.
65.2.5,Auxiliary Insulation: the independent insulation deployed on top of basic insulation to reduce the risk of electrical shock in case of the failure of basic insulation.
65.2.6,Dual Insulation: insulations provided by both basic insulation and auxiliary insulation. 
65.2.7,Reinforced Insulation: the single insulation system that enables to provide the equivalence of dual insulation against electrical shock upon the specific conditions under this regulation.
65.2.8,Explosion: the parabolic blast of battery case and bursting out of its assembling components.
65.2.9,Fire: the condition where flame bursts out from battery.
65.2.10,"Leakage: the condition where the leakage of electrolyte is visible inside battery, and the loss of mass exceeds 0.1%. The calculation of the loss of mass is following: m1 is the mass of battery before test m2 is the mass of battery after test"
65.2.11,"Rupture: the mechanical damage of battery case caused by internal or external elements that leads to the emission of interior gas, splash of liquid but without any solid ejection, and complies with the condition where IEC61032 test probe enables to dig into over 10 mm of depth beneath battery case, or touch any insulation-free part inside battery."
65.2.12,Venting: the condition where over-loaded pressure is released from battery interior to prevent from rupture or explosion.
65.3,"The applicable type and scope principle of prevention requirements for high temperature, compression and electrical shock of electric motorcycle are as below"
65.3.1,The same vehicle category.
65.3.2,The same brand and vehicle type series.
65.3.3,The same power .apparatus
65.4,Declaration of design compliance of related basic safety protection design for the main battery set of power apparatus 
65.4.1,Main battery set
65.4.1.1,Battery set should be securely installed for easy use and operation.
65.4.1.2,A protection design should be available to prevent human directly contact exposed battery set.
65.4.2,Main battery chamber
65.4.2.1,Related design of insulating materials should be applied and ventilation should be available within battery chamber.
65.4.2.2,Preventing measure of proper allocation or emission hole should be designed for battery chamber to avoid the leakage of electrolyte to store at any part inside battery chamber.
65.4.3,Electrical equipment and wiring
65.4.3.1,All wirings should be well insulated and all the wirings and electrical equipment should be able to endure heat and humidity.
65.4.3.2,"Wiring of any circuit under installation mode and the maximum environmental temperature, both of them should not load with any current over its capacity."
65.4.3.3,"All wirings should be properly protected and securely installed, and should be free from any damage of amputation, wear and friction."
65.4.4,"A protection design should be built in the vehicle to safeguard its main battery set against external damage, such as compression, impact, falling, and vibration. The purpose of its design is to provide the protective function against explosion, flame, leakage, venting, and rupture, etc."
65.5,"General requirements for the requirements for the prevention of high temperature, compression and electrical shock"
65.5.1,Test requirement:
65.5.1.1,This test condition applies to the requirement of working voltage over DC (direct current) 24V.
