Index,Text
68,"Tyre pressure monitoring system Refer to: R64 02-S2, R141 00"
68.1,Effective Date and Scope:
68.1.1,"Effective from 2014/11/1, the new vehicle variant of category M1, and from 2016/7/1 all vehicle variant of category M1, shall comply with this regulation."
68.1.2,"Effective from 2014/11/1, the new vehicle variant of category N1, and from 2016/7/1 all vehicle variant of category N1, shall comply with this regulation."
68.1.3,This regulation applies to the design of single tyre on each axle of vehicle only.
68.2,DefinitionspÉ
68.2.1,Wheel: means a complete wheel consisting of a rim and a wheel disc.
68.2.2,"Tyre: means a pneumatic tyre, being a reinforced flexible envelope that is provided with, or forms in conjunction with the wheel on which it is mounted, a continuous, essentially toroidal, closed chamber containing a gas (usually air) or a gas and liquid, that is intended normally to be used at a pressure greater than atmospheric pressure."
68.2.3,Maximum mass: means the maximum value of the vehicle stated by the manufacturer to be technically permissible.
68.2.4,"Maximum axle load: means the maximum value, as indicated by the manufacturer, of the total vertical force between the contact surfaces of the tyres or tracks of one axle and the ground and resulting from the part of the vehicle mass supported by that axle; this load may be higher than the ""authorized axle load"" laid down by the national administration. The sum of the axle loads may be greater than the value corresponding to the total mass of the vehicle."
68.2.5,"Tyre pressure Monitoring System (TPMS): means a system fitted on a vehicle, able to perform a function to evaluate the inflation pressure of the tyres or the variation of this inflation pressure over time and to transmit corresponding information to the user while the vehicle is running."
68.2.6,"Cold tyre inflation pressure: means the tyre pressure at ambient temperature, in the absence of any pressure build-up due to tyre usage."
68.2.7,"Recommended cold inflation pressure (Prec): means the pressure recommended for each tyre position by the vehicle manufacturer, for the intended service conditions (e.g. speed and load) of the given vehicle, as defined on the vehicle placard and/or the vehicle owner's manual."
68.2.8,In service operating pressure (Pwarm): means the inflation pressure for each tyre position elevated from the cold pressure (Prec) by temperature effects during vehicle usage.
68.2.9,Test Pressure (Ptest): means the actual pressure of the tyre(s) selected for each tyre position after deflation during the test procedure. 
68.3,Tyre pressure monitoring system shall according to suitable variants and range of principle are as below:
68.3.1,The same brand and the vehicle type.
68.3.2,The same principle of operation.
68.3.3,Any components which are likely to have a significant influence on the performance of the system as specified under Paragraph- to this regulation.
68.4,Specifications and tests
68.4.1,Applicants apply for certification test shall provide at least testing vehicle (or the essential part of vehicle for test) and submit the documents as below:
