Index,Text
69,Manoeuvring lamp Refer to: R23 00-S19
69.1,Effective Date and Scope:
69.1.1,"Effective date from 2014/1/1, new types of manoeuvring lamp using in vehicles of category symbols M and N vehicles, shall comply with this regulation (according  Paragraph-, it shall exclude Paragraph-) of this Direction."
69.1.2,"Effective date from 2017/1/1, new types of manoeuvring lamp using in vehicles of category symbols M and N, and from 2019/1/1, existing types of manoeuvring lamp using in vehicles of category symbols M and N, except the applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, shall provide documents declared to conform to"
69.2.1,"of this regulation, and certification institution may do a reality check when necessary."
69.1.3,"For the vehicles imported by authorities, organizations, institutes or individuals for self-use only could exempt from regulation of Manoeuvr Effective date from 2017/1/1, for the vehicles imported by authorities, organizations, institutes or individuals for self-use, if the vehicle registered and owned by the importer for more than six months from abroad, it could exempt from the regulation"
69.1.4,"For the low volume type safety approval, maximum 20deviation of the levels of intensity standard of this test is allowed, and if the light source is LED, it can omit the failure conditions test."
69.2,"""Manoeuvring lamp"" means a lamp conform to"
69.2.1,Specifications marked and used to provide supplementary illumination to the side of the vehicle to assist during slow manoeuvres;
69.2.1,"Specifications marked 66.2.1.1 Means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below: 66.2.1.1.1 Brand (or marking), type of replaceable light sources (or MD (or MODULE) the light source module specific  identification code). 66.2.1.1.2 The ""TOP"" marked horizontally on the uppermost part of the illuminating surface to help correct the installation of lamps. 66.2.1.1.3 In case of lamps with non-replaceable light sources or light source module(s), bear the marking of the rated voltage or range of voltage and rated wattage. 66.2.1.1.4 The light source module must to mark Brand (or marking), MD (or MODULE) the light source module specific identification code, rated voltage (or ranged voltage)and rated wattage. However this provision does not apply to the LED is non-replaceable. 66.2.1.1.5 An additional symbol consisting of letters M and L (figure as below , a is at least 5 mm). 66.2.1.1.6 The mark and symbol referred to in paragraphs 66.2.1.1.5. shall be indelible and shall be clearly legible even when the manoeuvring lamp is mounted on the vehicle:"
69.3,Manoeuvring lamp shall according to suitable types and range of principle are as below
69.3.1,Brand
69.3.2,"The same characteristics of the optical system (levels of intensity, light distribution angles, category of filament lamp, light source module, etc.), howeverif light source or filters color is change that it doesnt mean to change the variants."
69.3.3,"The inclusion of components capable of altering the optical effects by reflection, refraction, absorption and/or deformation during operation."
69.3.4,"In the case of light source modules, it shall be checked that:"
