Index,Text
72,Advanced emergency braking system Refer to: R131 01-S1
72.1,Effective Date and Scope:
72.1.1,"Effective date from 2019/1/1, the new vehicle variants of category symbols Class I large passenger vehicles and N3, and from 2022/1/1, the all vehicle variants of category symbols Class I large passenger vehicles and N3, shall comply with this regulation."
72.1.2,"Effective date from 2021/1/1, the new vehicle variants of category symbols Class large passenger vehicles and N2, and from 2023/1/1, the all vehicle variants of category symbols Class large passenger vehicles and N2, shall comply with this regulation."
72.1.3,The following vehicle categories could exempt from this regulation:
72.1.3.1,"Category symbols Class I and Class II large passenger vehicles, which assemble standing passenger area."
72.1.3.2,Category symbol G.
72.1.3.3,"Special purpose vehicles of categories Class I and Class II large passenger vehicles, N 2 and N 3."
72.1.3.4,"Vehicles of categories Class I and Class II large passenger vehicles, N 2 and N 3 with more than three axles."
72.1.4,"The same applicant applying for vehicle-by-vehicle low volume safety approval and the amounts of vehicle not exceed 20 at same year and vehicle of same variant and specification, could exempt from this regulation."
72.2,Definitions
72.2.1,"""Advanced Emergency Braking System (AEBS)"" means a system which can automatically detect a potential forward collision and activate the vehicle braking system to decelerate the vehicle with the purpose of avoiding or mitigating a collision."
72.2.2,"""Subject vehicle"" means the vehicle being tested."
72.2.3,"""Target"" means a high volume series production passenger car of category M1 AA saloon or in the case of a soft target an object representative of such a vehicle in terms of its detection characteristics applicable to the sensor system of the AEBS under test."
72.2.4,"""Moving target"" means a target travelling at a constant speed in the same direction and in the centre of the same lane of travel as the subject vehicle."
72.2.5,"""Stationary target"" means a target at standstill facing the same direction and positioned on the centre of the same test lane of travel as the subject vehicle. "
72.2.6,"""Soft target"" means a target that will suffer minimum damage and cause minimum damage to the subject vehicle in the event of a collision."
72.2.7,"""Collision warning phase"" means the phase directly preceding the emergency braking phase, during which the AEBS warns the driver of a potential forward collision."
72.2.8,"""Emergency braking phase"" means the phase starting when the AEBS emits a braking demand for at least 4 m/s² deceleration to the service braking system of the vehicle."
72.2.9,"""Common space"" means an area on which two or more information functions (e.g. symbol) may be displayed, but not simultaneously."
72.2.10,"""Self-check"" means an integrated function that checks for a system failure on a semi-continuous basis at least while the system is active."
72.2.11,"""Time to collision (TTC)"" means the value of time obtained by dividing the distance between the subject vehicle and the target by the relative speed of the subject vehicle and the target, at an instant in time."
72.3,The principles of applicable type and scope of advanced emergency braking system shall be as below:
72.3.1,"The same vehicle brand; If use chassis vehicle instead of completed vehicle for testing, then the same chassis brand is necessary."
72.3.2,Vehicle features which significantly influence the performances of the advanced emergency braking system.
72.3.3,The type and design of the advanced emergency braking system.
72.4,Specifications
72.4.1,Declaration of design compliance: applicant shall ensure and declare to comply with the following requirements.
72.4.1.1,Anti-lock braking system (ABS) The effectiveness of the AEBS shall not be adversely affected by magnetic or electrical fields.
72.4.2,The system shall provide the driver with appropriate warning(s) as Paragraph- to 72.4.2.3:
72.4.2.1,"A collision warning when the AEBS has detected the possibility of a collision with a preceding vehicle of category M, N or O in the same lane which is travelling at a slower speed, has slowed to a halt or is stationary having not being identified as moving. The warning shall be as specified  Paragraph- above. "
72.4.2.2,A failure warning when there is a failure in the AEBS that prevents the requirements of this Regulation of being met. The warning shall be as specified  Paragraph- below.
72.4.2.2.1,"There shall not be an appreciable time interval between each AEBS self-check, and subsequently there shall not be an appreciable delay in illuminating the warning signal, in the case of an electrically detectable failure."
72.4.2.3,"A deactivation warning, if the vehicle is equipped with a means to manually deactivate the AEBS, shall be given when the system is deactivated. This shall be as specified  Paragraph- below."
