Index,Text
73,Daytime running lamps Refer to: R87 00-S18
73.1,Effective Date and Scope:
73.1.1,"Effective date from 2017//1/1, the new types of daytime running lamps used in vehicles of category symbols L, M and N, and from 2019/1/1 the all types of daytime running lamps used in vehicles of category symbols L, M and N, shall comply with this regulation and shall be use bulbs and/or LED light sources that is conform with Direction."
73.1.2,The applicants applying for low volume safety type Daytime running lampsfor large passenger vehicle and child-only vehicle.
73.1.3,Applying for vehicle-by-Daytime running lamps
73.2,Definitions
73.2.1,"""Daytime running lamp"" means conform to"
73.2.2,Specifications marked and a lamp or an interdependent lamp system facing in a forward direction used to make the vehicle more easily visible when driving during daytime.
73.2.2,Specifications marked
73.2.2.1,Means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:
73.2.2.1.1,"Brand (or marking), type of replaceable light sources (or MD(or MODULE) the light source module specific identification code)."
73.2.2.1.2,"In case of lamps with an electronic light source control gear and/or non-replaceable light sources and/or light source module(s), bear the marking of the rated voltage or range of voltage and rated wattage."
73.2.2.1.3,"The light source module must to mark Brand (or marking), MD (or MODULE) the light source module specific identification code, rated voltage (or ranged voltage)and rated wattage. However this provision does not apply to the LED is non-replaceable."
73.2.2.1.4,"Lamps operating at voltages other than the nominal rated voltages of 6 V, 12 V or 24 V respectively, by the application of an electronic light source control gear being not part of the lamp, must also bear a marking denoting the rated secondary design voltage. "
73.2.2.1.5,An electronic light source control gear being part of the lamp but not included into the lamp body shall bear the name of the manufacturer and its identification number.
73.2.2.1.6,The additional symbol RL .
73.3,The principles of applicable type and scope of daytime running lamp shall be as below:
73.3.1,The same brand.
73.3.2,"The same characteristics of the optical system (levels of intensity, light distribution angles, category of light source, light source module etc). however"
73.4,Generally requirements:
73.4.1,Each lamp shall conform to the specifications set forth in the paragraphs below. An interdependent lamp system shall meet the requirements when all its interdependent lamps are operated together.
73.4.2,"Daytime running lamps shall be so designed and constructed that in normal use, despite the vibration to which they may then be subjected, they continue to function satisfactorily and retain the characteristics prescribed by this Regulation."
73.4.3,"In the case of light source modules, it shall be checked that:"
73.4.3.1,The design of the light source module(s) shall be such as:
73.4.3.1.1,That each light source module can only be fitted in no other position than the designated and correct one and can only be removed with the use of tool(s).
73.4.3.1.2,"If there are more than one light source module used in the housing for a device, light source modules having different characteristics cannot be interchanged within the same lamp housing."
73.4.3.2,The light source module(s) shall be tamperproof.
73.4.3.3,"A light source module shall be so designed that regardless of the use of tool(s), it shall not be mechanically interchangeable with any replaceable approved light source."
73.4.4,"Daytime running lamps, which are reciprocally incorporated with another function, using a common light source, and designed to operate permanently with an electronic light source control gear to regulate the intensity of the light emitted, are permitted. "
73.4.5,In the case of replaceable light source(s):
73.4.5.1,It shalDirection.
73.4.5.2,The design of the daytime running lamp shall be such that the light source can be fixed in no other position but the correct one.
73.4.5.3,"The light source holder shall conform to the characteristics given in IEC Publication 60061. The holder data sheet relevant to the category of light source used, applies."
73.5,Intensity of light
73.5.1,The luminous intensity of the light emitted by each daytime running lamp shall not be less than 400 cd in the axis of reference.
73.5.2,"Angles for light distribution shall comply with figure 2, the intensity of the light emitted by each daytime running lamp must:"
73.5.2.1,"In each direction corresponding to the points in the table of standard light distribution reproduced, be not less than the minimum specified  Paragraph- above, multiplied by the percentage specified in the said table of the direction in question (see figure 1)."
73.5.2.2,"Not exceed 1,200 cd in any direction the daytime running lamp is visible."
73.5.3,"Moreover, throughout the field defined in the diagram  Paragraph-, the intensity of the light emitted must not be less than 1.0 cd."
73.5.4,Light source failure
73.5.4.1,"In the case of a daytime running lamp containing more than one light source, the daytime running lamp shall comply with the minimum intensity required and the maximum intensity shall not be exceeded."
73.5.4.2,"In case of failure of any one light source in a single lamp containing more than one light source, one of the following provisions shall apply: (a) The light intensity at the points of standard light distribution shall be at least 80 per cent of the minimum intensity required, or (b) The light intensity in the axis of reference shall be at least 50 per cent of the minimum intensity required, provided that a note in the documents (according  Paragraph-) that the lamp is only for use on a vehicle fitted with a tell-tale indicating failure. "
