Index,Text
74,LED light sources Refer to: R128 00-S6
74.1,Effective Date and Scope:
74.1.1,"Effective date from 2017/1/1, the new types of LED replaceable light sources and from 2019/1/1 the all types of LED replaceable light sources used in safety type approval lamps of vehicle category M, N, O and L, shall comply with this regulation."
74.1.2,LED light sourceslarge passenger vehicle and child-only vehicle.
74.1.3,Applying for vehicle-by-vehiLED light sources
74.2,Definitions
74.2.1,General
74.2.1.1,"""Light source"" means one or more elements for visible radiation, with a base for mechanical and electrical connection, possibly assembled with one or more components to control the elements for visible radiation;"
74.2.1.1.1,"""Filament light source"" means a light source where the only element for visible radiation is one or more filaments producing thermal radiation;"
74.2.1.1.2,"""Gas-discharge light source"" means it conforms to category of"
74.2.5.1,Specifications marked and a light source where the only element for visible radiation is a discharge arc producing electroluminescence;
74.2.1.1.3,"""Light-emitting diode (LED) light source"" means it conforms to category of"
74.2.5,Specifications marked and a light source where the only element for visible radiation is one or more solid state junctions producing electroluminescence possibly completed with one or more elements for fluorescence-based conversion.
74.2.1.2,"""Standard (étalon) light source"" means a special light source used for the testing of lighting and light-signalling devices. It has reduced tolerances for dimensional, electrical and photometric characteristics as specified on the relevant data sheet."
74.2.1.3,"""Ballast"" means one or more components, either between supply and light source or integrated with a light source, to control the electrical current of the gas-discharge light source;"
74.2.1.4,"""Objective value(s)"" means design value(s) to be achieved within specified tolerances when the light source or the ballast of the gas discharge light source is energized at specified test voltage(s) "
74.2.2,Dimensional characteristics
74.2.2.1,"""Reference axis"" means an axis defined with reference to the cap and to which certain dimensions of the light source are referred."
74.2.2.2,"""Reference plane"" means a plane defined with reference to the cap and to which certain dimensions of the light source are referred."
74.2.2.3,"""Light centre"" means a point that represents the origin of the light emitted."
74.2.2.4,"""Light centre length"" means the distance between the reference plane and the light centre."
74.2.2.5,"""Viewing axis on to the light source"" means an axis through the nominal light centre at defined polar and azimuthal angle."
74.2.3,Electrical characteristics
74.2.3.1,"""Test voltage"" means the voltage, at the input terminals of the light source or at the terminals of the ballast for the gas-discharge light source, for which the electrical and photometric characteristics of the light source are intended and are to be tested."
74.2.3.2,"""Rated voltage"" means the voltage (in volts) marked on the light source or on the ballast."
74.2.3.3,"""Rated wattage"" means the wattage marked on the light source or on the ballast."
74.2.4,Photometric characteristics
74.2.4.1,"""Reference luminous flux"" means an accurately specified luminous flux value of a standard light source serving as a reference for the optical characteristics of a lighting or light signalling device."
74.2.4.2,"""Measuring luminous flux"" means specified value of the luminous flux for testing a filament light source with an internal shield to produce the cut-off."
74.2.4.3,"""Cumulative luminous flux"" means the luminous flux emitted by the light source under operating conditions, within a cone enclosing a specified solid angle and centred on the reference axis."
74.2.4.4,"""Normalized luminous intensity"" means luminous intensity divided by the luminous flux of the light source."
74.2.5,Specifications marked
74.2.5.1,Means the marks shall be clearly legible on the outside of the marking material and shall be indelible to include below:
74.2.5.1.1,Brand (or marking).
74.2.5.1.2,The rated voltage. 
