Index,Text
80,Quiet road transport vehicles Refer to: R138 00
80.1,Effective date and Scope:
80.1.1,"From 2019/7/1, the new electric vehicle type of category symbols M and N, and from 2021/7/1 all electric vehicle types of category symbols M and N shall comply with this regulation."
80.1.1.1,"Vehicles fitted with internal combustion engine and continuously running when driving in the normal mode, in reverse or at least one forward drive gear, may be exempted from this provision."
80.1.2,"Applicants applying for low volume safety approval and applying for vehicle-by-vehicle low volume, it could exempt form Paragraph- Paragraph- Paragraph- Paragraph-."
80.2,Definitions:
80.2.1,purpose to fulfill the requirements of this Regulation.
80.2.2,80.2.3 r electric motor-generator.
80.2.3.1,80.2.3.2 motor generator and at least one internal combustion engine as propulsion energy converters.
80.2.3.3,80.2.3.4 with at least one fuel storage system and at least one Rechargeable Electric Energy Storage System (REESS) as propulsion energy storage system. 
80.2.4,"heir capacity/ies, including the mass of the driver (75 kg), of the fuel and liquids, fitted with the standard equipment in accordance with the he spare wheel(s) as well as the tools;"
80.2.5,80.2.6
80.2.7,tical plane tangent to the trailing edge of the vehicle.
80.2.8,Symbols and abbreviated terms and the paragraph in which they are first used.  Table 1: Symbols and Abbreviations 
80.3,Quiet road transport vehicles shall according to suitable type and range of principle:
80.3.1,The same vehicle brand and vehicle type series.
80.3.2,The same shape and the materials of the bodywork of the vehicle which affect the sound level emitted.
80.3.3,"The principle of the drivetrain (from the batteries to the wheels). Notwithstanding the vehicles which differ with respect to overall gear ratios, battery type or the fitment of a range extender may be considered vehicles of the same type."
80.3.4,"If applicable, the number and type(s) of sound emitting devices (hardware) of AVAS fitted on the vehicle."
80.3.5,"If applicable, the position of the AVAS on the vehicle."
80.4,General provisions
80.4.1,Applicants apply for certification test shall provide at least one representative vehicle (or the essential part of vehicle for test) and submit the documents as below:
80.4.1.1,"Vehicle specification documents, drawings and / or photographs described  Paragraph-."
80.4.1.2,Propulsion principle of electrical vehicle (such as PEV/HEV/FCV/FCHV).
80.4.1.3,Manufacturer of the engine(s) and Manufacturer's engine code(s)(or type code).
80.4.1.4,"If applicable, a list of the components constituting the AVAS."
80.4.1.5,"If applicable, a drawing of the assembled AVAS and an indication of its position on the vehicle."
80.4.1.6,Each sounds which can be selected by the driver(refer  Paragraph-).
80.4.1.7,All key functionalities(refer  Paragraph-).
80.4.1.8,Determine the correct manner of testing to achieve the minimum sound emission (refer  Paragraph-).
80.4.1.9,Tyre sizes and -types designated for the vehicle(refer  Paragraph-).
80.4.1.10,"For automatic transmission vehicle, the gear selector shall be placed for normal driving (refer  Paragraph- and  80.5.3.3.3.1)."
80.4.1.11,Frequency shift outlined in
80.4.2.3,of the main body shall be checked using one of the following test methods to be selected (refer  Paragraph-).
80.4.1.12,The AVAS of equipment shall be mounted rigidly in an indoor facility (refer  Paragraph-).
80.4.1.13,Required documents for carry out the test of this regulation.
80.4.2,"Acoustics characteristics The sound emitted by the vehicle type submitted for approval shall be measured by the methods described  Paragraph- to this Regulation The speed range for operation is the range of greater than 0 km/h up to and inclusive 20 km/h. If the vehicle that is not equipped with an AVAS fulfils the overall levels as specified in table 2 below with a margin of +3 dB(A), the specification for one-third octave bands and the frequency shift do not apply."
80.4.2.1,Constant speed tests
80.4.2.1.1,The test speeds for approval are 10 km/h and 20 km/h.
