Index,Text
81,Specifications of a vehicle fuel system incorporating the compressed hydrogen storage system Refer to: R134 00-S2
81.1,"Effective date and Scope: From 2017/4/1, all vehicle variants of category symbols M and N shall comply with this regulation."
81.2,Definitions:
81.2.1,"""Burst disc"" means the non-reclosing operating part of a pressure relief device which, when installed in the device, is designed to burst at a predetermined pressure to permit the discharge of compressed hydrogen."
81.2.2,"""Check valve"" means a non-return valve that prevents reverse flow in the vehicle fuel line."
81.2.3,"""Compressed hydrogen storage system (CHSS)"" means a system designed to store hydrogen fuel for a hydrogen-fuelled vehicle and composed of a pressurized container, pressure relief devices (PRDs) and shut off device(s) that isolate the stored hydrogen from the remainder of the fuel system and its environment."
81.2.4,"""Container"" (for hydrogen storage) means the component within the hydrogen storage system that stores the primary volume of hydrogen fuel."
81.2.5,"""Date of removal from service"" means the date (month and year) specified for removal from service."
81.2.6,"""Date of manufacture"" (of a compressed hydrogen container) means the date (month and year) of the proof pressure test carried out during manufacture. "
81.2.7,"""Enclosed or semi-enclosed spaces"" means the special volumes within the vehicle (or the vehicle outline across openings) that are external to the hydrogen system (storage system, fuel cell system and fuel flow management system) and its housings (if any) where hydrogen may accumulate (and thereby pose a hazard), as it may occur in the passenger compartment, luggage compartment and space under the hood."
81.2.8,"""Exhaust point of discharge"" means the geometric centre of the area where fuel cell purged gas is discharged from the vehicle."
81.2.9,"""Fuel cell system"" means a system containing the fuel cell stack(s), air processing system, fuel flow control system, exhaust system, thermal management system and water management system."
81.2.10,"""Fuelling receptacle"" means the equipment to which a fuelling station nozzle attaches to the vehicle and through which fuel is transferred to the vehicle. The fuelling receptacle is used as an alternative to a fuelling port."
81.2.11,"""Hydrogen concentration"" means the percentage of the hydrogen moles (or molecules) within the mixture of hydrogen and air (equivalent to the partial volume of hydrogen gas)."
81.2.12,"""Hydrogen-fuelled vehicle"" means any motor vehicle that uses compressed gaseous hydrogen as a fuel to propel the vehicle, including fuel cell and internal combustion engine vehicles. Hydrogen fuel for passenger vehicles is specified in ISO 14687-2: 2012 and SAE J2719: (September 2011 Revision)."
81.2.13,"""Luggage compartment"" means the space in the vehicle for luggage and/or goods accommodation, bounded by  the roof, hood, floor, side walls, being separated from the passenger compartment by the front bulkhead or the rear bulkhead."
81.2.14,"""Maximum allowable working pressure (MAWP)"" means the highest gauge pressure to which a pressure container or storage system is permitted to operate under normal operating conditions."
