Index,Text
85,Electronic stability control systems Refer to: R140 00
85.1,Effective date and Scope:
85.1.1,"Effective date from 2018/1/1, the new vehicle type of category symbols M1 and N1, and from 2022/1/1, the all vehicle types of category symbols M1 and N1, shall comply with this regulation."
85.1.1.1,Category symbols M1 and N1 that conformed 42-3 Dynamic brakinged to this regulation.
85.1.2,This regulation does not suitable for:
85.1.2.1,Vehicles with a design speed not exceeding 25km/hr.
85.1.3,The same applicant applying for low volume safety approval and the amounts of vehicle not exceed 3 at same year and the category symbols M1 or N1 of same type Electronic stability control systems
85.1.4,The same applicant applying for vehicle-by-vehicle low volume safety approval and the amounts of vehicle not exceed 20 at Electronic stability control systems
85.2,Definitions:
85.2.1,"""Maximum mass"" means the maximum mass stated by the vehicle manufacturer to be technically permissible (this mass may be higher than the ""permissible maximum mass"" laid down by the national administration). "
85.2.2,"""The distribution of mass among the axles"" means the distribution of the effect of the gravity on the mass of the vehicle and/or its contents among the axles."
85.2.3,"""Wheel/axle load"" means the vertical static reaction (force) of the road surface in the contact area on the wheel/wheels of the axle."
85.2.4,"""Ackerman steer angle"" means the angle whose tangent is the wheelbase divided by the radius of the turn at a very low speed."
85.2.5,"""Electronic Stability Control (ESC) System"" means a system that has all of the following attributes:"
85.2.5.1,That improves vehicle directional stability by at least having the ability to automatically control individually the braking torques of the left and right wheels on each axle to induce a correcting yaw moment based on the evaluation of actual vehicle behaviour in comparison with a determination of vehicle behaviour demanded by the driver;
85.2.5.2,That is computer controlled with the computer using a closed-loop algorithm to limit vehicle oversteer and to limit vehicle understeer based on the evaluation of actual vehicle behaviour in comparison with a determination of vehicle behaviour demanded by the driver;
85.2.5.3,That has a means to determine directly the value of the vehicle's yaw rate and to estimate its side-slip or side-slip derivative with respect to time;
85.2.5.4,"That has a means to monitor driver steering inputs; Paragraph- That has an algorithm to determine the need, and a means to modify propulsion torque, as necessary, to assist the  driver in maintaining control of the vehicle."
85.2.6,"""Lateral acceleration"" means the component of the acceleration vector of a point in the vehicle perpendicular to the vehicle x axis (longitudinal) and parallel to the road plane."
85.2.7,"""Oversteer"" means a condition in which the vehicle's yaw rate is greater than the yaw rate that would occur at the vehicle's speed as a result of the Ackerman steer angle."
85.2.8,"""Side-slip or side-slip angle"" means the arctangent of the ratio of the lateral velocity to the longitudinal velocity of the centre of gravity of the vehicle."
85.2.9,"""Understeer"" means a condition in which the vehicle's yaw rate is less than the yaw rate that would occur at the vehicle's speed as a result of the Ackerman steer angle."
85.2.10,"""Yaw rate"" means the rate of change of the vehicle's heading angle measured in degrees/second of rotation about a vertical axis through the vehicle's centre of gravity."
85.2.11,"""Peak braking coefficient (PBC)"": means the measure of tyre to road surface friction based on the maximum deceleration of a rolling tyre."
85.2.12,"""Common space"" means an area on which more than one tell-tale, indicator, identification symbol, or other message may be displayed but not simultaneously."
