Index,Text
88,Specifications of a vehicle fuel system incorporating the compressed hydrogen storage system(L) Refer to: R146 00
88.1,"Effective date and Scope: From 2020/1/1, all vehicle variants of category symbols L shall comply with this regulation."
88.2,Definitions:
88.2.1,"""Burst disc"" means the non-reclosing operating part of a pressure relief device which, when installed in the device, is designed to burst at a predetermined pressure to permit the discharge of compressed hydrogen."
88.2.2,"""Check valve"" means a non-return valve that prevents reverse flow in the vehicle fuel line."
88.2.3,"""Compressed hydrogen storage system (CHSS)"" means a system designed to store hydrogen fuel for a hydrogen-fuelled vehicle and composed of a pressurized container, pressure relief devices (PRDs) and shut off device(s) that isolate the stored hydrogen from the remainder of the fuel system and its environment."
88.2.4,"""Container"" (for hydrogen storage) means the component within the hydrogen storage system that stores the primary volume of hydrogen fuel."
88.2.5,"""Date of removal from service"" means the date (month and year) specified for removal from service."
88.2.6,"""Date of manufacture"" (of a compressed hydrogen container) means the date (month and year) of the proof pressure test carried out during manufacture."
88.2.7,"""Enclosed or semi-enclosed spaces"" means the special volumes within the vehicle (or the vehicle outline across openings) that are external to the hydrogen system (storage system, fuel cell system and fuel flow management system) and its housings (if any) where hydrogen may accumulate (and thereby pose a hazard), as it may occur in the passenger compartment, luggage compartment and space under the hood. "
88.2.8,"""Exhaust point of discharge"" means the geometric centre of the area where fuel cell purged gas is discharged from the vehicle."
88.2.9,"""Fuel cell system"" means a system containing the fuel cell stack(s), air processing system, fuel flow control system, exhaust system, thermal management system and water management system."
88.2.10,"""Fuelling receptacle"" means the equipment to which a fuelling station nozzle attaches to the vehicle and through which fuel is transferred to the vehicle. The fuelling receptacle is used as an alternative to a fuelling port."
88.2.11,"""Hydrogen concentration"" means the percentage of the hydrogen moles (or molecules) within the mixture of hydrogen and air (equivalent to the partial volume of hydrogen gas)."
88.2.12,"""Hydrogen-fuelled vehicle"" means any motor vehicle that uses compressed gaseous hydrogen as a fuel to propel the vehicle, including fuel cell and internal combustion engine vehicles. Hydrogen fuel for passenger vehicles is specified in ISO 14687-2: 2012 and SAE J2719: (September 2011 Revision)."
88.2.13,"""Luggage compartment"" means the space in the vehicle for luggage and/or goods accommodation, bounded by the roof, hood, floor, side walls, being separated from the passenger compartment by the front bulkhead or the rear bulkhead."
88.2.14,"""Maximum allowable working pressure (MAWP)"" means the highest gauge pressure to which a pressure container or storage system is permitted to operate under normal operating conditions."
88.2.15,"""Maximum fuelling pressure (MFP)"" means the maximum pressure applied to compressed system during fuelling. The maximum fuelling pressure is 125 per cent of the Nominal Working Pressure."
88.2.16,"""Nominal working pressure (NWP)"" means the gauge pressure that characterizes typical operation of a system. For compressed hydrogen gas containers, NWP is the settled pressure of compressed gas in fully fuelled container or storage system at a uniform temperature of 15 deg. C. "
88.2.17,"""Pressure relief device (PRD)"" means a device that, when activated under specified performance conditions, is used to release hydrogen from a pressurized system and thereby prevent failure of the system."
88.2.18,"""Rupture"" or ""burst"" both mean to come apart suddenly and violently, break open or fly into pieces due to the force of internal pressure."
88.2.19,"""Safety relief valve"" means a pressure relief device that opens at a preset pressure level and can re-close."
88.2.20,"""Service life"" (of a compressed hydrogen container) means the time frame during which service (usage) is authorized."
88.2.21,"""Shut-off valve"" means a valve between the storage container and the vehicle fuel system that can be automatically activated; which defaults to the ""closed"" position when not connected to a power source."
88.2.22,"""Single failure"" means a failure caused by a single event, including any consequential failures resulting from this failure."
88.2.23,"""Thermally-activated pressure relief device (TPRD)"" means a non- reclosing PRD that is activated by temperature to open and release hydrogen gas."
88.2.24,"""Vehicle fuel system"" means an assembly of components used to store or supply hydrogen fuel to a fuel cell (FC) or internal combustion engine (ICE)."
88.3,Specifications of a vehicle fuel system incorporating the compressed hydrogen storage system shall according to suitable variant and range of principleˇö
