Doc,tag,entities
Scope,['O'],[]
"This standard specifies terms and definitions, technical requirements, test methods and requirements, appearance and identification, type inspection, manual and effective date of event data recorder of category M1 vehicles.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CATEGORY', 'L-CATEGORY', 'O', 'O']","[(202, 213, 'CATEGORY')]"
This standard applies for vehicles of category M1 installed with event data recorder.,"['O', 'O', 'O', 'O', 'O', 'O', 'B-CATEGORY', 'L-CATEGORY', 'O', 'O', 'O', 'O', 'O', 'O']","[(38, 49, 'CATEGORY')]"
Other vehicles could take it as reference.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Normative References,"['O', 'O']",[]
The following referenced documents are indispensable for the application of this document.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"For dated references, only the edition cited applies.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"For undated references, the latest edition of the referenced document (including any amendments) applies.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
<,['O'],[]
Regulation_GB11551-2014,"['O', 'O', 'O']",[]
>,['O'],[]
"The protection of the occupants in the event of a frontal collision for motor vehicle <Regulation_GB14166> Safety-belts, restraint systems, child restraint systems and ISOFIX child restraint systems for occupants of power-driven vehicles <","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(140, 163, 'SYSTEM')]"
Regulation_GB20071,['O'],[]
>,['O'],[]
The protection of the occupants in the event of a lateral collision <Regulation_GBT,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
20913>,"['O', 'O']",[]
The protection of the occupants in the event of an off-set frontal collision for passenger car <Regulation_GBT 30038> Road vehicles -- Degrees of electrical equipment protection (IP-Code),"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
<Regulation_GBT 34589>-2017 Road vehicles -- Diagnostic connector,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
<Regulation_GB34660> Road vehicles -- Requirements and test methods of electromagnetic compatibility,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
GB/T XXXX Unified diagnostic services (UDS) GB/T XXXX (All parts),"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(39, 42, 'ABBREV')]"
Road vehicles -- Diagnostic communication over Controller Area Network (DoCAN),"['O', 'O', 'O', 'O', 'O', 'O', 'B-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O', 'U-ABBREV', 'O']","[(47, 70, 'SYSTEM'), (72, 77, 'ABBREV')]"
GB/T XXXX (All parts),"['B-REG', 'I-REG', 'I-REG', 'L-REG', 'O', 'O', 'O', 'O']","[(0, 9, 'REG')]"
Road vehicles --,"['B-VEHICLE', 'L-VEHICLE', 'O']","[(0, 13, 'VEHICLE')]"
Diagnosis communication over keyword protocol 5 For Reference Purposes Only,"['O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O']",[]
"Terms and Definitions For the purpose of this document, the terms and definitions given in <Regulation_GB14166> and following terms and definitions apply.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
